Name,Position,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed,contact_score,power_score
carlos santana,1B,39.0,460.8,526.0,107.6,71.5,18.9,0.2,0.39719626168224303,91.5,58.5,0.49871244635193146,11.17,0.7496774193548388,0.7170168464887375,0.8389874739039667,0.7003,64.0,210.9,0.0,5.9,0.2353,0.3796,0.8146392838335966,0.3116,0.3251,0.1443,0.323,0.326,-0.0029,-0.0008,-0.0022,71.52,88.27,15.69,31.13,6.08,6.32,0.6691874780161801,99.37045987,93.79997203,66.21,0.4537729435757988,23.46,44.5,0.0,25.75,0.6670965459631877,0.6727735870363849
cedric mullins,CF,30.0,397.0,447.7,90.5,52.2,20.4,1.5,0.38317757009345793,100.6,40.4,0.3527896995708155,9.06,0.733225806451613,0.7783456369487034,0.786795407098121,0.7127,57.5,166.6,4.4,21.4,0.221,0.3537,0.8154291732490783,0.29,0.2978,0.1327,0.3584,0.3293,0.0063,0.0575,0.0197,71.07,88.31,22.42,31.98,5.72,5.67,0.6171297924727401,98.43408455,93.33935305,71.0,0.4374575118966689,22.21,49.89,2.9,28.29,0.6140558063584172,0.6781939155725741
chris taylor,3B,34.0,167.5,189.1,35.9,22.6,8.1,0.5,0.10981308411214954,61.8,17.1,0.027467811158798372,6.21,0.6612903225806451,0.6312701116789703,0.7257306889352819,0.6116,21.1,78.6,1.4,5.2,0.2088,0.3444,0.7153765139547129,0.2783,0.2813,0.1356,0.3654,0.3767,-0.0038,-0.0109,-0.0066,70.24,84.71,19.87,42.23,7.49,6.54,0.541857193105874,96.85780882,92.52750807,71.9,0.0,36.25,49.83,-0.5,27.89,0.42159986568653773,0.5343280431337097
christian vazquez,C,34.0,242.6,265.0,49.6,36.2,9.1,0.0,0.10046728971962618,52.4,16.3,0.45350500715307585,6.45,0.6383870967741936,0.539844785159947,0.6677974947807933,0.5411,21.0,114.6,0.8,1.1,0.2192,0.3197,0.6379673512374934,0.265,0.2765,0.101,0.2607,0.2911,-0.0213,-0.0345,-0.0227,67.36,86.79,14.53,36.08,3.83,5.83,0.5476609215617305,96.66144921,92.42715857,64.01,0.517675050985724,20.08,46.9,0.0,24.79,0.586091389094256,0.48296928317550347
cody bellinger,CF,29.0,478.6,527.9,132.7,83.8,22.7,3.6,0.5280373831775702,76.1,40.0,0.5908440629470673,7.56,0.8941935483870969,0.9138746924096158,0.8643006263048016,0.814,78.8,214.8,2.8,11.7,0.2587,0.4286,0.9112690889942074,0.3217,0.3172,0.1702,0.3767,0.3452,0.0185,0.0542,0.0244,69.8,88.42,17.91,35.67,6.81,7.0,0.6357720717551881,98.25967258,93.27281426,67.29,0.5173351461590755,19.68,49.47,3.1,28.33,0.7491840942287981,0.7803050254076987
danny jansen,C,30.0,259.5,301.4,54.3,30.8,11.9,0.0,0.2710280373831776,68.2,34.6,0.3487839771101574,11.46,0.6745161290322581,0.737270490251751,0.8144572025052191,0.7016,32.8,116.0,0.0,0.0,0.2061,0.3618,0.8146392838335966,0.3009,0.3108,0.1552,0.3419,0.3283,0.003,0.0277,0.0085,69.58,87.84,23.05,35.21,8.41,8.23,0.6487864931410482,98.44645244,93.41319867,65.17,0.4398368456832087,22.8,43.14,0.0,26.45,0.6044161640199164,0.6495358383304494
dominic smith,1B,30.0,262.4,292.3,67.0,45.8,15.3,0.2,0.13317757009345796,56.0,24.3,0.4394849785407726,8.23,0.8441935483870968,0.7346204807874314,0.8627348643006263,0.7187,30.9,116.0,0.5,1.5,0.2449,0.3908,0.8346498156924697,0.3111,0.3171,0.1459,0.3535,0.3461,0.0168,-0.0027,0.0059,68.31,87.8,14.51,38.96,6.55,6.99,0.6035877594090749,97.97458548,93.15354437,66.37,0.491162474507138,22.52,47.64,0.0,25.49,0.6982080144158991,0.6181341548444769
donovan solano,2B,37.0,243.7,269.2,67.0,50.3,11.1,0.7,0.11448598130841124,57.5,18.6,0.3951359084406295,6.21,0.8716129032258065,0.7160704145371949,0.8538622129436325,0.7055,28.6,101.1,0.3,0.6,0.2514,0.3672,0.818852027382833,0.2978,0.3098,0.1158,0.3608,0.3429,0.0188,0.0111,0.0132,66.7,87.98,12.88,37.57,4.33,6.21,0.6790362293352092,98.42565502,93.40022457,64.97,0.4928619986403807,24.73,49.34,0.0,25.23,0.6952421162670338,0.6191811747047326
dylan moore,2B,32.0,234.4,270.8,46.7,25.2,11.2,1.4,0.20794392523364488,85.6,28.6,0.05865522174535065,10.04,0.6425806451612903,0.7139882642438009,0.7544363256784969,0.6663,25.9,106.1,4.4,17.0,0.2004,0.3551,0.7719852553975777,0.29,0.2927,0.1552,0.3839,0.3789,-0.0012,0.0221,0.0032,72.29,86.52,21.36,37.94,10.27,7.89,0.6501934576151952,98.62925012,93.42302466,67.14,0.13698164513936095,31.37,46.42,-0.8,27.74,0.4582324646288785,0.6174195324621816
elias diaz,C,34.0,306.7,335.5,73.8,52.0,14.5,0.2,0.16588785046728974,76.8,23.3,0.33075822603719607,7.21,0.7448387096774194,0.6509558962710581,0.7596555323590815,0.635,37.1,149.6,0.0,0.2,0.2181,0.3266,0.7390731964191679,0.2697,0.2803,0.1085,0.3289,0.3139,0.0128,0.0173,0.011,73.09,87.6,13.42,28.74,5.7,4.0,0.6459725641927541,99.46132538,93.82263381,73.88,0.28212100611828683,30.87,52.35,0.0,24.82,0.5739241190420468,0.5793808107390764
