Name,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,WAR,ERA+,FIP,ERA,Position,player_age,strikeout_score,contact_score,overall_score
brad keller,212.8,185.9,42.8,31.1,6.9,0,4.8,44.8,22.5,0.495195025,0.446163366,0.767,0.3511,0.3271,0.3218,0.23,0.3739,0.245396825,0.3127,0.3246,0.46124031,0.325,0.3377,0.003,-0.0228,-0.007,71.02,87.77,6.14,30.94,7.61,-1.75,-34.24,76.76691253,93.49744467,62.86,13.04,0.550651659,44,0.340594059,0.392271236,0.542487047,1.999,SP,29,0.495234741,-0.180400635,0.392457944
brandon woodruff,134.6,124.6,21,12.1,3.6,0,5.3,42.3,8.5,0.534482759,0.827970297,0.8821,0.2279,0.1588,0.6133,0.1354,0.2272,0.677142857,0.178,0.1756,0.716085271,0.221,0.2342,-0.0175,0.0007,-0.0083,50.4,61.4,15.61,22.43,5.31,-4.07,-25.12,53.25225511,65.63801395,46.75,16.15,0.438684834,34.37,0.40990099,0.36748086,0.594127807,2.116,SP,32,0.600761391,-0.789181429,0.510133383
brent suter,262.9,242.1,58.9,40.6,10,0.7,7.6,47.5,16.6,0.416336914,0.712871287,0.757,0.3849,0.2952,0.3199,0.2513,0.3905,0.275238095,0.3036,0.3038,0.484011628,0.3309,0.3407,-0.0083,-0.0056,-0.0073,70.97,85.28,13.17,30.8,6.05,-2.68,-28.97,73.2710369,92.68359852,68.45,14.8,0.473933649,48.05,0.356435644,0.442581116,0.255440415,3.926,RP,35,0.506457752,-0.462812381,0.32712666
brooks raley,76.7,65.9,13.4,8.6,4,0,0.8,19.4,8.4,0.648106275,0.395420792,0.8226,0.2534,0.2828,0.4638,0.1853,0.3124,0.426349206,0.2748,0.2922,0.54748062,0.2564,0.3093,-0.0079,-0.059,-0.0261,71.11,87,16.66,28.69,5.6,-7.44,-38.23,76.40578727,93.46949871,59.45,14.26,0.463270142,42.45,0.267326733,0.109369304,0.872884283,0.56,RP,37,0.521993208,-1.843390159,0.449207007
bryse wilson,304.4,275.3,76.1,49.9,10.9,2,13.3,50.3,23.2,0.349915206,0.616336634,0.7097,0.499,0.3505,0.1505,0.3059,0.518,0.06,0.3822,0.3666,0.129844961,0.3996,0.4242,-0.0156,-0.019,-0.0181,71.77,90.18,16.64,38.14,9.21,-6.34,-41.95,79.20529314,94.85907172,67.97,12.15,0.398104265,47.83,0.259405941,0.34815895,0.048704663,5.053,RP,27,0.373642161,-1.60699,0.174064971
cal quantrill,520.6,467.9,130,81.1,26.2,5.1,17.6,85.6,42.7,0.369700396,0.611386139,0.7218,0.4687,0.3443,0.187,0.2852,0.485,0.099365079,0.3623,0.3524,0.191375969,0.3861,0.4005,-0.007,-0.0163,-0.0106,71.91,89.51,14.16,38.12,9.67,-5.9,-41.45,78.4470802,94.58013314,67.92,14.37,0.459419431,46.31,0.255445545,0.296026249,0.114162349,5.562,SP,30,0.40928837,-1.464726984,0.189960634
caleb ferguson,234.2,206.3,50.1,37.2,9.1,0.2,3.6,54.1,20.1,0.55031091,0.576113861,0.7594,0.3376,0.3202,0.3422,0.238,0.3418,0.286349206,0.297,0.3209,0.658914729,0.3348,0.3398,0.0026,-0.0042,-0.0042,70.81,86.47,7.59,34.34,4.2,-4.28,-31.01,75.1795146,92.95165364,65.21,14.82,0.542061611,48.07,0.24950495,0.381334306,0.396373057,4.073,RP,28,0.574717474,-0.934870159,0.327300105
caleb thielbar,176.3,159.5,33.1,21,7.2,0.2,4.7,46.1,14.4,0.656302996,0.620668317,0.7954,0.3467,0.2635,0.3898,0.2163,0.3601,0.375555556,0.2774,0.2769,0.465600775,0.3261,0.3452,-0.0117,-0.0134,-0.0127,71.02,88.21,18.79,32.34,8.73,-4.78,-32.57,77.57237203,93.57814201,66.78,21.07,0.6007109,48.74,0.308910891,0.413415968,0.558721934,2.656,RP,38,0.594357987,-1.067568889,0.418084152
carlos carrasco,323.5,292.5,87.1,50.3,20.1,2.4,14.3,56.9,26,0.391464104,0.604579208,0.6972,0.5377,0.361,0.1013,0.2882,0.4793,1.11E-16,0.3615,0.352,0.233527132,0.4351,0.4063,0.0146,0.0584,0.0215,72.42,90.44,13.28,37.34,9.87,-6.56,-41.73,79.72166092,94.81942561,69.04,11.97,0.533175355,46.79,0,0.229675538,0.056822107,6.597,SP,38,0.445013106,-1.68664,0.06298174
charlie morton,632.5,546.9,139.2,89.3,28,2.7,19.2,151.7,64.1,0.583097795,0.476485149,0.7444,0.4233,0.3455,0.2312,0.2473,0.4036,0.148888889,0.3281,0.3403,0.405523256,0.3942,0.3815,0.0083,0.0197,0.008,71.88,89.89,10.38,33.61,8.4,-4.25,-39.84,79.40280706,94.44917483,65.73,17.05,0.684834123,46.26,0.35049505,0.32883704,0.213816926,4.78,SP,41,0.556781256,-0.952802222,0.264838778
