Name,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed,WAR,OPS+,Rbat+,Position,player_age
max muncy,271.3333333,322.4666667,62.93333333,34.33333333,11.33333333,0.8,16.46666667,81.8,43.33333333,25.94666667,12.20666667,0.232333333,0.454133333,0.331666667,0.7858,52.6,131.8666667,0.6,2,0.236133333,0.462133333,0.337933333,0.344333333,0.3368,0.2262,0.406533333,0.4172,-0.0038,-0.008,-0.0064,71.9,89.7,17.71333333,35.22666667,12.10666667,8.2,43.22666667,100.850532,94.78927036,65.5,19.83333333,28.74666667,44.46,0,27.4,2.086666667,116.2,113.8666667,1B,22
max stassi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0
michael a. taylor,265.7,294.6,55.7,30.5,14.5,1,9.7,99,22.6,33.55,7.8,0.2094,0.3794,0.2725,0.6519,30.5,114.9,2,9.7,0.2106,0.396,0.2827,0.2927,0.2758,0.1859,0.3904,0.4085,-0.0012,-0.0166,-0.01,73.33,90.11,15.84,36.34,11.88,8.23,42.78,101.5848854,95.16854741,69.41,26.79,37.58,50.19,6.1,28.09,0.8,73.5,67.3,CF,34
michael conforto,378.1,432.4,82.1,47.8,19.9,0.9,13.5,103.1,44.7,23.88,10.44,0.2139,0.3748,0.309,0.6838,44.9,169.2,0.3,1.3,0.2476,0.4364,0.3031,0.3395,0.3394,0.1893,0.341,0.3999,-0.0337,-0.0616,-0.0364,73.68,89.89,14.07,33.64,9.72,7.77,43.31,100.797877,94.72835291,66.12,17.68,25.34,44.9,-4.1,26.16,0.2,92.8,92.1,LF,32
miguel andujar,237.9,253.2,71,51.6,12.1,0.8,6.5,34.7,12.6,13.84,5.27,0.2925,0.4458,0.3315,0.7773,30.6,84.9,0.6,1.8,0.2605,0.381,0.3358,0.3001,0.3031,0.1207,0.3688,0.3243,0.032,0.0648,0.0357,71.64,87.42,9.32,29.52,4.91,5.12,36.22,98.64198965,93.42641456,68.61,8.74,17.77,51.39,-3.8,27.07,0.52,92.9,92.4,3B,30
miguel rojas,265.6,291.7,68.3,48.3,14,0.2,5.8,35.3,20.6,12.59,7.26,0.2566,0.3819,0.3141,0.696,24,117.1,1.2,5,0.2573,0.3546,0.3058,0.2978,0.3156,0.0975,0.3164,0.3063,-0.0007,0.0273,0.008,68.38,86.71,12.11,34.04,3.48,2.38,28.44,96.74717148,92.41335155,65.71,8.75,16.32,46.67,0,25.92,1.95,95.9,95.1,SS,36
mike yastrzemski,378.9,433.9,87.6,50.9,18.4,3.4,14.9,104.5,48.4,24.06,11.26,0.2309,0.4151,0.3221,0.7372,43.2,163.9,2,4.3,0.2266,0.3979,0.3203,0.3133,0.3189,0.1713,0.3756,0.3649,0.0043,0.0172,0.007,70.99,90.32,19.3,33.55,9.41,8,41.7,99.92993871,94.35783422,62.46,17.39,22.85,42.37,-0.1,27.01,2.56,110.3,110.3,CF,34
mitch garver,271.3,313.8,56.9,34.8,9.8,0,12.3,92.3,37.2,29.53,11.65,0.2136,0.3813,0.3128,0.6941,38.3,129.5,0,1.5,0.208,0.3866,0.3066,0.307,0.3094,0.1786,0.3781,0.3802,0.0056,-0.0053,-0.0004,71.32,90.82,18.69,32.25,9.54,7.49,44.03,100.5563806,94.72562635,59.41,21.19,30.38,40.23,0,25.84,0.38,95.6,98.7,C,34
orlando arcia,341.9,369.7,76.8,52.6,13.7,0.5,10,76.8,23.6,21.11,5.6,0.2132,0.3292,0.2575,0.5867,31.3,153,0,0.8,0.2162,0.3255,0.2571,0.2592,0.2621,0.1098,0.2974,0.3001,-0.003,0.0037,-0.0021,70.54,87.15,7.06,28.19,4.22,4.92,34.71,98.01434057,93.05872263,69.97,16.9,24.54,50.82,0,25.51,-0.01,63.2,59.1,SS,30
ozzie albies,479.9,530.5,118.9,79.3,23.2,1.8,14.6,82.9,40.8,15.56,7.66,0.2463,0.3898,0.3091,0.6989,61.7,200.2,1,10.5,0.246,0.381,0.3052,0.3041,0.3103,0.1347,0.3242,0.3224,0.0003,0.0088,0.0011,69.13,87.91,18.19,34.6,5.25,5.76,32.35,97.16973878,92.66292213,79.09,15.06,20.97,54.85,0,27.23,2.53,98.2,97.3,2B,28
paul dejong,272.9,295.1,62.2,38,11.2,0,13,91.5,15.6,30.33,5.7,0.2365,0.4221,0.2869,0.709,33.9,125.4,1.4,3.4,0.2187,0.3907,0.3058,0.2894,0.2722,0.172,0.4108,0.3849,0.0178,0.0314,0.0164,71.53,88.29,21.56,36.23,9.4,8.65,40.74,99.67584812,94.00643375,76.89,22.62,32.6,56.24,0,26.6,0.17,85.3,80.8,3B,31
paul goldschmidt,502.3,556.1,132.9,85.4,30.1,0.8,16.6,126.1,47,22.08,8.2,0.2666,0.4266,0.3297,0.7563,56,209.5,0.9,8,0.267,0.4695,0.3265,0.3421,0.3305,0.202,0.3905,0.4139,-0.0004,-0.0429,-0.0156,72.52,90.77,14.49,35.86,10.06,8.07,46.44,101.382414,95.18978853,65.54,19.62,24.02,47.41,0,26.32,1.75,107.7,109,1B,37
pete alonso,531.5,611.1,130.9,67.6,29,0.9,33.4,143.8,59.5,23.44,9.71,0.2479,0.4955,0.3368,0.8323,100,250.7,1.2,2.2,0.2653,0.5387,0.3542,0.3775,0.3527,0.2734,0.4221,0.4579,-0.0174,-0.0432,-0.0233,75.55,91.44,15.81,35.36,16.5,7.06,48.09,103.7841927,96.41976572,63.78,17.81,26.05,44.91,0,25.78,3.04,133.7,132,1B,30
ramon laureano,319.5,353.5,85.9,50.8,18.4,2.1,14.6,94.6,24.6,26.92,6.86,0.2695,0.4778,0.3331,0.8109,45.9,146.4,2.6,7.3,0.2594,0.4743,0.3488,0.3442,0.3248,0.2151,0.4454,0.4386,0.0101,0.0035,0.0046,72.13,89.25,13.52,37.95,12.37,5.82,43.57,100.8037215,94.71279356,68.76,19.67,28.59,48.5,-5.4,27.92,2.53,123.9,126,RF,30
randal grichuk,271.5,295.9,71.9,38.4,21.2,1.5,10.8,57.5,19.3,19.43,6.6,0.2627,0.4737,0.3146,0.7883,35.1,118.7,0.9,0.4,0.275,0.4864,0.3355,0.3508,0.3292,0.2117,0.3897,0.4107,-0.0123,-0.0127,-0.0153,73.91,91.3,16.79,35.44,11.47,6.94,49.09,102.9578768,95.96245015,65.43,10.85,21.31,48.21,-3,27.23,0.64,107.5,107.4,RF,33
rhys hoskins,269.2,314.1,61.3,36.8,10.2,0.5,13.8,87.2,34.9,21.99,9.04,0.1852,0.3397,0.2609,0.6006,45.6,133.9,0.5,1.9,0.1776,0.3206,0.2599,0.2543,0.257,0.1435,0.3194,0.3096,0.0076,0.0191,0.0056,56.91,71.86,17.24,28.91,9.06,5.01,36.06,79.95974022,75.42672158,48.24,16.71,21.49,33.14,0,19.99,0.49,87,85.5,DH,32
rob refsnyder,190,219.2,51.6,33.5,11.1,0.5,6.5,53.3,24,24.53,11.2,0.2705,0.4402,0.3592,0.7994,28.6,84.4,1,3.5,0.2563,0.4259,0.3482,0.3372,0.3475,0.1696,0.4189,0.4018,0.0142,0.0143,0.011,73.07,90.32,11.74,36.29,9.32,6.88,45.06,101.3119944,95.07567907,63.24,20.35,26.7,42.68,-1.7,26.91,0.92,123,125.9,RF,34
ryan o'hearn,377.1,425.8,103.6,68,19.2,1.6,14.8,74.6,40.8,17.86,9.51,0.2755,0.4541,0.3496,0.8037,54.7,165,1,3.4,0.2787,0.4651,0.3463,0.3526,0.3534,0.1859,0.386,0.3946,-0.0032,-0.011,-0.0063,72.11,90.41,11.65,36.87,8.39,8.45,45.78,100.4221617,94.62804747,67.78,12.37,21.39,47.25,0,27.73,1.89,123.6,125,DH,31
salvador perez,516.1,559.1,131.9,81.1,27.1,0,23.7,115.7,27.5,20.7,4.77,0.2543,0.4457,0.3014,0.7471,82.2,212.9,0,0,0.2772,0.5246,0.3179,0.3575,0.3239,0.2477,0.3796,0.4335,-0.0229,-0.0789,-0.0396,73.1,90.55,18.17,37.27,13.12,7.47,45.89,102.0110337,95.33409884,76.49,18.23,28.03,58.53,0,24.51,0.93,105,100.5,C,35
starling marte,265.5,295.7,71.1,53.1,10.8,1.1,6.1,58.6,19.8,19.41,6.78,0.2698,0.3922,0.3348,0.727,29.1,105.2,2.1,12.1,0.2708,0.4114,0.3195,0.3315,0.3395,0.1406,0.3589,0.3755,-0.001,-0.0192,-0.012,72.04,88.53,7.75,32.2,6.79,6.61,40.82,100.7227172,94.56949262,68.96,16.8,26.38,51.12,-3.4,26.9,0.72,106.2,107.5,RF,36
taylor walls,267,303.9,55.2,38.6,10.9,1.8,3.9,73.5,31.1,24.31,10.31,0.2051,0.3005,0.2856,0.5861,30.4,118.4,4.4,16.2,0.2017,0.2907,0.2634,0.2614,0.2843,0.089,0.2936,0.29,0.0034,0.0098,0.002,68.45,86.67,16.83,32.14,3.22,5.2,26.16,95.75101422,91.89716632,66.16,17.5,23.09,45.08,0,28.08,2.07,65.1,63.2,SS,28
thairo estrada,285.2,302.8,70,47.8,14.2,1,7,59.8,10.4,18.39,3.42,0.2458,0.3711,0.2796,0.6507,34.4,131.2,3.5,5.7,0.2359,0.3401,0.282,0.2703,0.2728,0.1042,0.3246,0.3087,0.0099,0.031,0.0117,71.26,86.19,8.81,30.13,3.95,4.81,31.5,97.40610375,92.75508249,70.21,10.96,21.85,52.73,0,27.92,0.15,77.3,76.8,2B,29
tom murphy,39.2,43.2,9.6,5,2.7,0,1.9,13,3.2,16.58,4.41,0.0934,0.1781,0.1303,0.3084,4,16,0,0,0.0975,0.1947,0.1352,0.1452,0.135,0.0972,0.1737,0.1939,-0.0041,-0.0166,-0.01,36.22,44.12,4.09,18.66,5.92,5.48,19.44,50.31757144,47.25449413,32.26,11.32,17.15,23.26,0,13.03,0.24,28.8,28.2,C,0
tomas nido,56,61,7,7,0,0,0,18,2,29.5,3.3,0.125,0.125,0.153,0.278,1,29,0,0,0.156,0.196,0.128,0.168,0.183,0.04,0.158,0.218,-0.031,-0.071,-0.04,0,85,5.7,26.8,0,4.9,19.5,95.18378053,91.69692135,75,21.2,35,62.1,0,24.8,0,0,0,,
tommy pham,365.2,407.6,93,64.7,17.4,2,8.9,90.5,36.9,22.21,9.2,0.2556,0.3836,0.3236,0.7072,42.3,128.2,2,9,0.2662,0.4181,0.3095,0.3294,0.3356,0.1519,0.3588,0.3875,-0.0106,-0.0345,-0.0199,73.24,91.63,8.19,32.89,7.4,7.31,46.53,102.0113505,95.49471956,60.01,15.57,23.57,41.3,-1.3,27.42,0.94,101,103.6,RF,37
tomás nido,70.625,75.625,16.875,13.875,1.5,0,1.5,19.375,1.875,26.25,1.35,0.286375,0.3325,0.30775,0.64025,5.75,32.25,0,0,0.246375,0.360625,0.2835,0.2745,0.270375,0.11425,0.374125,0.361125,0.04,-0.028125,0.009,69.675,87.675,11.7875,37.5625,4.5,6.875,38.125,98.44848215,93.49733509,80.5375,19.9625,29.525,59.4375,0,24.95,0,0,0,C,31
trent grisham,331.5,388.2,73.8,44.2,13.1,0.7,15.8,92.9,50.6,24.23,12.6,0.2191,0.4089,0.325,0.7339,42.3,130.5,1.9,3.8,0.2372,0.4501,0.3228,0.3451,0.3412,0.2132,0.3679,0.4028,-0.0181,-0.0412,-0.0223,70.77,90.54,17.26,31.64,12.98,7.41,44.52,100.7182747,94.84063562,58.83,16.86,22.8,39.23,1.5,27.01,2.23,109.6,117.8,CF,28
trevor story,297.3,318.9,75.1,50,14.4,0,10.7,92.4,17.6,29.97,6.65,0.2466,0.3929,0.303,0.6959,45.3,130.1,1.5,14.8,0.2229,0.3623,0.3027,0.2827,0.2826,0.1394,0.404,0.3713,0.0237,0.0306,0.02,70.26,89.08,16.28,36,8.72,5.95,40.46,100.0371271,94.26992731,70.87,19.39,30.18,52.85,0,28.44,1.91,61.4,62.1,SS,32
ty france,457.6,510.5,114,79.1,25.6,0,9.3,93.1,30,18.11,5.73,0.2502,0.3657,0.3224,0.6881,49.9,192.5,0.3,1,0.2574,0.4226,0.3063,0.3303,0.3301,0.1654,0.3294,0.3623,-0.0072,-0.0569,-0.024,71.11,88.86,12.06,34.48,7.55,6.43,41.22,100.0281575,94.26308857,74.26,12.7,22.19,51.95,0,25.03,0.6,95.3,98.9,1B,30
tyler o'neill,242.4,277.1,55.7,28.9,11.2,0.5,15.1,81.1,29,27.32,10.01,0.2235,0.4509,0.3097,0.7606,34,104.6,0,3.2,0.2416,0.532,0.3256,0.3625,0.3266,0.2904,0.4108,0.4657,-0.0181,-0.0811,-0.0369,74.06,89.81,21.31,34.12,17.1,6.38,42.65,101.6481962,95.10671823,67.4,23.17,31.69,47.01,-2.7,28.05,0.84,108.8,106.9,LF,30
tyler wade,105.1,121.3,22.6,19.8,1.6,1.2,0,26.8,11.6,22.5,9.49,0.2191,0.2605,0.3018,0.5623,7.3,46.1,1.3,3.7,0.2097,0.2619,0.2597,0.2575,0.2936,0.0524,0.2812,0.2757,0.0094,-0.0014,0.0022,52.36,83.47,10.22,30,0.54,3.23,17.55,93.45668837,90.90958357,60.1,14.94,24.25,43.91,-1,28.44,-0.3,29,30,SS,30
victor caratini,256.2,285.9,66.7,48.4,9.2,0.3,8.8,52.4,19.7,18.47,7.05,0.2605,0.401,0.3237,0.7247,32.5,109.9,0.5,0.7,0.2577,0.4014,0.3166,0.3206,0.325,0.144,0.3504,0.3559,0.0028,-0.0004,-0.004,72.09,89.87,11.6,32.68,6.53,6.87,41.67,100.3215189,94.51364887,67.56,15.31,21.41,46.62,0,24.42,0.98,104.9,104.5,C,31
willi castro,410,464.3,99.8,64.5,20.4,4,10.9,111.3,38.1,24.02,8.21,0.2425,0.3937,0.3251,0.7188,38.3,162.3,5.2,15.3,0.2434,0.382,0.3165,0.3147,0.3268,0.1388,0.37,0.3673,-0.0009,0.0117,0.0018,71.38,87.32,13.3,36.8,7.06,6.58,37.6,99.35858209,93.72113599,71.71,18.38,27.98,52.44,-1.4,28.19,1.1,96.6,98.4,SS,28
william contreras,513,590.4,140.3,93,29.7,0.8,16.8,114.4,71,19.27,12.11,0.2721,0.4287,0.3624,0.7911,73.7,209.7,2.3,6.9,0.2597,0.4244,0.3456,0.3409,0.3539,0.1649,0.3818,0.3751,0.0124,0.0043,0.0047,73.82,91.55,6.07,29.72,7.78,8.83,48.49,103.0986844,96.13241326,67.37,18.49,26.09,45.91,0,26.27,4.16,121.6,124.4,C,27
wilmer flores,323.2,361.4,80.7,55.9,12.5,0,12.3,59,29.7,16.06,8.19,0.2436,0.3897,0.3131,0.7028,51.3,155.7,0,0.5,0.229,0.3516,0.3072,0.2921,0.3038,0.1231,0.3253,0.304,0.0146,0.0381,0.0151,66.1,84.88,19.72,35.52,5.43,4.86,27.38,95.93448679,91.98658429,62.12,11.13,17.13,45.3,0,24.33,0.56,98.5,102.7,1B,33
yoan moncada,164.8,183.9,40.7,24.6,8.9,1,6.2,50.7,16,26.47,9.75,0.251,0.42,0.3318,0.7518,21.5,71.8,0,0.5,0.2436,0.401,0.3289,0.321,0.3267,0.1576,0.4038,0.3919,0.0074,0.019,0.0079,72.29,90.59,12.29,37.62,7.82,8.45,41.3,100.1585404,94.49791823,66.41,18.05,29.11,46.15,0,26.37,0.47,76.8,77.8,3B,30
