Name,Position,player_id,year,player_age,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent
hoby milner,RP,571948,2024,33,268,244,63,44,11,2,6,64,14,23.9,5.2,0.258,0.393,0.299,0.692,0.249,0.346,0.297,0.28,0.292,0.097,0.37,0.346,0.009,0.047,0.017,71.2,87.7,8.4,30.9,2.7,7.4,36.2,75.77361,93.94596254,59,16.4,19.3,43.2
kyle hendricks,SP,543294,2024,34,567,514,147,110,15,1,21,87,43,15.3,7.6,0.286,0.442,0.34,0.782,0.276,0.426,0.339,0.336,0.335,0.15,0.37,0.366,0.01,0.016,0.003,71.5,85.9,13,36.4,7.4,5.1,33.4,73.58719884,93.0980278,64.4,13.4,18.9,46.2
caleb thielbar,RP,573204,2024,37,216,188,50,35,9,0,6,53,24,24.5,11.1,0.266,0.41,0.344,0.754,0.238,0.393,0.327,0.315,0.324,0.154,0.395,0.376,0.028,0.017,0.012,70.2,88.3,16.2,34.5,10.1,5,33.8,77.09406812,93.81948861,68.7,21,24.7,48.4
caleb ferguson,RP,657571,2024,27,249,219,56,39,11,0,6,67,25,26.9,10,0.256,0.388,0.341,0.729,0.243,0.371,0.322,0.313,0.332,0.128,0.395,0.381,0.013,0.017,0.009,71,88.2,9.9,35.9,6.5,3.3,37.3,76.92021961,93.76948533,65.5,17.2,26.6,47.1
derek law,RP,571882,2024,33,365,333,82,63,11,1,7,76,24,20.8,6.6,0.246,0.348,0.294,0.642,0.258,0.361,0.282,0.298,0.309,0.103,0.324,0.347,-0.012,-0.013,-0.016,71.5,88.2,9,34.5,3.8,4.5,35.2,77.85068985,93.34048065,67.8,16,28.6,49.9
cal quantrill,SP,615698,2024,29,656,571,156,101,26,6,23,110,69,16.8,10.5,0.273,0.461,0.361,0.822,0.274,0.434,0.358,0.351,0.362,0.161,0.384,0.375,-0.001,0.027,0.007,71.5,89.1,11.1,37.1,7.3,7.7,41.2,77.92321026,94.35473824,69.7,16.7,21.6,45.7
seranthony dominguez,RP,622554,2024,29,255,231,52,31,8,1,12,68,21,26.7,8.2,0.225,0.424,0.294,0.718,0.209,0.394,0.312,0.296,0.28,0.186,0.388,0.363,0.016,0.03,0.016,71.5,86.9,16.3,35.4,12.2,4.3,32.9,75.34808235,93.23032327,68.7,17,26.4,47.4
hunter harvey,RP,640451,2024,29,219,197,51,26,19,1,5,55,16,25.1,7.3,0.259,0.442,0.33,0.772,0.279,0.454,0.333,0.347,0.349,0.175,0.413,0.434,-0.02,-0.012,-0.014,71.4,90.4,10.9,37.8,9.1,9.8,48.3,79.35715296,95.30497511,68.9,22.8,27.1,51.3
joe ross,RP,605452,2024,31,321,287,72,55,10,0,7,66,29,20.6,9,0.251,0.359,0.319,0.678,0.239,0.381,0.299,0.306,0.31,0.143,0.337,0.347,0.012,-0.022,-0.007,72.1,88.7,16.7,30.8,8,3.1,38.8,77.82836108,93.97321847,68.8,18.1,27.1,49.4
chris paddack,SP,663978,2024,28,384,360,102,72,16,0,14,79,21,20.6,5.5,0.283,0.444,0.323,0.767,0.272,0.463,0.332,0.336,0.314,0.192,0.397,0.403,0.011,-0.019,-0.004,71.4,90.4,14.3,40.6,9.9,6.7,43.1,79.36252664,95.10185032,68.1,17.5,24,49.4
griffin canning,SP,656288,2024,28,739,656,174,112,28,3,31,130,66,17.6,8.9,0.265,0.459,0.334,0.793,0.259,0.437,0.341,0.333,0.329,0.178,0.378,0.367,0.006,0.022,0.008,72.2,90.5,14.3,32.4,8.6,5.4,41.9,80.44388652,94.70050589,70.2,14.3,24.5,48.4
ryne stanek,RP,592773,2024,32,241,212,48,32,6,2,8,67,25,27.8,10.4,0.226,0.387,0.315,0.702,0.205,0.356,0.307,0.288,0.297,0.151,0.379,0.348,0.021,0.031,0.019,71.2,90.2,19,34.2,9.6,7.5,41.8,80.9713848,94.14618586,72.6,27.3,33.2,51.5
ryan brasier,RP,518489,2024,36,110,101,22,13,5,1,3,25,5,22.7,4.5,0.218,0.376,0.248,0.624,0.247,0.396,0.265,0.289,0.277,0.149,0.322,0.355,-0.029,-0.02,-0.024,72.1,90.7,16.6,35,7.5,6.3,43.8,81.44790923,94.55440205,73.3,15.6,22.3,56.4
andrew chafin,RP,605177,2024,34,246,211,52,42,5,0,5,70,31,28.5,12.6,0.246,0.341,0.341,0.682,0.222,0.347,0.301,0.296,0.323,0.124,0.372,0.363,0.024,-0.006,0.005,70.7,88.5,15,37.5,6.3,7.6,34,78.83767042,93.22795818,66.5,15.5,34.5,46.1
clayton kershaw,SP,477132,2024,36,133,119,36,26,7,1,2,24,9,18,6.8,0.303,0.429,0.353,0.782,0.287,0.407,0.336,0.329,0.346,0.12,0.382,0.373,0.016,0.022,0.007,72.5,90.4,14.1,38.8,4.1,8.2,40.8,79.44412408,94.90312443,69.4,13,21.7,50.2
michael kopech,SP,656629,2024,28,279,234,44,31,4,0,9,88,34,31.5,12.2,0.188,0.321,0.299,0.62,0.192,0.346,0.277,0.29,0.303,0.154,0.336,0.36,-0.004,-0.025,-0.013,71.3,89,16.9,34.2,10.5,3.9,40.8,78.87688133,93.87934544,64.4,25.7,32.8,46.9
andrew heaney,SP,571760,2024,33,693,634,159,105,30,1,23,159,41,22.9,5.9,0.251,0.41,0.307,0.717,0.253,0.433,0.312,0.325,0.312,0.18,0.374,0.393,-0.002,-0.023,-0.013,72.1,89.6,18.2,37.4,8.3,7.9,40.1,78.99058224,94.38834762,70.1,17.9,26.3,50.3
chris martin,RP,455119,2024,38,180,170,47,39,3,0,5,50,3,27.8,1.7,0.276,0.382,0.298,0.68,0.257,0.369,0.293,0.287,0.286,0.112,0.397,0.388,0.019,0.013,0.006,71.2,88.5,9.4,35.8,4.1,4.9,35,77.54772733,93.92516183,68.9,19.4,23.9,54
tyler rogers,RP,643511,2024,33,290,273,67,46,14,0,7,51,6,17.6,2.1,0.245,0.374,0.278,0.652,0.237,0.339,0.281,0.27,0.273,0.102,0.324,0.309,0.008,0.035,0.011,70.1,85.2,7.5,24.9,4.4,3.1,31.1,73.0390233,92.70492576,70.1,16,18.6,53
gregory soto,RP,642397,2024,29,244,206,56,40,10,2,4,65,27,26.6,11.1,0.272,0.398,0.374,0.772,0.236,0.372,0.34,0.322,0.348,0.136,0.414,0.384,0.036,0.026,0.018,70.6,88.6,6.2,34.7,7.6,4.9,43.8,77.25008,94.26132113,64.9,17.8,31,47.1
kyle finnegan,RP,640448,2024,32,271,245,61,45,4,3,9,60,24,22.1,8.9,0.249,0.4,0.315,0.715,0.261,0.411,0.309,0.321,0.327,0.15,0.365,0.382,-0.012,-0.011,-0.012,71.7,91.3,10.6,31.6,7,8,48.1,80.41569495,95.62157714,72.4,18.2,23.1,53.2
zack littell,RP,641793,2024,28,656,618,164,111,29,2,22,141,31,21.5,4.7,0.265,0.426,0.306,0.732,0.263,0.436,0.317,0.321,0.303,0.173,0.383,0.388,0.002,-0.01,-0.004,72,89.3,18.1,36.2,9.6,6.3,39.2,78.59029555,94.13734457,70.6,14.5,23.1,51.9
austin gomber,SP,596295,2024,30,696,653,178,105,39,4,30,116,38,16.7,5.5,0.273,0.482,0.312,0.794,0.278,0.482,0.339,0.344,0.317,0.204,0.387,0.392,-0.005,0,-0.005,72,90.2,15,37.7,9.6,8.5,41.2,80.0362653,94.43249207,68.7,14.6,19.9,48.3
phil maton,RP,664208,2024,31,265,231,47,30,8,2,7,60,24,22.6,9.1,0.203,0.346,0.303,0.649,0.239,0.385,0.29,0.32,0.334,0.147,0.316,0.362,-0.036,-0.039,-0.03,70.8,86.5,12.9,32.6,7,7,33.1,74.35492628,93.40446994,67.1,22.3,26.7,47.2
jake junis,RP,596001,2024,31,253,241,49,28,12,1,8,51,8,20.2,3.2,0.203,0.361,0.237,0.598,0.251,0.414,0.259,0.302,0.283,0.163,0.302,0.359,-0.048,-0.053,-0.043,72,90,15.1,35.1,8.4,6.3,42.4,80.31472646,94.19923749,62.7,19.5,24.6,47.8
devin williams,RP,642207,2024,29,88,75,10,5,4,0,1,38,11,43.2,12.5,0.133,0.227,0.261,0.488,0.143,0.204,0.228,0.225,0.27,0.061,0.31,0.305,-0.01,0.023,0.003,70.7,84.2,14.8,29.7,5.4,5.4,32.4,73.45445579,91.88277865,69.9,31.4,40,47.3
erick fedde,SP,607200,2024,31,726,661,154,100,30,4,20,154,52,21.2,7.2,0.233,0.381,0.291,0.672,0.245,0.394,0.293,0.306,0.303,0.149,0.337,0.355,-0.012,-0.013,-0.013,71.6,88.6,14.9,32.4,7.6,6,37.7,77.50250055,93.94163216,68.4,15.3,21.6,45.5
tommy kahnle,RP,592454,2024,34,179,158,30,16,9,0,5,46,19,25.7,10.6,0.19,0.342,0.285,0.627,0.203,0.334,0.278,0.284,0.297,0.131,0.318,0.328,-0.013,0.008,-0.006,71.8,86.2,3.7,24.1,6.3,3.6,32.1,74.11951364,93.096771,69.1,23,36,47.7
emilio pagan,RP,641941,2024,33,158,144,40,28,6,0,6,44,11,27.8,7,0.278,0.444,0.323,0.767,0.243,0.409,0.33,0.308,0.297,0.165,0.432,0.399,0.035,0.035,0.022,71.8,90.4,20.9,36.9,8.7,11.7,50.5,79.26064137,95.23888422,72.6,26.4,29.6,53.6
ryan helsley,RP,664854,2024,29,266,238,50,41,6,0,3,79,23,29.7,8.6,0.21,0.273,0.275,0.548,0.212,0.301,0.243,0.257,0.28,0.089,0.306,0.328,-0.002,-0.028,-0.014,70.7,89.4,18.3,36.6,3.7,7.9,35.4,80.15601207,93.65712295,69.7,24.1,36.1,53
nestor cortes,SP,641482,2024,29,710,661,162,94,44,0,24,162,39,22.8,5.5,0.245,0.421,0.29,0.711,0.235,0.396,0.307,0.295,0.281,0.161,0.372,0.356,0.01,0.025,0.012,71.9,89.7,22.4,35,7.9,7.9,43.6,79.12267623,94.47087918,72.9,20.1,24.2,50.4
wade miley,SP,489119,2024,37,30,24,6,5,0,0,1,2,4,6.7,13.3,0.25,0.375,0.379,0.754,0.342,0.519,0.343,0.428,0.455,0.178,0.294,0.406,-0.092,-0.144,-0.085,71.4,90,0.2,34.8,8.7,0,34.8,80.43541909,94.35430714,64.3,11.1,9.6,44.1
jordan romano,RP,605447,2024,31,62,56,16,9,3,0,4,13,4,21,6.5,0.286,0.554,0.344,0.898,0.312,0.598,0.378,0.407,0.368,0.286,0.463,0.503,-0.026,-0.044,-0.029,70.7,91.6,17.7,43.2,13.6,9.1,50,81.77876364,95.63950512,64,11,24.3,47.9
merrill kelly,SP,518876,2024,35,300,277,67,39,16,1,11,63,19,21,6.3,0.242,0.426,0.294,0.72,0.263,0.47,0.311,0.34,0.314,0.207,0.366,0.405,-0.021,-0.044,-0.029,72.7,90.5,11,33.5,10.7,6,40.9,80.35668857,94.67706633,68.1,12.9,21.3,48.2
aaron civale,SP,650644,2024,29,689,627,158,98,31,0,29,149,52,21.6,7.5,0.252,0.44,0.314,0.754,0.243,0.393,0.327,0.309,0.308,0.151,0.385,0.359,0.009,0.047,0.018,71.6,89.4,17.2,36.5,7.3,9.8,39.4,79.15200724,94.00241371,64.4,13.3,21.9,45.2
patrick corbin,SP,571578,2024,34,764,697,208,134,42,7,25,139,54,18.2,7.1,0.298,0.486,0.348,0.834,0.295,0.473,0.357,0.357,0.347,0.178,0.412,0.412,0.003,0.013,0,72.2,90.8,10,37.3,8.3,7.7,46.7,79.87784313,95.30570991,69.1,12.6,22.4,48.2
kenley jansen,RP,445276,2024,36,218,194,38,25,9,0,4,62,20,28.4,9.2,0.196,0.304,0.271,0.575,0.208,0.352,0.253,0.28,0.285,0.144,0.308,0.352,-0.012,-0.048,-0.027,71.1,90.4,22.3,36.3,11.1,4.4,37,81.42870806,94.00721202,67.4,19.9,27,49.4
jose leclerc,RP,600917,2024,30,288,247,56,40,9,0,7,89,32,30.9,11.1,0.227,0.348,0.323,0.671,0.213,0.343,0.3,0.294,0.312,0.13,0.381,0.37,0.014,0.005,0.006,71.4,87.4,18,36.2,7.4,5.5,30.7,75.98134481,93.54197127,69.2,27.2,36,47.3
german marquez,SP,608566,2024,29,20,16,5,4,0,0,1,3,4,15,20,0.313,0.5,0.45,0.95,0.269,0.456,0.417,0.386,0.415,0.187,0.429,0.382,0.044,0.044,0.031,73.5,93.1,15.4,23.1,7.7,7.7,53.8,83.45298429,97.12211231,69.4,16,28.1,45.7
aroldis chapman,RP,547973,2024,36,264,222,44,29,9,1,5,98,38,37.1,14.4,0.198,0.315,0.318,0.633,0.165,0.282,0.289,0.268,0.293,0.117,0.386,0.344,0.033,0.033,0.021,71,90.5,11.2,31,7.1,5.6,41.3,80.3985429,94.66331355,62.1,23.7,32.3,44.5
tyler mahle,SP,641816,2024,29,56,50,14,10,2,1,1,10,4,17.9,7.1,0.28,0.42,0.339,0.759,0.251,0.358,0.329,0.301,0.318,0.107,0.365,0.326,0.029,0.062,0.028,71.8,88.8,16.3,29.3,4.9,7.3,34.1,77.7512375,94.04452775,68.2,25.3,25.2,48.5
taylor rogers,RP,573124,2024,33,249,224,53,32,13,1,7,64,22,25.7,8.8,0.237,0.397,0.309,0.706,0.215,0.335,0.309,0.282,0.292,0.12,0.376,0.333,0.022,0.062,0.027,70.3,86.7,12.3,32.3,6.2,4.3,32.9,74.55486025,93.4377415,61.2,17.3,23.3,42.5
steven matz,SP,571927,2024,33,190,171,49,32,10,0,7,33,15,17.4,7.9,0.287,0.468,0.349,0.817,0.269,0.424,0.352,0.331,0.334,0.156,0.396,0.368,0.018,0.044,0.021,71,87.6,12.3,44.3,7.9,5,30.7,77.27939899,93.05880511,68.1,14.9,18.1,48.3
ranger suarez,SP,624133,2024,28,626,575,140,92,32,2,14,145,41,23.2,6.5,0.243,0.379,0.299,0.678,0.25,0.365,0.297,0.297,0.306,0.116,0.355,0.356,-0.007,0.014,0,71.6,86.9,6.3,32.9,5.1,6,34.3,74.74350722,93.61882976,66.2,12.9,21.9,47.3
rafael montero,RP,606160,2024,33,164,141,35,22,4,1,8,23,19,14,11.6,0.248,0.461,0.348,0.809,0.268,0.467,0.352,0.363,0.365,0.199,0.356,0.373,-0.02,-0.006,-0.011,71,89.8,11.3,36.1,10.1,6.7,42,79.6057485,94.22880832,70.1,12.4,17.9,45.1
tomoyuki sugano,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kirby yates,RP,489446,2024,37,237,203,23,15,5,0,3,85,28,35.9,11.8,0.113,0.182,0.225,0.407,0.145,0.214,0.186,0.212,0.253,0.068,0.212,0.262,-0.032,-0.032,-0.026,71.2,87.5,15.2,16.5,4.1,2.5,33.1,77.03891787,93.21349736,67.6,28.6,33.6,49.3
tyler anderson,SP,542881,2024,34,765,681,158,99,32,3,24,142,73,18.6,9.5,0.232,0.394,0.311,0.705,0.245,0.413,0.308,0.322,0.323,0.168,0.334,0.354,-0.013,-0.019,-0.014,72.1,87.2,17.6,34.1,7.9,5.9,33,76.27353733,93.1219435,71.5,20.8,27.8,49.3
zach eflin,SP,621107,2024,30,684,653,166,114,28,2,22,134,24,19.6,3.5,0.254,0.404,0.283,0.687,0.249,0.405,0.297,0.297,0.279,0.157,0.352,0.353,0.005,-0.001,0,71.5,88.1,13.3,30,7.5,5.4,36.1,76.38875143,94.04059667,65.6,14.4,21.6,50
dylan cease,SP,656302,2024,28,762,684,137,84,34,1,18,224,65,29.4,8.5,0.2,0.332,0.269,0.601,0.21,0.358,0.266,0.283,0.28,0.148,0.333,0.361,-0.01,-0.026,-0.017,71.3,89,14.1,32.4,8.5,7.2,38.6,78.28270224,94.08470927,68.5,22.1,32.4,48.2
zac gallen,SP,668678,2024,28,621,561,133,86,29,5,13,156,54,25.1,8.7,0.237,0.376,0.308,0.684,0.246,0.379,0.301,0.308,0.316,0.134,0.361,0.371,-0.009,-0.003,-0.007,71.8,90,11.8,34.9,7.4,7.6,41,79.81895601,94.40298237,63.8,14,26,44.2
jon gray,SP,592351,2024,32,439,408,107,75,17,4,11,86,28,19.6,6.4,0.262,0.404,0.308,0.712,0.276,0.441,0.309,0.331,0.322,0.165,0.359,0.389,-0.014,-0.037,-0.022,71.7,90.5,15.3,34.8,8.6,6.5,42.2,80.08735556,94.98095763,70.6,14.6,23.8,51.6
raisel iglesias,RP,628452,2024,34,259,238,38,27,5,2,4,68,13,26.3,5,0.16,0.248,0.211,0.459,0.195,0.292,0.2,0.233,0.244,0.097,0.241,0.291,-0.035,-0.044,-0.033,71.5,86,14.2,25.7,4,3.4,30.9,74.3879693,92.79837427,68.5,23.5,31.5,52.3
justin verlander,SP,434378,2024,41,396,358,98,67,14,2,15,74,27,18.7,6.8,0.274,0.45,0.331,0.781,0.234,0.389,0.337,0.301,0.297,0.155,0.383,0.333,0.04,0.061,0.036,71,88.6,20.9,39.1,6.9,8,32.5,78.65458569,93.34992927,69.9,17.2,21.3,48.7
charlie morton,SP,450203,2024,40,701,613,154,94,35,2,23,167,65,23.8,9.3,0.251,0.427,0.339,0.766,0.243,0.401,0.335,0.326,0.333,0.159,0.394,0.379,0.008,0.026,0.009,71.6,88.7,9,33,9.3,5.5,38.4,77.72973688,93.92910531,66.3,16.1,26.1,46.6
alex cobb,SP,502171,2024,36,62,58,14,11,1,1,1,10,3,16.1,4.8,0.241,0.345,0.274,0.619,0.281,0.479,0.269,0.342,0.316,0.197,0.298,0.39,-0.04,-0.134,-0.073,72.9,91.9,0.9,32.7,6.1,6.1,44.9,82.8665176,95.13109816,57.3,7.5,17.1,43.4
max scherzer,SP,453286,2024,39,177,165,40,22,11,0,7,40,10,22.6,5.6,0.242,0.436,0.288,0.724,0.243,0.399,0.312,0.304,0.291,0.156,0.377,0.367,-0.001,0.037,0.008,71.8,87.9,20.8,40.5,7.9,4.8,34.9,76.86814656,93.48110123,72.6,20.3,29.2,54.7
david robertson,RP,502085,2024,39,297,262,53,42,6,0,5,99,28,33.3,9.4,0.202,0.282,0.291,0.573,0.212,0.328,0.257,0.278,0.299,0.117,0.334,0.373,-0.01,-0.046,-0.021,71.1,88.7,9.9,31.1,5.5,4.9,37.8,77.81277281,93.89554153,61.8,22,29.5,43.4
miles mikolas,SP,571945,2024,35,720,683,194,113,51,4,26,122,25,16.9,3.5,0.284,0.485,0.312,0.797,0.278,0.458,0.339,0.331,0.307,0.18,0.394,0.383,0.006,0.027,0.008,72,88.8,13.6,38.1,8.1,8.8,42.3,77.51144944,94.25374515,66.5,12.5,16.4,49.8
framber valdez,SP,664285,2024,30,703,634,140,102,24,1,13,169,55,24,7.8,0.221,0.323,0.287,0.61,0.233,0.34,0.272,0.287,0.301,0.106,0.315,0.337,-0.012,-0.017,-0.015,72.1,90.2,0.4,26,5.3,5.1,45,80.00072636,94.62055766,61.2,14.4,27.2,45
chris bassitt,SP,605135,2024,35,758,667,180,132,29,1,18,168,70,22.2,9.2,0.27,0.397,0.352,0.749,0.256,0.399,0.331,0.327,0.34,0.143,0.381,0.375,0.014,-0.002,0.004,71.2,87.8,14.3,36.3,7.5,4,37.1,75.64419492,94.07781649,65.4,17,21.7,45
nick martinez,SP,607259,2024,33,570,539,128,81,32,2,13,116,18,20.4,3.2,0.237,0.377,0.267,0.644,0.242,0.365,0.279,0.278,0.272,0.123,0.332,0.331,-0.005,0.012,0.001,71.4,86.4,17,34,5.1,4,30.5,74.85049693,92.97895951,67.4,16.2,23.1,51.1
jordan montgomery,SP,656756,2024,31,532,478,149,92,40,3,14,83,44,15.6,8.3,0.312,0.496,0.369,0.865,0.287,0.443,0.37,0.347,0.349,0.156,0.413,0.382,0.025,0.053,0.023,72,88.6,12.2,36.6,6,8.2,41,77.21272223,94.21828914,70.3,17.7,26.9,49.6
frankie montas,SP,593423,2024,31,655,576,140,87,28,1,24,148,66,22.6,10.1,0.243,0.42,0.325,0.745,0.247,0.428,0.325,0.333,0.33,0.181,0.376,0.388,-0.004,-0.008,-0.008,72.2,89.3,13.5,36.2,9.2,7.4,43.1,77.76235797,94.5763134,70.6,17.7,24.9,48.7
shane bieber,SP,669456,2024,29,45,44,10,6,4,0,0,20,1,44.4,2.2,0.227,0.318,0.244,0.562,0.226,0.352,0.244,0.259,0.244,0.125,0.43,0.457,0.001,-0.034,-0.015,,88.5,7.1,45.8,4.2,8.3,41.7,77.02425667,94.20152208,71.4,28.3,36.7,47.6
