Name,Position,player_id,year,player_age,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent
carlos carrasco,SP,471911,2024,37,447,406,112,62,26,5,19,89,33,19.9,7.4,0.276,0.505,0.336,0.841,0.26,0.435,0.36,0.333,0.324,0.176,0.421,0.383,0.016,0.07,0.027,72.1,89.3,10.8,35.3,8.1,7.5,38.8,78.88742044,94.03683051,69.2,11.4,22.7,48.7
hector neris,RP,593576,2024,35,260,225,55,34,11,2,8,64,28,24.6,10.8,0.244,0.418,0.331,0.749,0.238,0.408,0.324,0.32,0.326,0.17,0.389,0.382,0.006,0.01,0.004,71.2,88.6,14.8,35.2,9.1,6.7,40.6,77.51319388,94.15987363,73.6,17.8,25.9,51
joey lucchesi,RP,664192,2024,31,46,37,8,4,3,0,1,7,8,15.2,17.4,0.216,0.378,0.356,0.734,0.267,0.433,0.33,0.371,0.397,0.167,0.311,0.373,-0.051,-0.055,-0.041,73,94.9,11.8,29,9.7,12.9,54.8,86.33713533,96.97477069,68.9,8.1,12.7,44.1
tyler alexander,RP,641302,2024,29,455,419,110,66,20,1,23,90,24,19.8,5.3,0.263,0.48,0.307,0.787,0.259,0.463,0.335,0.332,0.306,0.204,0.395,0.391,0.004,0.017,0.003,72,88.4,21,36.6,9.8,7.4,37.2,77.46755418,93.86658133,67,16.7,20.1,50
erasmo ramirez,RP,541640,2024,34,85,73,12,6,1,0,5,15,10,17.6,11.8,0.164,0.384,0.271,0.655,0.204,0.446,0.282,0.326,0.308,0.242,0.285,0.346,-0.04,-0.062,-0.044,72.3,88,17.9,32.2,15.3,1.7,32.2,78.47391467,92.81808153,67.9,20.9,23.4,46.7
trevor richards,RP,670950,2024,31,277,234,44,30,7,0,7,62,35,22.4,12.6,0.188,0.308,0.295,0.603,0.205,0.334,0.273,0.295,0.313,0.129,0.282,0.316,-0.017,-0.026,-0.022,70.3,88.3,18.8,31.1,6.8,5.6,37.9,78.11963557,93.44244619,62.7,14.7,23.4,44.2
sean newcomb,RP,656794,2024,31,45,35,9,6,1,0,2,7,8,15.6,17.8,0.257,0.457,0.409,0.866,0.238,0.421,0.376,0.357,0.393,0.184,0.38,0.35,0.019,0.036,0.019,71.1,88.7,11.9,24.1,6.9,6.9,44.8,77.25032429,94.43559929,67.4,11.7,19.7,41.3
shelby miller,RP,571946,2024,33,225,203,41,22,10,0,9,49,13,21.8,5.8,0.202,0.384,0.262,0.646,0.222,0.389,0.28,0.3,0.285,0.167,0.319,0.348,-0.02,-0.005,-0.02,70.3,91.1,16.8,31,7.6,5.7,41.1,82.00980848,94.57693247,69,17.6,24.3,49.3
bryse wilson,RP,669060,2024,26,442,405,102,71,9,2,20,82,31,18.6,7,0.252,0.432,0.311,0.743,0.279,0.476,0.323,0.351,0.335,0.197,0.364,0.403,-0.027,-0.044,-0.028,71.9,89.7,16.7,37.5,9.2,7.7,44.3,78.44719333,94.77132502,68.1,15.9,20.8,48.3
tim mayza,RP,641835,2024,32,195,175,54,35,12,2,5,28,15,14.4,7.7,0.309,0.486,0.359,0.845,0.287,0.471,0.358,0.348,0.344,0.184,0.393,0.382,0.022,0.015,0.01,71.7,88.3,9.2,42.4,9.3,6.6,38.4,77.39742284,93.76203585,65.1,10.5,17.5,44.5
jalen beeks,RP,656222,2024,30,312,276,77,60,10,1,6,55,27,17.6,8.7,0.279,0.388,0.346,0.734,0.242,0.371,0.322,0.301,0.314,0.129,0.354,0.327,0.037,0.017,0.021,71.2,87.2,13.5,30.4,4.8,4,33,75.98706315,93.31572095,73.5,14.6,23.2,47.3
shawn armstrong,RP,542888,2024,33,295,266,77,52,17,2,6,66,25,22.4,8.5,0.289,0.436,0.354,0.79,0.277,0.442,0.345,0.345,0.345,0.165,0.411,0.413,0.012,-0.006,0,71.5,88.9,16.7,36.6,8.9,4,38.1,77.5847539,94.1636783,68.7,19.1,22.9,50.9
adrian houser,SP,605288,2024,31,309,272,74,43,23,0,8,45,32,14.6,10.4,0.272,0.445,0.356,0.801,0.268,0.443,0.35,0.349,0.353,0.175,0.365,0.364,0.004,0.002,0.001,71.8,91,9.3,29.8,8.8,4.8,40.4,81.6021107,94.66882916,66.1,11.7,18.2,44.7
drew pomeranz,RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad keller,SP,641745,2024,28,192,175,48,28,11,0,9,32,15,16.7,7.8,0.274,0.491,0.339,0.83,0.252,0.444,0.358,0.334,0.318,0.193,0.398,0.366,0.022,0.047,0.024,71.5,88.6,8.8,30.1,10.5,3.5,39.2,77.01436972,94.31740291,67,13.6,21.1,46
mike clevinger,RP,605182,2024,33,78,69,22,12,5,1,4,15,9,19.2,11.5,0.319,0.594,0.397,0.991,0.284,0.581,0.418,0.398,0.367,0.297,0.493,0.465,0.035,0.013,0.02,72.2,90,18.3,40.7,14.8,3.7,37,79.7783337,94.50776642,64.7,25.3,26.6,47.2
miguel castro,RP,612434,2024,29,64,59,20,11,5,1,3,8,3,12.5,4.7,0.339,0.61,0.381,0.991,0.325,0.514,0.421,0.38,0.367,0.189,0.465,0.415,0.014,0.096,0.041,71.4,84.6,8.3,38.5,5.8,1.9,25,73.98039885,92.00590294,66,10,18.5,46.6
anthony desclafani,RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ryan yarbrough,RP,642232,2024,32,398,348,70,49,10,0,11,65,32,16.3,8,0.201,0.325,0.289,0.614,0.245,0.383,0.273,0.316,0.33,0.139,0.275,0.334,-0.044,-0.058,-0.043,70.9,86,14.3,33.6,6.2,3.8,29.4,74.84533674,92.61506651,66.4,18.2,21.1,47.4
luke weaver,RP,596133,2024,30,331,296,52,29,9,4,10,103,26,31.1,7.9,0.176,0.334,0.248,0.582,0.2,0.36,0.256,0.283,0.275,0.161,0.323,0.368,-0.024,-0.026,-0.027,71.2,89.1,16.5,36.4,8.6,8.6,38.4,77.93765439,94.29746564,72.7,28.2,33.5,49.7
dustin may,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin wilson,RP,458677,2024,36,209,192,55,35,10,0,10,51,13,24.4,6.2,0.286,0.495,0.335,0.83,0.245,0.439,0.354,0.318,0.299,0.195,0.447,0.394,0.041,0.056,0.036,72,88.6,17.8,35.7,11.2,7.7,41.3,76.70977127,94.55856901,74.6,20.1,25.1,55.1
danny coulombe,RP,543056,2024,34,107,102,15,9,3,0,3,32,5,29.9,4.7,0.147,0.265,0.187,0.452,0.214,0.357,0.199,0.266,0.251,0.143,0.255,0.359,-0.067,-0.092,-0.067,71.3,90.3,11.8,27.1,5.7,7.1,47.1,79.79746714,95.03674768,62.1,14.9,24,44.6
