Name,Position,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
jorge mateo,SS,622761,2024,29,192,208,44,23,14,2,5,48,10,23.1,4.8,0.229,0.401,0.267,0.668,18,77,2,13,0.228,0.339,0.286,0.271,0.27,0.111,0.349,0.328,0.001,0.062,0.015,72.5,88.1,14.1,30.2,4,7.4,34.9,99.94372778,94.06045521,70.3,14,23.1,51.7,,29.9
tom murphy,C,608596,2024,33,34,38,4,2,1,0,1,14,4,36.8,10.5,0.118,0.235,0.211,0.446,2,14,0,0,0.151,0.317,0.206,0.25,0.24,0.166,0.253,0.337,-0.033,-0.082,-0.044,72.4,87.4,4.5,35,10,15,35,100.157273,94.138457,58.8,23.4,36.9,42.8,,26.1
luis robert jr.,CF,673357,2024,26,393,425,88,55,19,0,14,141,28,33.2,6.6,0.224,0.379,0.278,0.657,35,169,6,23,0.212,0.367,0.285,0.279,0.269,0.155,0.399,0.389,0.012,0.012,0.006,74.6,90.1,13.5,35.6,9.9,5.1,40.7,101.232869,94.88607694,72.7,23.4,36.1,53.1,1,28.8
taylor walls,SS,670764,2024,27,218,252,40,31,5,3,1,67,31,26.6,12.3,0.183,0.248,0.282,0.53,14,95,4,16,0.184,0.259,0.245,0.252,0.284,0.075,0.262,0.274,-0.001,-0.011,-0.007,67.3,86.1,18.2,29.9,3.2,5.2,24,95.08673461,91.54471026,69.3,18.6,25,45.1,,27.8
salvador perez,C,521692,2024,34,590,652,160,105,28,0,27,129,44,19.8,6.7,0.271,0.456,0.33,0.786,104,236,0,0,0.275,0.522,0.335,0.36,0.334,0.248,0.392,0.427,-0.004,-0.066,-0.025,73.2,91.1,19,39.4,12.2,6.6,44.8,101.8562756,95.34185737,77.3,18.3,27.8,57.8,,24.5
william contreras,C,661388,2024,26,595,679,167,105,37,2,23,139,78,20.5,11.5,0.281,0.466,0.365,0.831,92,224,2,9,0.269,0.471,0.359,0.358,0.356,0.202,0.412,0.411,0.012,-0.005,0.001,74.7,92.8,6.1,29,10,7.8,49.5,103.87548,96.64260253,71,19.3,27.8,47.4,,26.4
brandon lowe,2B,664040,2024,29,385,425,94,51,19,3,21,112,33,26.4,7.8,0.244,0.473,0.311,0.784,58,152,1,5,0.252,0.482,0.335,0.343,0.318,0.23,0.424,0.437,-0.008,-0.009,-0.008,73.4,89.8,14.5,39.6,12.4,6.9,44.7,101.345776,94.9549512,80.3,23.7,32.7,55.3,,27.2
max muncy,1B,571970,2024,33,237,293,55,23,17,0,15,77,45,26.3,15.4,0.232,0.494,0.358,0.852,48,145,0,1,0.229,0.448,0.362,0.349,0.357,0.22,0.436,0.414,0.003,0.046,0.013,71.3,90.2,26.6,32.5,10.8,11.4,43.4,100.7750152,94.75227874,63.7,23.8,31,40.6,,26.9
max muncy,1B,571970,2024,33,237,293,55,23,17,0,15,77,45,26.3,15.4,0.232,0.494,0.358,0.852,48,145,0,1,0.229,0.448,0.362,0.349,0.357,0.22,0.436,0.414,0.003,0.046,0.013,71.3,90.2,26.6,32.5,10.8,11.4,43.4,100.7750152,94.75227874,63.7,23.8,31,40.6,,26.9
tyler wade,SS,642180,2024,29,138,156,30,27,3,0,0,29,11,18.6,7.1,0.217,0.239,0.285,0.524,8,54,1,8,0.244,0.31,0.242,0.281,0.309,0.066,0.253,0.306,-0.027,-0.071,-0.039,66.2,83.7,14.5,38.1,1.8,2.7,17.7,93.38536392,90.89081178,62.4,11.4,20.8,44.1,,28.7
