Name,Position,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
cedric mullins,CF,656775,2024,29,444,499,104,67,16,3,18,98,41,19.6,8.2,0.234,0.405,0.305,0.71,54,188,6,32,0.227,0.355,0.31,0.291,0.298,0.128,0.347,0.32,0.007,0.05,0.019,71,87.1,21.5,31.7,4.9,5.4,33.4,97.75960611,92.89369311,73.3,13.1,19.1,51.4,3,28.3
luis rengifo,SS,650859,2024,27,283,304,85,65,13,1,6,44,16,14.5,5.3,0.3,0.417,0.347,0.764,30,99,7,24,0.262,0.352,0.335,0.295,0.311,0.09,0.366,0.316,0.038,0.065,0.04,69.7,87,6.7,30.4,2.5,5,32.5,96.9891535,92.54892946,80,13.9,22.3,56.3,,26.9
mike yastrzemski,CF,573262,2024,33,428,474,99,56,16,9,18,124,38,26.2,8,0.231,0.437,0.302,0.739,57,180,2,3,0.219,0.397,0.319,0.301,0.292,0.178,0.396,0.369,0.012,0.04,0.018,70.9,90.4,19.1,33,10.5,6.5,41,99.5562712,94.18678341,63.7,20,26.1,44.1,0,27.2
eugenio suarez,3B,553993,2024,32,571,640,146,86,28,2,30,176,49,27.5,7.7,0.256,0.469,0.319,0.788,101,266,1,2,0.247,0.447,0.337,0.33,0.314,0.201,0.433,0.421,0.009,0.022,0.007,72.2,89.1,19.5,40.4,11.3,8.9,42.4,100.5705523,94.46343899,66.9,18.8,29.1,47.2,,26.5
max kepler,RF,596146,2024,31,368,399,93,63,21,1,8,80,22,20.1,5.5,0.253,0.38,0.302,0.682,42,163,0,1,0.247,0.381,0.298,0.301,0.3,0.134,0.343,0.348,0.006,-0.001,-0.003,71.4,88.9,16.8,35.4,6.2,7.2,36.8,99.56999132,93.86754188,74.3,15.2,24.4,52.3,4,26.8
christian vazquez,C,543877,2024,33,294,315,65,48,10,0,7,65,11,20.6,3.5,0.221,0.327,0.248,0.575,27,141,1,3,0.232,0.348,0.25,0.265,0.26,0.117,0.297,0.317,-0.011,-0.021,-0.015,68.3,88.5,16.1,36.1,3.8,6.3,36.6,98.03694414,93.21320099,68.5,14,20.8,51.7,,24.8
bo bichette,SS,666182,2024,26,311,336,70,49,16,1,4,64,20,19,6,0.225,0.322,0.277,0.599,31,118,1,5,0.251,0.37,0.264,0.299,0.304,0.12,0.293,0.342,-0.026,-0.048,-0.035,70.4,89.2,7.2,31.3,4.4,7.2,43.5,100.8967765,94.77886282,76.3,11.4,22,56.4,,27.3
carlos santana,1B,467793,2024,38,521,594,124,75,26,0,23,99,65,16.7,10.9,0.238,0.42,0.328,0.748,71,244,0,4,0.246,0.415,0.326,0.33,0.336,0.169,0.344,0.348,-0.008,0.005,-0.004,71.8,89.2,16.1,30.9,7.3,6.6,39.9,99.50612439,94.00416778,64.9,16.6,23.3,43.3,,25.9
paul goldschmidt,1B,502671,2024,36,599,654,147,91,33,1,22,173,47,26.5,7.2,0.245,0.414,0.302,0.716,65,269,0,11,0.255,0.45,0.31,0.329,0.311,0.195,0.393,0.423,-0.01,-0.036,-0.019,72.5,91.2,13.1,34.3,10.7,8.9,49.6,101.8925837,95.66642815,65.1,22.1,27.4,47.7,,26.3
yoan moncada,3B,660162,2024,29,40,45,11,7,3,1,0,11,5,24.4,11.1,0.275,0.4,0.356,0.756,0,15,0,1,0.264,0.346,0.333,0.314,0.346,0.081,0.397,0.368,0.011,0.054,0.019,70,90.2,6.1,37.9,0,10.3,34.5,98.10946867,93.50784966,65.3,10.6,23.9,45.8,,26.8
luis arraez,2B,650333,2024,27,637,672,200,161,32,3,4,29,24,4.3,3.6,0.314,0.392,0.346,0.738,46,181,3,9,0.31,0.4,0.323,0.325,0.343,0.09,0.32,0.323,0.004,-0.008,-0.002,63.1,86.3,13.7,40.9,1.6,3.8,23.7,94.83800036,91.44962446,63,4.7,6.9,49.8,,26.7
josh naylor,1B,647304,2024,27,563,633,137,79,27,0,31,105,58,16.6,9.2,0.243,0.456,0.32,0.776,108,249,2,6,0.257,0.443,0.332,0.335,0.333,0.186,0.362,0.366,-0.014,0.013,-0.003,72.9,89.9,11.1,30.1,8.4,6.1,40.9,100.8153601,94.68081673,72.3,14.5,22.4,50.3,,25.2
gleyber torres,2B,650402,2024,27,587,665,151,110,26,0,15,136,65,20.5,9.8,0.257,0.378,0.33,0.708,63,222,3,4,0.24,0.368,0.313,0.307,0.317,0.128,0.349,0.341,0.017,0.01,0.006,70.1,88.6,15,38.2,6.3,6.1,35.4,98.29565592,93.36890443,69.2,18.7,22.9,45.7,,26.6
marcell ozuna,DH,542303,2024,33,606,688,183,113,31,0,39,170,74,24.7,10.8,0.302,0.546,0.378,0.924,104,240,0,1,0.286,0.572,0.395,0.402,0.368,0.286,0.496,0.508,0.016,-0.026,-0.007,74,92.1,14.4,40.5,15.5,11.4,53.4,103.3389911,96.48968613,72.5,22.6,31.4,46.8,,25.7
kyle tucker,RF,663656,2024,27,277,339,80,44,13,0,23,54,56,15.9,16.5,0.289,0.585,0.408,0.993,49,106,0,11,0.279,0.536,0.419,0.4,0.4,0.257,0.454,0.427,0.01,0.049,0.019,72.2,91.1,21.2,40,12.9,7.6,44.9,100.1579019,94.74015004,67.7,12.7,19,41.8,2,26
michael conforto,LF,624424,2024,31,438,488,104,54,27,3,20,118,42,24.2,8.6,0.237,0.45,0.309,0.759,66,183,1,0,0.257,0.479,0.327,0.35,0.329,0.222,0.394,0.43,-0.02,-0.029,-0.023,74.1,90.2,14.8,33.7,11.8,9,46,101.9553056,95.24955059,65.4,18,25.2,44.8,-4,26.3
