Name,Position,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
max stassi,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh bell,DH,605137,2023,30,547,617,135,85,28,0,22,134,63,21.7,10.2,0.247,0.419,0.325,0.744,74,253,1,0,0.26,0.453,0.323,0.342,0.338,0.194,0.37,0.398,-0.013,-0.034,-0.019,72.3,90.1,9.3,31.3,10.1,5.3,43,101.6111868,94.95555995,70.8,17.2,25.8,47.7,,25.9
victor caratini,C,605170,2023,29,201,226,52,41,4,0,7,45,19,19.9,8.4,0.259,0.383,0.327,0.71,25,71,1,1,0.258,0.377,0.312,0.31,0.327,0.119,0.347,0.344,0.001,0.006,0.002,72.1,91.3,10.8,23.3,5,3.8,44.7,101.5286345,95.04057195,65.8,15.1,21.1,45.3,,25
willi castro,SS,650489,2023,26,358,409,92,60,18,5,9,99,34,24.2,8.3,0.257,0.411,0.339,0.75,34,135,5,33,0.231,0.361,0.327,0.301,0.316,0.131,0.386,0.345,0.026,0.05,0.026,72,86.5,15.1,34.5,6.8,4.9,31.8,98.69882772,93.37454929,69,17.8,27.9,51.6,-1,28.6
eloy jimenez,DH,650391,2023,26,456,489,124,83,23,0,18,93,30,19,6.1,0.272,0.441,0.317,0.758,64,180,0,0,0.258,0.426,0.325,0.314,0.305,0.168,0.378,0.364,0.014,0.015,0.011,75.2,90.9,5.7,26,9.3,5.2,46.8,103.1730512,95.99606041,71.3,18.1,29.7,52,-1,26.5
jesse winker,LF,608385,2023,29,166,197,33,27,5,0,1,51,26,25.9,13.2,0.199,0.247,0.32,0.567,23,57,0,0,0.204,0.296,0.269,0.287,0.325,0.092,0.276,0.307,-0.005,-0.049,-0.018,69.9,86.8,13.6,33.6,4.3,3.4,31.9,97.51044759,92.77175267,66.7,19.6,25.1,42.6,,23.5
isiah kiner-falefa,2B,643396,2023,28,326,361,79,60,12,1,6,70,28,19.4,7.8,0.242,0.34,0.306,0.646,37,127,5,14,0.254,0.348,0.286,0.295,0.317,0.093,0.315,0.326,-0.012,-0.008,-0.009,67.5,88.8,7.2,33.5,3.1,5,39.2,99.08883969,93.71146918,61.2,11.7,19.6,44.9,-2,27.7
lane thomas,RF,657041,2023,27,628,682,168,101,36,3,28,176,36,25.8,5.3,0.268,0.468,0.315,0.783,86,254,5,20,0.255,0.436,0.334,0.319,0.305,0.181,0.424,0.403,0.013,0.032,0.015,71.7,88.5,10.8,36.8,9.6,6.5,40.7,100.191574,94.319062,61.1,12.6,23,43.6,-3,29.3
cedric mullins,CF,656775,2023,28,404,455,94,53,23,3,15,101,43,22.2,9.5,0.233,0.416,0.305,0.721,74,151,3,19,0.227,0.356,0.311,0.291,0.302,0.129,0.359,0.329,0.006,0.06,0.02,71.1,88.9,21.6,28.1,6.5,3.5,37.1,98.84395993,93.55614613,70.8,19.1,24.9,49.6,5,28
luis rengifo,SS,650859,2023,26,394,445,104,69,15,4,16,82,41,18.4,9.2,0.264,0.444,0.339,0.783,51,155,4,6,0.246,0.403,0.339,0.323,0.327,0.158,0.373,0.351,0.018,0.041,0.016,71,89.1,11,29.7,7.6,5.1,36.9,98.94137718,93.61708914,74.5,16.8,24.5,50.1,0,27.4
mike yastrzemski,CF,573262,2023,32,330,381,77,38,23,1,15,99,45,26,11.8,0.233,0.445,0.33,0.775,43,137,2,2,0.232,0.419,0.333,0.325,0.329,0.187,0.404,0.391,0.001,0.026,0.008,70.6,90,19.6,35,9.8,11.5,44,100.6905155,94.65688311,62.5,17.2,23.6,41.2,2,27
eugenio suarez,3B,553993,2023,31,598,694,139,88,29,0,22,214,70,30.8,10.1,0.232,0.391,0.323,0.714,96,280,1,2,0.223,0.419,0.313,0.324,0.318,0.196,0.4,0.418,0.009,-0.028,-0.011,72.3,90.3,18.9,37.7,13.2,6.8,43,100.6611155,94.72666532,65.7,24.6,32.8,44.5,,26.4
max kepler,RF,596146,2023,30,438,491,114,66,22,2,24,106,45,21.6,9.2,0.26,0.484,0.332,0.816,66,198,1,1,0.271,0.503,0.348,0.362,0.344,0.231,0.407,0.428,-0.011,-0.019,-0.014,72.3,91.9,14.7,35.7,12.2,8.6,47.9,102.0566723,95.65094244,70.2,11.9,19.8,47.5,4,27.4
christian vazquez,C,543877,2023,32,327,355,73,54,13,0,6,82,25,23.1,7,0.223,0.318,0.28,0.598,32,144,0,1,0.223,0.319,0.264,0.265,0.28,0.097,0.308,0.31,0,-0.001,-0.001,66.6,86.7,10,36,3.2,7.7,32.8,96.86717918,92.51770634,65.3,21.2,26.2,48.7,,25
bo bichette,SS,666182,2023,25,571,601,175,122,30,3,20,115,27,19.1,4.5,0.306,0.475,0.339,0.814,73,196,3,5,0.308,0.497,0.349,0.359,0.341,0.189,0.415,0.429,-0.002,-0.022,-0.01,70.1,90.2,6.2,38.3,9.6,6.1,44.9,101.7366819,95.18433055,77.1,13,21.1,56.6,,27.1
carlos santana,1B,467793,2023,37,550,619,132,75,33,1,23,104,65,16.8,10.5,0.24,0.429,0.318,0.747,86,266,0,6,0.24,0.378,0.323,0.308,0.319,0.138,0.344,0.323,0,0.051,0.015,71.4,88.8,12.8,31.3,6.7,4.7,36.4,99.367236,93.79121307,68.2,17.2,22.1,45.3,,25.9
paul goldschmidt,1B,502671,2023,35,593,687,159,103,31,0,25,161,87,23.4,12.7,0.268,0.447,0.363,0.81,80,244,2,11,0.27,0.49,0.35,0.367,0.366,0.22,0.413,0.44,-0.002,-0.043,-0.017,72.1,91.3,12.8,35.6,12,8.5,50.8,102.4095956,95.76779276,61.8,23.2,27.5,44,,26.4
yoan moncada,3B,660162,2023,28,334,357,87,55,20,1,11,107,20,30,5.6,0.26,0.425,0.305,0.73,40,149,0,1,0.257,0.426,0.315,0.314,0.302,0.169,0.426,0.425,0.003,-0.001,0.001,74.2,89.4,12.3,42.5,10.1,8.3,39,99.98386351,94.17703938,66.1,21.1,30.7,46.8,,26.4
luis arraez,2B,650333,2023,26,574,617,203,160,30,3,10,34,35,5.5,5.7,0.354,0.469,0.393,0.862,69,159,2,3,0.329,0.458,0.369,0.354,0.371,0.129,0.374,0.358,0.025,0.011,0.015,63.8,88.3,11.5,44.7,3.5,3.7,25.7,95.65890066,92.00945421,68.6,5.8,7.9,51,,26.1
josh naylor,1B,647304,2023,26,452,495,139,91,31,0,17,68,33,13.7,6.7,0.308,0.489,0.354,0.843,97,211,3,10,0.293,0.478,0.354,0.346,0.342,0.185,0.391,0.382,0.015,0.011,0.008,73.2,89.1,12.3,35.5,8.2,6.9,41.2,100.6273464,94.47760123,76.3,11.7,19.8,56.5,,25.8
gleyber torres,2B,650402,2023,26,596,672,163,108,28,2,25,98,67,14.6,10,0.273,0.453,0.347,0.8,68,229,6,13,0.282,0.478,0.346,0.362,0.357,0.196,0.364,0.385,-0.009,-0.025,-0.016,71.7,89.7,15.1,37.3,7.9,7.5,40.3,99.649801,94.05505759,68.9,16.4,21.8,46.8,,26.4
marcell ozuna,DH,542303,2023,32,530,592,145,75,29,1,40,134,57,22.6,9.6,0.274,0.558,0.346,0.904,100,237,0,0,0.28,0.577,0.381,0.393,0.353,0.298,0.462,0.481,-0.006,-0.019,-0.012,75,91.8,15.6,34.9,16.6,6.5,49,103.2576732,96.23224093,69.8,17.1,26.7,48.4,,26.4
kyle tucker,RF,663656,2023,26,574,674,163,92,37,5,29,92,80,13.6,11.9,0.284,0.517,0.369,0.886,112,253,5,30,0.292,0.53,0.372,0.386,0.38,0.239,0.393,0.412,-0.008,-0.013,-0.014,71.9,90.2,14.8,35.4,10.6,8.1,45.9,100.798373,94.83113255,71.8,12.6,18.5,47,-5,26.6
michael conforto,LF,624424,2023,30,406,470,97,68,14,0,15,106,53,22.6,11.3,0.239,0.384,0.334,0.718,58,194,0,4,0.245,0.416,0.315,0.33,0.341,0.171,0.354,0.377,-0.006,-0.032,-0.015,73,88.9,11.9,31.9,7.9,7.6,39.8,100.098184,94.21797354,69,17.4,24.9,45.3,-2,26.1
starling marte,RF,516782,2023,34,315,341,78,65,7,1,5,69,16,20.2,4.7,0.248,0.324,0.301,0.625,28,137,4,24,0.261,0.402,0.278,0.312,0.314,0.141,0.316,0.363,-0.013,-0.078,-0.034,70.6,88.2,6.3,30.6,5.6,5.6,39.5,100.1359763,94.12901641,71.5,17.4,27.8,53.8,-5,27.1
kyle schwarber,LF,656941,2023,30,585,720,115,48,19,1,47,215,126,29.9,17.5,0.197,0.474,0.343,0.817,104,243,2,0,0.22,0.485,0.35,0.364,0.362,0.266,0.434,0.46,-0.023,-0.011,-0.014,77.1,92.4,19,34.3,16.4,6.7,48.8,103.3984901,96.18179379,55.8,22.5,31.5,37.7,-18,25
j.t. realmuto,C,592663,2023,32,489,540,123,70,28,5,20,138,35,25.6,6.5,0.252,0.452,0.31,0.762,63,243,5,16,0.254,0.462,0.324,0.334,0.315,0.208,0.406,0.421,-0.002,-0.01,-0.01,73.5,89.8,16.7,36.2,11.2,7,43.3,101.3013976,94.96193539,70.7,18.5,26.2,50.5,,28.6
cody bellinger,CF,641355,2023,27,499,556,153,97,29,1,26,87,40,15.6,7.2,0.307,0.525,0.356,0.881,97,221,6,20,0.268,0.434,0.37,0.327,0.326,0.165,0.414,0.357,0.039,0.091,0.043,70,87.9,17.2,38,6.1,5.4,31.4,97.66154406,92.87437239,67.8,15,20.1,49.9,2,28.3
pete alonso,1B,624413,2023,28,568,658,123,54,21,2,46,151,65,22.9,9.9,0.217,0.504,0.318,0.822,118,277,1,4,0.246,0.527,0.346,0.368,0.343,0.281,0.402,0.436,-0.029,-0.023,-0.022,75.7,89.5,18.2,32.3,14.7,6.4,40.1,102.3421345,95.2539557,61.9,17.9,26.2,43.7,,26
joc pederson,DH,592626,2023,31,358,425,84,52,14,3,15,89,57,20.9,13.4,0.235,0.416,0.348,0.764,51,162,0,0,0.262,0.479,0.331,0.364,0.372,0.218,0.361,0.412,-0.027,-0.063,-0.033,72.6,92.1,15.2,33.5,12.1,8.5,52.2,103.0099481,96.30544485,66,17.4,24.6,45.2,-4,26.4
ha-seong kim,SS,673490,2023,27,538,626,140,100,23,0,17,124,75,19.8,12,0.26,0.398,0.351,0.749,60,217,9,38,0.245,0.359,0.33,0.313,0.339,0.114,0.36,0.335,0.015,0.039,0.017,67.7,86.2,13.6,36.1,4.2,5.7,26.7,96.56167043,92.28386159,55.1,14.8,17.8,38.9,,28.5
lourdes gurriel jr.,OF,666971,2023,29,551,592,144,83,35,2,24,103,33,17.4,5.6,0.261,0.463,0.309,0.772,82,230,0,5,0.264,0.439,0.329,0.324,0.313,0.175,0.373,0.367,-0.003,0.024,0.005,69.9,89.7,10.6,35.3,8.4,6.9,46,99.85921213,94.36856067,67.5,11.8,18.7,49.1,2,27.1
trevor story,SS,596115,2023,30,158,168,32,20,9,0,3,55,9,32.7,5.4,0.203,0.316,0.25,0.566,14,79,3,10,0.21,0.354,0.249,0.266,0.257,0.144,0.338,0.366,-0.007,-0.038,-0.017,71.1,88.5,15.5,42.7,9.7,6.8,39.8,99.80733843,94.01183363,69.7,24.8,31.7,50.8,,28.8
alex bregman,3B,608324,2023,29,622,724,163,106,28,4,25,87,92,12,12.7,0.262,0.441,0.363,0.804,98,247,1,3,0.266,0.43,0.351,0.351,0.368,0.163,0.344,0.344,-0.004,0.011,0,70.2,88.6,17.6,35.8,5.4,10.1,38.2,98.07153773,93.24896069,61.1,8.7,14.1,38.7,,26.3
tyler o'neill,LF,641933,2023,28,238,266,55,32,14,0,9,67,28,25.2,10.5,0.231,0.403,0.312,0.715,21,125,0,5,0.246,0.445,0.313,0.334,0.326,0.199,0.372,0.406,-0.015,-0.042,-0.021,72.5,89.2,15,29.2,12.3,5.8,43.3,101.4681902,94.89849082,66.7,18.5,27.8,44.9,0,28.5
elias diaz,C,553869,2023,32,486,526,130,90,25,1,14,118,34,22.4,6.5,0.267,0.409,0.316,0.725,72,215,0,1,0.245,0.376,0.314,0.296,0.297,0.131,0.377,0.351,0.022,0.033,0.018,73.6,88.1,12.7,31.2,6.2,4.3,38.4,100.0351075,94.07164848,76.5,19,28.4,54.8,,25
thairo estrada,2B,642731,2023,27,495,530,134,92,26,2,14,120,22,22.6,4.2,0.271,0.416,0.315,0.731,49,230,7,23,0.248,0.371,0.316,0.292,0.296,0.123,0.384,0.35,0.023,0.045,0.024,70.3,85.9,10.8,34.7,4.8,3.7,33.7,97.89813957,92.98363068,67.3,10.7,21.5,51.7,,28.1
randal grichuk,RF,545341,2023,31,434,471,116,67,31,2,16,96,29,20.4,6.2,0.267,0.459,0.321,0.78,44,187,2,2,0.263,0.425,0.333,0.323,0.319,0.162,0.391,0.377,0.004,0.034,0.01,74.5,89.6,14,35,7.1,8.8,45.3,101.4900952,95.07464777,67,14.3,26.7,50.1,-6,27.4
kyle farmer,SS,571657,2023,32,336,369,86,59,14,2,11,86,23,23.3,6.2,0.256,0.408,0.317,0.725,46,153,4,2,0.252,0.405,0.316,0.313,0.314,0.154,0.376,0.373,0.004,0.003,0.003,66.6,86.4,13.2,36.1,6.7,5.6,32.9,97.41625175,92.78526661,62.7,13,23.2,47.7,,26.5
rhys hoskins,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austin hays,LF,669720,2023,27,520,566,143,89,36,2,16,141,38,24.9,6.7,0.275,0.444,0.325,0.769,67,217,1,5,0.242,0.42,0.33,0.309,0.296,0.178,0.413,0.381,0.033,0.024,0.021,71.7,89.4,10.4,31,8.9,7.6,40.1,100.4627877,94.41135204,63.8,17.4,28.4,46.6,2,27.4
danny jansen,C,643376,2023,28,268,301,61,29,15,0,17,62,23,20.6,7.6,0.228,0.474,0.312,0.786,53,121,0,0,0.219,0.421,0.336,0.316,0.305,0.202,0.38,0.35,0.009,0.053,0.02,70.9,88.3,19.7,35.4,10.7,7.8,37.4,98.93862637,93.54821878,69.4,16.1,22.9,46.8,,27.1
mitch garver,C,641598,2023,32,296,344,80,50,11,0,19,82,44,23.8,12.8,0.27,0.5,0.37,0.87,50,122,0,0,0.255,0.493,0.374,0.365,0.357,0.238,0.448,0.434,0.015,0.007,0.009,70.8,90,20.5,35.5,12.6,7.9,42.1,100.978312,94.65388724,61.9,16.1,23.7,39.6,,25.7
justin turner,3B,457759,2023,38,558,626,154,100,31,0,23,110,51,17.6,8.1,0.276,0.455,0.345,0.8,96,205,1,4,0.26,0.444,0.346,0.336,0.331,0.184,0.381,0.367,0.016,0.011,0.01,66.4,89.5,16.5,36.8,5.7,9.3,39,98.56736824,93.58703223,63.5,12.2,17.5,45,,25.2
harrison bader,CF,664056,2023,29,319,344,74,53,12,2,7,59,17,17.2,4.9,0.232,0.348,0.274,0.622,40,141,3,20,0.234,0.375,0.271,0.288,0.281,0.141,0.299,0.321,-0.002,-0.027,-0.017,70.8,85.9,17.8,32.8,5.3,7.5,31.7,97.62251611,92.81902512,63.3,13.6,24.6,48.5,7,28.8
jarren duran,CF,680776,2023,26,332,362,98,54,34,2,8,90,24,24.9,6.6,0.295,0.482,0.346,0.828,40,114,2,24,0.268,0.401,0.354,0.319,0.324,0.134,0.447,0.397,0.027,0.081,0.035,73.4,89.9,10.7,32,5.3,9.8,46.3,102.1362776,95.43912893,73.2,13.9,24.6,51.5,-1,29.5
ozzie albies,2B,645277,2023,26,596,660,167,99,30,5,33,107,46,16.2,7,0.28,0.513,0.336,0.849,109,230,1,13,0.266,0.467,0.358,0.34,0.325,0.201,0.4,0.375,0.014,0.046,0.018,70,88.7,16.6,37.4,8.2,10.5,39,98.66761557,93.4815683,77.8,13.3,20.6,54.6,,27.6
ramon laureano,RF,657656,2023,28,361,404,81,50,18,4,9,114,33,28.2,8.2,0.224,0.371,0.304,0.675,35,175,1,12,0.232,0.379,0.298,0.307,0.312,0.148,0.366,0.381,-0.008,-0.008,-0.009,71.1,88.2,12.9,34.7,9.7,4.4,35.9,98.9233135,93.53037963,66.1,16.3,29,46.8,1,27.9
