Name,Position,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
martin maldonado,C,455117,2023,36,362,407,69,42,12,0,15,139,30,34.2,7.4,0.191,0.348,0.258,0.606,36,183,0,0,0.187,0.357,0.266,0.267,0.255,0.169,0.368,0.37,0.004,-0.009,-0.001,71.7,88.4,18.1,32.8,8.5,7.7,40,99.51138364,93.98842365,65.5,23.9,34.3,49.6,,23.2
joey gallo,1B,608336,2023,29,282,332,50,19,9,1,21,142,48,42.8,14.5,0.177,0.44,0.301,0.741,40,142,1,1,0.149,0.399,0.32,0.295,0.277,0.25,0.512,0.454,0.028,0.041,0.025,73.9,93,26.4,28.6,19.3,5.7,52.9,104.3614921,97.12744684,71.6,34.3,44.3,47.1,-1,26.6
dominic smith,1B,642086,2023,28,527,586,134,100,21,1,12,91,47,15.5,8,0.254,0.366,0.326,0.692,46,231,1,1,0.256,0.397,0.306,0.32,0.329,0.141,0.32,0.338,-0.002,-0.031,-0.014,68.6,86.3,12.8,37,6.6,3.7,30.8,97.22508872,92.63185096,68.7,13.8,19.9,49,,25.8
orlando arcia,SS,606115,2023,28,488,533,129,87,25,0,17,102,39,19.1,7.3,0.264,0.42,0.321,0.741,65,209,0,1,0.247,0.398,0.321,0.307,0.306,0.152,0.365,0.345,0.017,0.022,0.014,71.1,88.2,5.4,30.6,6.9,4.6,41.1,99.18921793,93.73538451,65.4,17.7,24.3,46.2,,25.9
chris taylor,3B,621035,2023,32,338,384,80,49,15,1,15,125,41,32.6,10.7,0.237,0.42,0.326,0.746,56,171,3,16,0.222,0.4,0.323,0.311,0.312,0.178,0.437,0.415,0.015,0.02,0.012,71.2,86.2,21.5,38.8,9.8,6.1,37.4,98.96148542,93.52875061,71.5,29.4,35.8,47.6,-1,28.3
tomas nido,C,621512,2023,29,56,61,7,7,0,0,0,18,2,29.5,3.3,0.125,0.125,0.153,0.278,1,29,0,0,0.156,0.196,0.128,0.168,0.183,0.04,0.158,0.218,-0.031,-0.071,-0.04,,85,5.7,26.8,0,4.9,19.5,95.18378053,91.69692135,75,21.2,35,62.1,,24.8
ildemaro vargas,2B,545121,2023,31,262,286,66,47,13,2,4,20,19,7,6.6,0.252,0.363,0.304,0.667,31,110,1,1,0.265,0.368,0.292,0.303,0.317,0.103,0.283,0.295,-0.013,-0.005,-0.011,69.5,87.1,4.1,26,2.4,4.1,31.3,97.15694815,92.57847408,60.5,7.3,12.6,45.9,,27
james mccann,C,543510,2023,33,207,226,46,26,14,0,6,57,9,25.2,4,0.222,0.377,0.269,0.646,26,88,1,3,0.262,0.431,0.279,0.319,0.307,0.169,0.345,0.404,-0.04,-0.054,-0.04,70.4,89.8,16.6,37.4,7.1,9,43.9,100.5154664,94.45881467,70,18,31.4,54.2,,26.1
paul dejong,3B,657557,2023,29,372,400,77,50,13,0,14,121,21,30.3,5.3,0.207,0.355,0.258,0.613,38,171,4,4,0.219,0.361,0.266,0.278,0.271,0.142,0.349,0.368,-0.012,-0.006,-0.012,69.4,85.5,16.8,34.8,6.7,5.5,33.2,97.65769205,92.87046063,71.3,23.9,35.4,53.2,,26.8
ty france,1B,664034,2023,28,587,665,147,103,32,0,12,117,43,17.6,6.5,0.25,0.366,0.337,0.703,58,267,0,1,0.27,0.42,0.315,0.342,0.354,0.151,0.329,0.367,-0.02,-0.054,-0.027,71.8,87.5,13.7,36.9,6.8,5.1,38.6,99.27787132,93.76594522,74,10.9,21.9,53.2,,25
luis urias, 3B,649966,2023,26,144,177,28,19,6,0,3,41,21,23.2,11.9,0.194,0.299,0.337,0.636,18,50,0,0,0.182,0.311,0.298,0.297,0.327,0.129,0.294,0.292,0.012,-0.012,0.001,68,84.9,14.7,23.3,5.8,4.9,30.1,96.08201192,92.12653524,55.6,18.1,26.4,39.8,,26
mark canha,1B,592192,2023,34,435,507,114,77,25,1,11,79,49,15.6,9.7,0.262,0.4,0.355,0.755,62,158,1,11,0.248,0.381,0.333,0.323,0.345,0.133,0.339,0.326,0.014,0.019,0.01,67.8,87.9,13.1,30.9,4.7,6.6,36.7,98.95960762,93.63206294,58.9,11.3,18.3,41.6,-1,27.8
austin slater,LF,596103,2023,30,185,207,50,36,9,0,5,58,20,28,9.7,0.27,0.4,0.348,0.748,20,68,2,2,0.255,0.443,0.33,0.338,0.334,0.188,0.417,0.429,0.015,-0.043,-0.008,73.3,91.1,7.5,34.6,11.8,4.7,46.5,101.9106794,95.59155794,63.8,21.3,29.8,42.3,1,27.7
michael a. taylor,CF,572191,2023,32,355,388,78,42,14,1,21,130,26,33.5,6.7,0.22,0.442,0.278,0.72,51,156,1,13,0.222,0.433,0.308,0.306,0.281,0.211,0.434,0.432,-0.002,0.009,0.002,74.4,88.1,13.4,30.6,13.5,6.6,38,101.375261,94.84000908,68.8,23.8,34.1,49,8,28.7
jacob stallings,C,607732,2023,33,241,276,46,29,14,0,3,67,27,24.3,9.8,0.191,0.286,0.278,0.564,20,106,0,0,0.193,0.302,0.256,0.262,0.281,0.109,0.279,0.288,-0.002,-0.016,-0.006,67.2,89.7,9.1,28.5,5.6,5.6,40.2,98.7488907,93.71020678,59.4,12.8,22.8,40.9,,23.6
brendan rodgers,2B,663898,2023,26,178,192,46,32,9,1,4,41,11,21.4,5.7,0.258,0.388,0.313,0.701,20,74,0,0,0.256,0.428,0.307,0.321,0.31,0.173,0.358,0.378,0.002,-0.04,-0.014,72,88.3,4.8,35.8,10.9,5.1,40.1,99.67345647,93.92212757,65.4,14.2,25.4,48.1,,26.3
amed rosario,SS,642708,2023,27,510,545,134,95,25,8,6,99,29,18.2,5.3,0.263,0.378,0.305,0.683,58,230,2,15,0.271,0.38,0.297,0.305,0.314,0.109,0.337,0.347,-0.008,-0.002,-0.008,71.2,88.3,7.6,33.8,3.4,5.8,39.4,99.50158271,93.94178458,69.2,14.3,23.1,53.4,,29.4
rob refsnyder,RF,608701,2023,32,202,243,50,39,9,1,1,47,33,19.3,13.6,0.248,0.317,0.365,0.682,28,91,2,7,0.261,0.384,0.314,0.342,0.378,0.123,0.315,0.358,-0.013,-0.067,-0.028,72.9,87.7,11.9,42,3.8,7,34.4,98.41148221,93.31319046,61.1,19.6,23.1,40.1,-3,27.1
dylan moore,2B,664238,2023,30,145,165,30,13,9,1,7,56,16,33.9,9.7,0.207,0.428,0.303,0.731,19,84,3,7,0.203,0.432,0.317,0.317,0.299,0.23,0.43,0.43,0.004,-0.004,0,72.2,89,21.4,40.4,16.9,11.2,44.9,100.4405849,94.54461562,63.5,23.5,33.4,46,1,27.7
jose iglesias,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gary sanchez,DH,596142,2023,30,240,267,52,24,9,0,19,67,21,25.1,7.9,0.217,0.492,0.288,0.78,47,119,0,0,0.233,0.502,0.329,0.343,0.305,0.269,0.403,0.424,-0.016,-0.01,-0.014,73.4,90.1,16.5,27.4,15.4,5.1,44.6,101.7053643,95.14394686,57.8,16.6,27.6,41.8,,24.9
miguel andujar,3B,609280,2023,28,84,90,21,10,7,0,4,13,6,14.4,6.7,0.25,0.476,0.3,0.776,18,44,0,2,0.26,0.417,0.33,0.315,0.309,0.158,0.36,0.34,-0.01,0.059,0.015,71.8,89.2,5.3,28.2,7,4.2,42.3,99.27305278,94.09668789,64.5,11.2,21.6,51.1,-1,27.7
donovan solano,2B,456781,2023,35,394,450,111,79,26,1,5,100,40,22.2,8.9,0.282,0.391,0.369,0.76,38,130,0,0,0.284,0.429,0.338,0.351,0.371,0.145,0.385,0.406,-0.002,-0.038,-0.013,68.1,90.2,13.1,43.1,6.1,8.1,43.7,100.1029357,94.47530698,64.9,16.2,25.4,47.4,,25.4
ryan o'hearn,DH,656811,2023,29,346,368,100,63,22,1,14,82,15,22.3,4.1,0.289,0.48,0.322,0.802,60,129,1,5,0.264,0.464,0.339,0.324,0.3,0.2,0.422,0.402,0.025,0.016,0.015,72.2,91.9,12,35.1,10.1,7.8,51.5,101.4839054,95.34895401,72.1,13.9,23.3,50.7,0,27.7
austin hedges,C,595978,2023,30,185,212,34,28,5,0,1,47,11,22.2,5.2,0.184,0.227,0.234,0.461,16,93,0,1,0.215,0.289,0.209,0.253,0.271,0.074,0.234,0.296,-0.031,-0.062,-0.044,68.2,87.2,15.4,29.1,0.7,4,31.1,97.08725729,92.59878676,72,20,28,52.1,,24.5
tommy pham,RF,502054,2023,35,426,481,109,63,27,3,16,106,47,22,9.8,0.256,0.446,0.328,0.774,68,171,3,22,0.284,0.475,0.332,0.361,0.358,0.191,0.386,0.429,-0.028,-0.029,-0.029,73.8,92.3,5.7,34.4,10.7,7.1,49.1,103.0763058,96.15868595,60.6,14,23.6,40.5,-1,27.8
adam frazier,2B,624428,2023,31,412,455,99,63,21,2,13,68,32,14.9,7,0.24,0.396,0.3,0.696,60,157,4,11,0.261,0.361,0.302,0.301,0.319,0.101,0.321,0.319,-0.021,0.035,0.001,67,85.7,15.2,40.9,3.1,3.1,23.4,95.2784974,91.6503571,67.2,11.4,19.2,48.3,,26.5
andrew mccutchen,DH,457705,2023,36,390,473,100,69,19,0,12,100,75,21.1,15.9,0.256,0.397,0.378,0.775,43,157,3,11,0.257,0.409,0.345,0.353,0.382,0.152,0.369,0.382,-0.001,-0.012,-0.008,71.8,89.6,12.3,33.7,6.8,7.8,44.6,100.3291924,94.60717314,64.4,19.9,27.4,41.6,1,28.4
trent grisham,CF,663757,2023,26,469,555,93,48,31,1,13,154,75,27.7,13.5,0.198,0.352,0.315,0.667,50,222,3,15,0.215,0.393,0.299,0.32,0.33,0.177,0.343,0.381,-0.017,-0.041,-0.021,70.5,90.3,18.3,32.8,11.9,7.5,40,100.7019274,94.88050397,60.3,22.1,28.3,41.6,7,27.7
wilmer flores,1B,527038,2023,31,405,454,115,70,22,0,23,63,41,13.9,9,0.284,0.509,0.355,0.864,60,199,0,0,0.256,0.437,0.368,0.333,0.332,0.181,0.392,0.347,0.028,0.072,0.035,67.5,86.4,22,36.2,7.8,6.7,32.5,97.39944174,92.72835564,62.7,11.6,15.8,44.9,,24.4
miguel rojas,SS,500743,2023,34,385,423,91,69,16,1,5,48,26,11.3,6.1,0.236,0.322,0.29,0.612,31,171,3,8,0.248,0.333,0.271,0.284,0.303,0.086,0.27,0.286,-0.012,-0.011,-0.013,68.8,87.3,11,33.4,2.9,4.1,32,97.50533318,92.84879474,67.6,8.5,16.5,49.6,,26.4
