Name,Position,player_id,year,player_age,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent
a.j. minter,RP,621345,2023,29,260,237,56,41,8,1,6,82,21,31.5,8.1,0.236,0.354,0.296,0.65,0.218,0.358,0.283,0.282,0.285,0.14,0.38,0.38,0.018,-0.004,0.001,71.8,87.9,17.7,36.9,7,8.9,36.3,76.78532584,93.5544334,70.6,20.7,31.4,50.4
jack flaherty,SP,656427,2023,27,650,565,162,106,37,2,17,148,66,22.8,10.2,0.287,0.45,0.37,0.82,0.27,0.42,0.356,0.343,0.358,0.151,0.418,0.398,0.017,0.03,0.013,71.4,87.9,11.7,38.5,7.3,6.6,38.3,76.59566512,93.75944007,65.5,18.8,26.6,44
robert suarez,RP,663158,2023,32,108,97,15,9,2,0,4,24,10,22.2,9.3,0.155,0.299,0.231,0.53,0.217,0.366,0.222,0.278,0.291,0.15,0.249,0.329,-0.062,-0.067,-0.056,71.5,88.1,9.5,25.7,6.8,2.7,36.5,78.0878127,93.16596176,70.5,24.2,26.2,49.2
wandy peralta,RP,593974,2023,31,227,189,36,26,2,1,7,51,30,22.5,13.2,0.19,0.323,0.319,0.642,0.239,0.375,0.293,0.331,0.36,0.135,0.295,0.358,-0.049,-0.052,-0.038,72.1,86.8,3.6,26.4,7.1,4.3,34.3,74.52217647,93.56216704,70.3,17.2,29.7,46.8
edwin diaz,RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walker buehler,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon woodruff,SP,605540,2023,30,253,233,40,23,8,0,9,74,15,29.2,5.9,0.172,0.322,0.229,0.551,0.207,0.326,0.241,0.26,0.263,0.119,0.3,0.331,-0.035,-0.004,-0.019,71,89,18.3,32.9,6.8,5.6,41.6,77.74225152,94.3454388,67,22,28.3,50.1
jose quintana,SP,500779,2023,34,319,289,75,57,11,2,5,60,24,18.8,7.5,0.26,0.363,0.314,0.677,0.275,0.424,0.297,0.327,0.33,0.149,0.331,0.372,-0.015,-0.061,-0.03,72.5,88.1,11.9,36.8,5.1,4.3,32.5,77.6688459,93.35828734,65.5,12.4,21.6,45.5
michael king,SP,650633,2023,28,431,390,88,63,13,2,10,127,32,29.5,7.4,0.226,0.346,0.292,0.638,0.227,0.364,0.281,0.289,0.293,0.137,0.36,0.372,-0.001,-0.018,-0.008,71,86.8,12.5,36.7,7.1,4.1,33.3,75.0620778,93.30332439,57.8,16.8,29.4,42.5
liam hendriks,RP,521230,2023,34,20,18,4,2,1,0,1,3,1,15,5,0.222,0.444,0.25,0.694,0.262,0.452,0.285,0.307,0.285,0.191,0.313,0.34,-0.04,-0.008,-0.022,,88.8,11.6,18.8,6.3,0,43.8,78.69013,93.67779938,69.4,28,31.7,47.1
michael lorenzen,SP,547179,2023,31,624,567,138,91,26,1,20,111,47,17.8,7.5,0.243,0.399,0.302,0.701,0.258,0.441,0.304,0.326,0.316,0.183,0.335,0.366,-0.015,-0.042,-0.022,71.2,90,13.8,33.9,8,6.3,40.2,80.11625707,94.29566996,68.6,15.1,21.7,49.4
martín pérez,SP,527048,2023,32,608,547,150,103,24,2,21,93,49,15.3,8.1,0.274,0.441,0.336,0.777,0.271,0.447,0.335,0.337,0.334,0.175,0.362,0.365,0.003,-0.006,-0.002,71.3,89,10.9,33.1,7.6,4.8,37.2,78.33907544,93.95053239,65,12.1,17.5,45.3
paul sewald,RP,623149,2023,33,249,221,46,30,8,0,8,80,24,32.1,9.6,0.208,0.353,0.287,0.64,0.188,0.31,0.281,0.258,0.27,0.122,0.369,0.329,0.02,0.043,0.023,70.6,85.9,20.9,34,5.6,4.2,29.9,74.50906343,92.69655914,68.2,25.9,29.3,49.8
shota imanaga,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kodai senga,SP,673540,2023,30,694,606,126,88,21,0,17,202,77,29.1,11.1,0.208,0.327,0.301,0.628,0.224,0.364,0.282,0.303,0.316,0.14,0.338,0.375,-0.016,-0.037,-0.021,71.8,89,12.8,31.5,6.8,5.4,40.6,77.90131103,94.28481415,66.8,17.5,29.7,45.2
matt strahm,RP,621381,2023,31,351,320,68,39,17,1,11,108,21,30.8,6,0.212,0.375,0.263,0.638,0.212,0.36,0.274,0.276,0.267,0.148,0.363,0.365,0,0.015,-0.002,70.8,90.2,19.8,35.2,8.2,10,42,80.26660565,94.45162079,67.6,22,28,50.4
lucas giolito,SP,608337,2023,28,794,705,169,87,34,7,41,204,73,25.7,9.2,0.24,0.482,0.317,0.799,0.239,0.445,0.339,0.329,0.317,0.205,0.419,0.403,0.001,0.037,0.01,71.6,89.2,18.5,33.3,11,6.9,41.6,77.97955087,94.42069162,67.6,18.8,28.8,46.8
jose alvarado,RP,621237,2023,28,172,153,30,19,8,0,3,64,18,37.2,10.5,0.196,0.307,0.281,0.588,0.201,0.284,0.262,0.257,0.285,0.083,0.368,0.358,-0.005,0.023,0.005,72.7,91.1,8.5,31.1,4.4,6.7,45.6,80.80791911,95.26677629,66.8,24.8,33.5,49.5
andrew kittredge,RP,552640,2023,33,50,47,12,8,3,0,1,10,2,20,4,0.255,0.383,0.3,0.683,0.267,0.388,0.298,0.305,0.311,0.121,0.346,0.355,-0.012,-0.005,-0.007,71.1,86.8,10.7,43.2,2.7,2.7,35.1,77.17674368,92.38204946,70.6,12.5,18.7,57.5
freddy peralta,SP,642547,2023,27,680,617,131,75,30,0,26,210,54,30.9,7.9,0.212,0.387,0.282,0.669,0.214,0.36,0.291,0.284,0.283,0.146,0.381,0.369,-0.002,0.027,0.007,71.3,87.6,14.6,32.3,8.6,6.8,37.7,75.95279552,93.70498193,68.8,24.2,33.6,47.8
pete fairbanks,RP,664126,2023,29,184,159,26,21,2,0,3,68,20,37,10.9,0.164,0.233,0.273,0.506,0.175,0.257,0.24,0.252,0.283,0.082,0.297,0.322,-0.011,-0.024,-0.012,71.4,85.7,10.4,27.2,3.3,4.3,35.9,71.98379244,93.76037389,61.8,25,30.7,46.6
pierce johnson,RP,572955,2023,32,277,245,63,39,14,0,10,90,30,32.5,10.8,0.257,0.437,0.337,0.774,0.235,0.377,0.335,0.305,0.317,0.143,0.461,0.408,0.022,0.06,0.03,70,90.7,13.1,43.9,6.4,5.7,47.1,81.23581923,94.52932455,62.4,17.6,33.1,46.8
scott barlow,RP,605130,2023,30,299,252,61,46,10,1,4,79,34,26.4,11.4,0.242,0.337,0.337,0.674,0.235,0.34,0.299,0.3,0.334,0.104,0.35,0.352,0.007,-0.003,-0.001,70.2,85.5,11.2,39.2,4.4,7.2,29.8,73.85459944,92.64778898,58.9,18.8,31.2,43.9
