Name,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
 Carlos Correa,621043,2024,29,319,367,99,63,20,2,14,61,40,16.6,10.9,0.31,0.517,0.388,0.905,54,120,0,0,0.274,0.451,0.385,0.355,0.359,0.177,0.429,0.387,0.036,0.066,0.03,74.5,90.3,8.9,34.4,9.2,7.6,44.7,102.5361282,95.4626692,65.5,13.5,20.4,44.6,,26.8
 Davis Schneider,676914,2024,25,397,454,76,43,19,1,13,144,47,31.7,10.4,0.191,0.343,0.282,0.625,46,176,0,6,0.198,0.358,0.277,0.292,0.292,0.16,0.349,0.374,-0.007,-0.015,-0.015,69.8,88.6,21.4,38,12,6.6,38,98.98674264,93.56924349,64,22.5,30.6,42.5,2,27.2
 Luke Raley,670042,2024,29,404,455,98,55,19,2,22,135,27,29.7,5.9,0.243,0.463,0.32,0.783,58,173,2,11,0.22,0.418,0.339,0.316,0.301,0.198,0.445,0.406,0.023,0.045,0.023,75,90.1,13.5,31.5,11,8.1,41.8,101.6960676,95.04215254,75.2,23.6,34.5,51.8,-3,28.9
 Andruw Monasterio,655316,2024,27,125,142,26,20,5,0,1,40,16,28.2,11.3,0.208,0.272,0.303,0.575,16,59,2,6,0.211,0.342,0.266,0.291,0.305,0.132,0.305,0.349,-0.003,-0.07,-0.025,69.1,88.1,14.9,36.5,9.4,8.2,41.2,98.58308929,93.58574595,64.3,17.2,24,42.5,,27.6
 Connor Joe,656582,2024,31,364,416,83,51,22,1,9,91,44,21.9,10.6,0.228,0.368,0.32,0.688,36,163,2,2,0.206,0.308,0.305,0.277,0.301,0.103,0.337,0.295,0.022,0.06,0.028,72.1,85.3,16.3,30.9,4.7,3.3,32.7,97.93920131,92.98289051,63.8,18.4,25.7,43.1,-2,26.9
 Carlos Narváez,665966,2024,25,13,15,3,3,0,0,0,6,2,40,13.3,0.231,0.231,0.333,0.564,0,5,0,0,0.259,0.309,0.268,0.306,0.358,0.05,0.378,0.459,-0.028,-0.078,-0.038,73.1,99.7,8.7,28.6,0,0,85.7,105.5312375,100.9306143,72.2,30.8,37.5,47.1,,
 Tyler Stephenson,663886,2024,27,457,515,118,72,26,1,19,117,48,22.7,9.3,0.258,0.444,0.338,0.782,66,172,0,1,0.241,0.403,0.339,0.322,0.325,0.162,0.4,0.373,0.017,0.041,0.017,70.8,90.2,10.9,33,9.1,6.1,43.9,100.3201545,94.58717677,63.4,13.2,22.7,43.2,,26.5
 Thomas Saggese,695336,2024,22,49,52,10,7,2,0,1,14,2,26.9,3.8,0.204,0.306,0.25,0.556,4,28,0,0,0.202,0.312,0.247,0.248,0.248,0.11,0.307,0.308,0.002,-0.006,-0.001,70.2,85.7,11.3,45.7,2.9,5.7,25.7,96.54396833,92.41129114,64.4,13.4,22.5,54,,27.9
 Pedro Pagés,686780,2024,25,202,218,48,36,3,2,7,58,13,26.6,6,0.238,0.376,0.281,0.657,27,99,0,2,0.224,0.347,0.286,0.279,0.273,0.123,0.363,0.354,0.014,0.029,0.007,72,89,11.8,32,4.8,8.2,40.4,99.17785611,93.60883764,66.4,16.3,26.1,51,,25.9
 William Contreras,661388,2024,26,595,679,167,105,37,2,23,139,78,20.5,11.5,0.281,0.466,0.365,0.831,92,224,2,9,0.269,0.471,0.359,0.358,0.356,0.202,0.412,0.411,0.012,-0.005,0.001,74.7,92.8,6.1,29,10,7.8,49.5,103.87548,96.64260253,71,19.3,27.8,47.4,,26.4
 Matt Olson,621566,2024,30,600,685,148,81,37,1,29,170,71,24.8,10.4,0.247,0.457,0.333,0.79,98,275,0,0,0.247,0.448,0.339,0.341,0.336,0.201,0.411,0.414,0,0.009,-0.002,73.8,91.5,16.1,35.4,12.4,7.4,47.4,102.7262795,95.89954322,72.3,22,26.3,49.7,,25.5
 Dane Myers,667472,2024,28,95,108,25,15,6,1,3,36,8,33.3,7.4,0.263,0.442,0.333,0.775,19,39,1,4,0.236,0.4,0.335,0.317,0.314,0.164,0.467,0.435,0.027,0.042,0.018,71.2,89.9,11.4,32.8,11.5,1.6,47.5,100.4943697,94.53558262,60.1,24.6,29.4,44,0,28.5
 Jonathan Aranda,666018,2024,26,128,143,30,17,7,0,6,32,12,22.4,8.4,0.234,0.43,0.308,0.738,14,54,0,0,0.257,0.518,0.32,0.362,0.329,0.261,0.372,0.434,-0.023,-0.088,-0.042,70.1,91.9,11,34,16.5,8.2,48.5,101.5313833,95.36548196,63.9,16.4,21.9,45.4,,25.8
 Luken Baker,663609,2024,27,40,49,7,3,1,1,2,11,7,22.4,14.3,0.175,0.4,0.286,0.686,10,21,0,1,0.187,0.328,0.294,0.288,0.305,0.141,0.309,0.299,-0.012,0.072,0.006,73.9,91,16.2,32.3,6.5,9.7,58.1,100.841165,95.22879194,66.7,21.9,33,45.3,,24.9
 Adael Amador,691182,2024,21,35,36,6,5,1,0,0,6,1,16.7,2.8,0.171,0.2,0.194,0.394,0,12,0,1,0.246,0.337,0.176,0.267,0.267,0.091,0.195,0.31,-0.075,-0.137,-0.091,71.3,88.2,17.1,20.7,6.9,0,31,97.27286714,92.65109464,73.8,10.4,20.3,62.2,,26.2
 Ali Sánchez,645305,2024,27,84,96,14,12,2,0,0,24,4,25,4.2,0.167,0.19,0.211,0.401,4,38,1,2,0.177,0.256,0.184,0.213,0.223,0.079,0.215,0.258,-0.01,-0.066,-0.029,69.1,86.8,7.6,26.9,4.5,3,35.8,98.01823065,93.09123197,61.1,15.3,22.6,49.7,,25
 Jacob Stallings,607732,2024,34,243,281,64,37,17,1,9,65,27,23.1,9.6,0.263,0.453,0.357,0.81,36,106,0,0,0.235,0.381,0.353,0.318,0.334,0.146,0.413,0.36,0.028,0.072,0.035,67.6,86.6,12.8,38.9,7.2,7.2,34.4,97.81667584,92.98667701,64.4,20.7,29.8,45.4,,23.9
 Logan Driscoll,686482,2024,26,35,37,6,5,0,0,1,6,1,16.2,2.7,0.171,0.257,0.189,0.446,5,18,0,0,0.229,0.357,0.193,0.266,0.249,0.129,0.215,0.306,-0.058,-0.1,-0.073,69.5,86.6,0.7,26.7,6.7,0,33.3,97.85600533,93.09793379,77.9,13.2,29.2,55.4,,25.5
 Zach McKinstry,656716,2024,29,297,325,64,41,14,5,4,69,24,21.2,7.4,0.215,0.337,0.277,0.614,23,102,0,16,0.238,0.364,0.27,0.294,0.299,0.126,0.304,0.337,-0.023,-0.027,-0.024,67.2,88,18.7,37.8,4.3,7.8,32.6,97.327044,92.86058336,66.7,14.1,22.1,47.7,-1,28.4
 Ha-Seong Kim,673490,2024,28,403,470,94,64,16,3,11,77,58,16.4,12.3,0.233,0.37,0.33,0.7,47,178,5,22,0.245,0.352,0.308,0.313,0.344,0.107,0.316,0.323,-0.012,0.018,-0.005,69,87.9,15.1,36.6,4.8,4.8,35.4,98.62178099,93.41259733,55.2,13.4,16.1,38,,28.3
 Griffin Conine,665052,2024,26,82,89,22,14,4,1,3,28,6,31.5,6.7,0.268,0.451,0.326,0.777,12,39,0,0,0.219,0.373,0.337,0.289,0.282,0.154,0.465,0.391,0.049,0.078,0.048,73,89.1,7,29.6,7.4,9.3,40.7,100.9638773,94.72478404,73.2,19.2,28.4,52.7,0,27.5
 Tim Anderson,641313,2024,31,234,241,50,47,3,0,0,68,7,28.2,2.9,0.214,0.226,0.237,0.463,9,112,4,4,0.215,0.283,0.208,0.23,0.238,0.068,0.272,0.305,-0.001,-0.057,-0.022,69.7,86.1,1.4,29.5,1.8,4.8,30.1,96.98204121,92.5313063,71,22.8,30.6,54.6,,27.1
 Jo Adell,666176,2024,25,405,451,84,47,15,2,20,126,35,27.9,7.8,0.207,0.402,0.28,0.682,62,180,10,15,0.224,0.418,0.296,0.312,0.297,0.193,0.37,0.397,-0.017,-0.016,-0.016,76.7,89.8,15.9,30.5,11.7,7.4,44.7,102.6788005,95.74871975,71.5,21.1,29.8,49.7,0,28.8
 Anthony Volpe,683011,2024,23,637,689,155,109,27,7,12,156,42,22.6,6.1,0.243,0.364,0.293,0.657,60,259,7,28,0.238,0.332,0.287,0.278,0.291,0.094,0.342,0.329,0.005,0.032,0.009,69.3,87.7,8.4,33.3,3.9,5.6,35.4,98.17784156,93.20648299,65.4,16.5,22.6,48.1,,28.6
 Eli White,642201,2024,30,39,42,11,8,1,1,1,12,1,28.6,2.4,0.282,0.436,0.333,0.769,4,19,1,3,0.205,0.328,0.335,0.263,0.261,0.124,0.443,0.33,0.077,0.108,0.072,71,88.7,8.3,25.9,11.1,3.7,48.1,99.47168385,94.37425885,66.7,12.9,21.8,48.8,1,29.6
 Jazz Chisholm Jr.,665862,2024,26,562,621,144,95,21,4,24,152,53,24.5,8.5,0.256,0.436,0.324,0.76,73,242,10,40,0.24,0.415,0.327,0.316,0.31,0.176,0.402,0.386,0.016,0.021,0.011,71.9,89.7,11.4,29.6,9.7,5.8,41.1,100.1224668,94.45914186,67.1,22.7,29.3,47.5,0,28.6
 Eguy Rosario,666703,2024,24,53,57,13,4,6,0,3,20,2,35.1,3.5,0.245,0.528,0.286,0.814,6,28,0,0,0.196,0.392,0.345,0.274,0.239,0.196,0.521,0.402,0.049,0.136,0.071,72.5,89.2,12.9,41.2,14.7,5.9,47.1,100.5169771,94.79073697,59.3,26.6,41.9,46.5,,27.6
 Jhonkensy Noel,678877,2024,22,179,198,39,18,7,1,13,63,13,31.8,6.6,0.218,0.486,0.288,0.774,28,78,0,0,0.218,0.435,0.331,0.323,0.292,0.217,0.452,0.439,0,0.051,0.008,78,88.6,19.3,30.8,14.5,4.3,36.8,100.7925525,94.45248308,66.1,19.5,34.2,54.1,-2,28.1
 Masataka Yoshida,807799,2024,30,378,421,106,75,21,0,10,52,27,12.4,6.4,0.28,0.415,0.349,0.764,56,137,0,2,0.258,0.394,0.336,0.322,0.331,0.136,0.344,0.326,0.022,0.021,0.014,70.9,88,10.5,36.3,5.5,7.3,37.5,99.0909025,93.58191287,64.7,8.7,14.6,45.4,,26.1
 Brandon Lockridge,663604,2024,27,12,12,2,1,0,0,1,4,0,33.3,0,0.167,0.417,0.167,0.584,1,4,0,2,0.156,0.287,0.244,0.19,0.156,0.131,0.366,0.286,0.011,0.13,0.054,70.9,90.9,18,12.5,12.5,0,50,101.4549,95.71104571,62.5,20,25,52.2,,
 Eric Haase,606992,2024,31,66,69,18,12,1,0,5,28,3,40.6,4.3,0.273,0.515,0.304,0.819,14,45,0,0,0.226,0.465,0.35,0.308,0.259,0.239,0.581,0.505,0.047,0.05,0.042,71.2,90,11.5,39.5,13.2,5.3,39.5,100.6172116,94.80250514,65.1,27.4,39.4,48.9,,27.9
 Oliver Dunn,686554,2024,26,95,104,21,16,2,2,1,40,6,38.5,5.8,0.221,0.316,0.282,0.598,7,51,0,3,0.207,0.318,0.266,0.263,0.269,0.111,0.397,0.391,0.014,-0.002,0.003,75.2,89.1,6.6,33.9,5.4,10.7,46.4,100.9952585,94.78202333,62.3,27.2,36.2,44.3,,29.1
 Max Schuemann,680474,2024,27,396,459,87,66,14,0,7,119,47,25.9,10.2,0.22,0.308,0.311,0.619,34,165,1,14,0.222,0.338,0.281,0.296,0.315,0.116,0.321,0.345,-0.002,-0.03,-0.015,68.3,89,16.6,39.5,5.6,7,37.4,97.72940921,93.09739407,62.8,21.3,28.5,42.5,,27.8
 Darren Baker,671117,2024,25,14,14,7,5,2,0,0,3,0,21.4,0,0.5,0.643,0.5,1.143,0,4,0,0,0.219,0.257,0.494,0.211,0.219,0.039,0.629,0.269,0.281,0.386,0.283,66.7,86.7,6.2,27.3,0,0,27.3,96.036506,92.018253,56,14.3,28.6,53.8,,26.9
 J.D. Davis,605204,2024,31,142,157,31,22,5,0,4,39,12,24.8,7.6,0.218,0.338,0.293,0.631,6,70,0,0,0.212,0.347,0.282,0.284,0.288,0.135,0.329,0.331,0.006,-0.009,-0.002,72.5,89.1,2.8,24.3,8.7,5.8,43.7,101.4388649,94.97844157,74.4,31.1,34.8,51.4,,25.6
 Jack López,605346,2024,31,67,71,17,13,3,0,1,25,2,35.2,2.8,0.254,0.343,0.286,0.629,6,26,1,0,0.178,0.236,0.277,0.201,0.214,0.058,0.411,0.288,0.076,0.107,0.076,71.2,87.3,10,32.6,2.3,2.3,32.6,97.12750524,92.72567049,69.3,21.2,33.8,57.3,,27.6
 Bryce Teodosio,669326,2024,25,12,12,1,1,0,0,0,5,0,41.7,0,0.083,0.083,0.083,0.166,0,7,0,0,0.121,0.14,0.073,0.114,0.121,0.019,0.126,0.196,-0.038,-0.057,-0.041,68.6,78.9,5.9,28.6,0,0,14.3,88.9589775,90.00990143,86.4,57.9,51.9,62.8,,29.8
 Richie Palacios,680700,2024,27,264,316,59,45,8,1,5,67,45,21.2,14.2,0.223,0.318,0.346,0.664,21,103,1,19,0.249,0.342,0.303,0.325,0.369,0.093,0.311,0.346,-0.026,-0.024,-0.022,68.9,86.2,14,36.4,3.5,4.5,30.3,96.84348313,92.44427827,70.7,18.2,24.7,46.7,2,27.9
 Jace Jung,690291,2024,23,79,94,19,14,5,0,0,29,15,30.9,16,0.241,0.304,0.362,0.666,3,38,1,0,0.219,0.287,0.308,0.293,0.344,0.068,0.372,0.344,0.022,0.017,0.015,70.5,86.4,11,32,4,2,34,98.0597252,93.0392616,64.8,19.7,31.1,45.9,,26
 David Hensley,682073,2024,28,52,58,11,9,1,0,1,17,6,29.3,10.3,0.212,0.288,0.293,0.581,4,23,0,1,0.153,0.216,0.265,0.218,0.241,0.063,0.321,0.243,0.059,0.072,0.047,70.6,84,-7.7,20,2.9,2.9,25.7,97.15968706,92.59341618,48.7,21.1,32.1,33.6,,27.6
 Iván Herrera,671056,2024,24,229,259,69,51,12,1,5,53,25,20.5,9.7,0.301,0.428,0.372,0.8,27,101,0,5,0.293,0.453,0.351,0.366,0.37,0.16,0.404,0.426,0.008,-0.025,-0.015,73.3,89.3,9.2,38.2,9,6.7,42.1,100.6581658,94.59972531,60,15.8,24.8,43.6,,27.3
 Mike Trout,545361,2024,32,109,126,24,11,1,2,10,27,16,21.4,12.7,0.22,0.541,0.325,0.866,14,57,1,6,0.271,0.591,0.365,0.405,0.37,0.32,0.422,0.483,-0.051,-0.05,-0.04,75.7,89.2,25.2,40.2,17.1,6.1,41.5,101.7828498,94.92406268,63.6,15.5,20.5,42.5,-1,28.9
 Lars Nootbaar,663457,2024,26,348,405,85,52,18,3,12,79,52,19.5,12.8,0.244,0.417,0.342,0.759,45,155,3,7,0.264,0.455,0.331,0.355,0.359,0.191,0.36,0.395,-0.02,-0.038,-0.024,72.6,91.8,6,32.2,9.9,8.1,49.5,102.2821624,95.71785568,56.5,13.3,19,37.2,1,27
 Jordan Beck,687597,2024,23,170,184,32,23,6,0,3,65,12,35.3,6.5,0.188,0.276,0.245,0.521,13,73,1,7,0.209,0.329,0.231,0.263,0.266,0.12,0.32,0.376,-0.021,-0.053,-0.032,71.4,86.1,13.4,32.1,6.6,5.7,32.1,98.64348698,93.33507528,73.1,26.6,34.8,53.6,-2,28.6
 Luke Williams,663897,2024,27,46,52,9,6,3,0,0,13,4,25,7.7,0.196,0.261,0.275,0.536,4,21,0,3,0.166,0.266,0.246,0.234,0.248,0.099,0.274,0.257,0.03,-0.005,0.012,70.3,89.6,18.6,23.5,2.9,5.9,29.4,96.81812941,92.78946152,72.8,14.9,25.6,52.3,,28.6
 Willson Contreras,575929,2024,32,301,358,79,47,17,0,15,96,45,26.8,12.6,0.262,0.468,0.38,0.848,36,116,1,4,0.258,0.455,0.37,0.365,0.377,0.197,0.456,0.447,0.004,0.013,0.005,75.9,91.6,14.2,32.7,11.2,6.8,46.8,103.7121348,96.17214078,71.2,22.2,35,49.8,,27.1
 Andrew Vaughn,683734,2024,26,570,619,140,90,30,1,19,132,38,21.3,6.1,0.246,0.402,0.297,0.699,70,233,0,2,0.244,0.44,0.304,0.319,0.297,0.197,0.356,0.378,0.002,-0.038,-0.015,70.8,90.3,16.6,33.6,9.3,8.4,43.3,100.9216329,94.70297133,66.7,11.8,22,49.4,,26.3
 Nolan Jones,666134,2024,26,256,297,58,41,13,1,3,91,36,30.6,12.1,0.227,0.32,0.321,0.641,28,127,4,5,0.211,0.322,0.287,0.287,0.31,0.111,0.358,0.358,0.016,-0.002,0,70.7,88.2,7.8,34.3,5.9,6.5,44.4,100.556302,94.52850089,55.7,20.5,25.6,40,-6,28.1
 César Salazar,663967,2024,28,25,32,8,6,2,0,0,6,2,18.8,6.3,0.32,0.4,0.387,0.787,8,11,0,0,0.323,0.376,0.343,0.338,0.39,0.053,0.371,0.365,-0.003,0.024,0.005,67.7,85.6,17.7,45.5,0,0,13.6,92.75942364,90.49303143,71.4,20,22.8,51.4,,25.5
 Gio Urshela,570482,2024,32,432,461,108,79,19,1,9,72,23,15.6,5,0.25,0.361,0.286,0.647,52,188,0,0,0.264,0.389,0.281,0.302,0.302,0.126,0.311,0.337,-0.014,-0.028,-0.021,68.2,86.4,10.5,38.6,4.9,5.2,28.4,96.69677641,92.39427053,72.7,15.8,20.3,54.6,,25.1
 Harrison Bader,664056,2024,30,402,437,95,64,19,0,12,95,21,21.7,4.8,0.236,0.373,0.284,0.657,51,179,8,17,0.242,0.377,0.285,0.294,0.292,0.135,0.335,0.348,-0.006,-0.004,-0.009,71.2,87.2,11.9,33.9,6.4,4.5,35.5,98.68569026,93.42080102,59.8,14.2,24.5,46.6,9,28.2
 Rob Refsnyder,608701,2024,33,272,307,77,49,16,1,11,78,28,25.4,9.1,0.283,0.471,0.359,0.83,40,119,2,2,0.252,0.412,0.358,0.326,0.333,0.16,0.448,0.399,0.031,0.059,0.032,72.8,89.6,10.7,32.8,9.7,4.6,43.1,101.6230719,95.03426717,65.9,20.1,28.1,46.2,-2,27.3
 Luis Guillorme,641645,2024,29,161,187,33,23,9,1,0,36,23,19.3,12.3,0.205,0.273,0.301,0.574,10,77,2,4,0.223,0.29,0.263,0.279,0.317,0.067,0.261,0.284,-0.018,-0.017,-0.016,64.9,85.5,5.7,32.8,2.3,3.1,21.1,94.42489938,91.27393165,60.4,13.9,18.9,42.3,,24.7
 Tyler O'Neill,641933,2024,29,411,473,99,50,18,0,31,159,53,33.6,11.2,0.241,0.511,0.336,0.847,61,172,0,4,0.213,0.48,0.36,0.339,0.313,0.267,0.513,0.475,0.028,0.031,0.021,75.2,90.9,20.2,34.6,17.3,7.9,48.8,102.8197679,95.79760524,65.2,24.4,34.1,44.6,-4,27.5
 Zack Gelof,680869,2024,24,497,547,105,66,20,2,17,188,38,34.4,6.9,0.211,0.362,0.27,0.632,49,231,3,25,0.199,0.347,0.276,0.271,0.262,0.148,0.386,0.377,0.012,0.015,0.005,71.6,89.2,14.2,34.4,8.8,6.3,37.2,98.97092194,93.61114703,72.1,26.1,36.4,51.5,,28.7
 Tyrone Taylor,621438,2024,30,319,345,79,47,22,3,7,80,19,23.2,5.5,0.248,0.401,0.299,0.7,35,171,2,11,0.249,0.389,0.304,0.301,0.301,0.14,0.367,0.364,-0.001,0.012,0.003,70.5,87.3,16.8,34.9,7.1,7.5,35.3,99.35516798,93.78348798,66.2,12,22.2,49.4,2,28.9
 Andy Ibáñez,628451,2024,31,224,244,54,39,9,1,5,63,15,25.8,6.1,0.241,0.357,0.295,0.652,32,87,3,2,0.214,0.324,0.287,0.268,0.274,0.11,0.353,0.324,0.027,0.033,0.019,70.1,88.1,20.3,33.7,4.9,5.5,33.1,97.90814951,93.09609564,73.6,21.6,30.8,52.8,,27.6
 Leo Jimenez,677870,2024,23,179,210,41,26,11,0,4,59,12,28.1,5.7,0.229,0.358,0.329,0.687,19,69,0,0,0.228,0.361,0.308,0.311,0.328,0.133,0.365,0.37,0.001,-0.003,-0.003,69.7,87.6,12.3,40.7,8.1,7.3,33.3,97.3007841,92.76341694,64.3,19.6,27,46.3,,28
 Ezequiel Tovar,678662,2024,22,655,695,176,101,45,4,26,200,23,28.8,3.3,0.269,0.469,0.295,0.764,78,229,5,6,0.233,0.401,0.324,0.289,0.264,0.168,0.444,0.391,0.036,0.068,0.035,71.3,88.8,18.9,38.5,9,7.7,39.8,99.30648585,93.96401633,82,21.9,33.5,62.3,,28.1
 Cody Bellinger,641355,2024,28,516,569,137,93,23,3,18,89,45,15.6,7.9,0.266,0.426,0.325,0.751,78,232,2,9,0.242,0.391,0.322,0.301,0.305,0.149,0.353,0.326,0.024,0.035,0.021,69,87.8,17.4,32.9,6.3,3.9,32.9,97.31402921,92.76835107,67.1,16,22.2,49.8,-1,28.4
 Edward Olivares,658668,2024,28,174,196,39,30,4,0,5,37,16,18.9,8.2,0.224,0.333,0.291,0.624,23,75,0,1,0.28,0.397,0.276,0.332,0.348,0.117,0.296,0.374,-0.056,-0.064,-0.056,71.8,86.8,9.2,35.5,6.4,2.8,35.5,98.50843606,93.31168468,68.8,15,24.2,51,-6,27.8
 Randal Grichuk,545341,2024,32,254,279,74,40,20,2,12,46,20,16.5,7.2,0.291,0.528,0.348,0.876,46,121,0,0,0.278,0.483,0.373,0.359,0.338,0.206,0.42,0.401,0.013,0.045,0.014,73.7,90.6,17.3,34.3,11,7.6,47.6,102.4366337,95.6010481,67.6,11.3,20.4,47.3,-1,27.5
 Chuckie Robinson,642020,2024,29,70,76,9,9,0,0,0,20,5,26.3,6.6,0.129,0.129,0.197,0.326,0,27,0,0,0.172,0.213,0.159,0.21,0.237,0.042,0.159,0.236,-0.043,-0.084,-0.051,71.3,81.4,1.2,28,2,2,22,93.5154248,91.0716732,74.5,21.9,29.9,55,,25.5
 Austin Wells,669224,2024,24,354,414,81,49,18,1,13,87,47,21,11.4,0.229,0.395,0.322,0.717,55,185,2,1,0.242,0.429,0.315,0.339,0.339,0.187,0.343,0.38,-0.013,-0.034,-0.024,72.4,88.4,17.1,34.5,9.1,7.3,38.9,99.72356726,94.07096937,73.2,19.9,27.3,49.3,,26.7
 Yan Gomes,543228,2024,36,91,96,14,10,2,0,2,36,2,37.5,2.1,0.154,0.242,0.179,0.421,7,57,0,0,0.212,0.364,0.184,0.259,0.236,0.152,0.275,0.402,-0.058,-0.122,-0.075,68.7,87.1,17,42.1,10.5,7,42.1,99.53939321,93.980665,72.8,22.3,34.1,58.7,,26.3
 Angel Martínez,682657,2024,22,151,169,35,25,7,0,3,33,15,19.5,8.9,0.232,0.338,0.298,0.636,11,43,1,3,0.223,0.304,0.282,0.271,0.293,0.082,0.308,0.294,0.009,0.034,0.011,69,86.5,14.9,29.8,1.7,5.8,32.2,96.82914627,92.47733907,62,11.8,19.8,48.6,-2,27.6
 Mark Vientos,668901,2024,24,413,454,110,61,22,0,27,135,33,29.7,7.3,0.266,0.516,0.322,0.838,71,177,0,0,0.246,0.463,0.356,0.331,0.305,0.217,0.483,0.444,0.02,0.053,0.025,71.8,91.2,11.4,34.6,14.1,7.1,46.6,102.5447463,95.74157557,68.5,25,34.4,49.9,,26.3
 Drew Waters,671221,2024,25,16,19,3,2,1,0,0,6,2,31.6,10.5,0.188,0.25,0.316,0.566,1,6,0,0,0.096,0.134,0.269,0.197,0.239,0.038,0.302,0.164,0.092,0.116,0.072,73,77.9,3.8,20,0,0,20,88.577112,90.088648,78,21.9,31.8,46.8,,28
 Dylan Crews,686611,2024,22,119,132,26,17,5,1,3,26,11,19.7,8.3,0.218,0.353,0.288,0.641,8,55,3,12,0.253,0.418,0.283,0.325,0.321,0.164,0.309,0.368,-0.035,-0.065,-0.042,72.3,89,8.8,23.4,6.4,8.5,44.7,101.3196032,94.90975161,63.6,13.7,22.8,44.6,2,29.3
 LaMonte Wade Jr.,664774,2024,30,331,401,86,62,16,0,8,90,62,22.4,15.5,0.26,0.381,0.38,0.761,34,116,1,2,0.259,0.428,0.337,0.354,0.381,0.169,0.374,0.401,0.001,-0.047,-0.017,72.4,90.6,12.9,39.6,9.4,9,44.1,101.1648981,95.07439317,62.9,13.6,24.2,40.9,,25.2
 David Dahl,621311,2024,30,58,62,12,7,2,0,3,21,3,33.9,4.8,0.207,0.397,0.242,0.639,8,31,0,0,0.2,0.376,0.273,0.264,0.236,0.176,0.39,0.376,0.007,0.021,0.009,68.1,87.1,12.7,36.8,7.9,13.2,21.1,96.43702632,92.24165079,75.8,22,33.3,54.1,1,27.1
 Josh Naylor,647304,2024,27,563,633,137,79,27,0,31,105,58,16.6,9.2,0.243,0.456,0.32,0.776,108,249,2,6,0.257,0.443,0.332,0.335,0.333,0.186,0.362,0.366,-0.014,0.013,-0.003,72.9,89.9,11.1,30.1,8.4,6.1,40.9,100.8153601,94.68081673,72.3,14.5,22.4,50.3,,25.2
 Lawrence Butler,671732,2024,23,412,451,108,60,24,2,22,108,35,23.9,7.8,0.262,0.49,0.317,0.807,57,116,0,18,0.258,0.468,0.345,0.339,0.317,0.21,0.426,0.419,0.004,0.022,0.006,74.2,91.1,11.3,35.1,11,5.8,47.4,101.824301,95.30225628,69.1,19.6,26.9,47.7,-1,27.6
 Hunter Goodman,696100,2024,24,211,224,40,18,9,0,13,64,8,28.6,3.6,0.19,0.417,0.228,0.645,36,103,1,1,0.209,0.403,0.274,0.279,0.246,0.194,0.361,0.368,-0.019,0.014,-0.005,74.9,88.2,16.5,32.9,12.8,6.7,39.6,100.1496636,94.13566503,78.1,19.6,31.5,58,-4,28
 Bryan De La Cruz,650559,2024,27,584,622,136,90,25,0,21,170,29,27.3,4.7,0.233,0.384,0.271,0.655,68,237,2,5,0.242,0.419,0.283,0.302,0.28,0.177,0.367,0.396,-0.009,-0.035,-0.019,71.8,89.6,13.1,35.6,9.3,6.4,41.3,99.84865292,94.22196445,75.3,22.4,30.1,53.4,-7,27.5
 Luisangel Acuña,682668,2024,22,39,40,12,6,2,1,3,6,1,15,2.5,0.308,0.641,0.325,0.966,6,10,1,0,0.266,0.424,0.406,0.307,0.285,0.158,0.471,0.352,0.042,0.217,0.099,73.6,91,10.3,30.3,9.1,3,45.5,101.4867913,95.23643097,76.1,16.7,24.3,54.4,,29.5
 Ian Happ,664023,2024,29,569,657,138,77,34,2,25,168,80,25.6,12.2,0.243,0.441,0.341,0.782,86,213,2,13,0.243,0.446,0.341,0.345,0.342,0.203,0.409,0.416,0,-0.005,-0.004,72.4,90.8,15.1,37,11.7,7.7,45.2,101.5906663,95.28799229,67.8,21.4,27.9,45.9,-1,27.9
 Brooks Baldwin,681460,2024,23,114,121,24,16,6,0,2,31,6,25.6,5,0.211,0.316,0.25,0.566,8,46,0,4,0.216,0.343,0.249,0.262,0.255,0.126,0.31,0.329,-0.005,-0.027,-0.013,71.2,87.4,26.2,34.5,4.8,6,32.1,96.86830625,92.49543671,78,21.8,24.9,57.5,,29.1
 Cedric Mullins,656775,2024,29,444,499,104,67,16,3,18,98,41,19.6,8.2,0.234,0.405,0.305,0.71,54,188,6,32,0.227,0.355,0.31,0.291,0.298,0.128,0.347,0.32,0.007,0.05,0.019,71,87.1,21.5,31.7,4.9,5.4,33.4,97.75960611,92.89369311,73.3,13.1,19.1,51.4,3,28.3
 Joc Pederson,592626,2024,32,367,449,101,60,17,1,23,105,55,23.4,12.2,0.275,0.515,0.393,0.908,64,140,4,7,0.261,0.477,0.391,0.376,0.384,0.216,0.464,0.439,0.014,0.038,0.015,73.4,92.3,16.9,34.2,12.8,5.6,46.2,102.6485995,95.86406189,60.7,17.9,25,44,,25.5
