Name,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
 Rafael Devers,646240,2024,27,525,601,143,76,34,5,28,147,67,24.5,11.1,0.272,0.516,0.354,0.87,83,235,0,3,0.271,0.507,0.364,0.363,0.355,0.236,0.456,0.455,0.001,0.009,0.001,72.5,93.2,11.6,35.2,13,8.6,52.6,104.5979259,97.09053746,73.8,28.1,30.9,50.9,,26.5
 Oneil Cruz,665833,2024,25,541,599,140,82,34,3,21,181,51,30.2,8.5,0.259,0.449,0.324,0.773,76,268,1,22,0.263,0.461,0.331,0.34,0.329,0.199,0.447,0.462,-0.004,-0.012,-0.009,78.5,95.5,9.8,32.1,15.7,4.7,54.9,107.1993529,98.54788149,63,24,34.1,46.3,2,28.8
 Francisco Lindor,596019,2024,30,618,689,169,96,39,1,33,127,56,18.4,8.1,0.273,0.5,0.344,0.844,91,223,4,29,0.283,0.528,0.363,0.379,0.353,0.246,0.411,0.433,-0.01,-0.028,-0.016,72.4,90.9,17,35.4,13.6,5.7,47.4,101.0981172,95.07615815,69.9,17.5,23.7,48.7,,27.6
 Harold Ramírez,623912,2024,29,238,246,62,52,7,1,2,50,5,20.3,2,0.261,0.324,0.28,0.604,29,103,2,6,0.236,0.311,0.265,0.251,0.258,0.075,0.319,0.302,0.025,0.013,0.014,71.7,87,-0.2,27.5,3.2,2.1,33.9,98.2791943,93.19999086,68.7,20.1,31.4,56.2,,28
 Ozzie Albies,645277,2024,27,399,435,100,60,29,1,10,65,27,14.9,6.2,0.251,0.404,0.303,0.707,53,149,1,8,0.246,0.387,0.307,0.302,0.301,0.14,0.329,0.323,0.005,0.017,0.005,69.1,88.4,18.4,33.4,6.2,4.7,32,97.09553947,92.6175538,82.6,15.5,20.5,56.6,,27.2
 Ramon Laureano,657656,2024,29,286,309,74,46,16,1,11,96,15,31.1,4.9,0.259,0.437,0.311,0.748,33,118,3,8,0.235,0.43,0.324,0.311,0.288,0.195,0.444,0.423,0.024,0.007,0.013,72.7,89.2,13.3,38.7,12.6,6.8,40.8,100.2546411,94.4925611,73.3,22.7,31.8,52.3,-7,27.8
 Ryan McKenna,663630,2024,27,14,15,3,1,0,0,2,5,1,33.3,6.7,0.214,0.643,0.267,0.91,2,10,1,1,0.17,0.367,0.378,0.257,0.225,0.198,0.553,0.352,0.044,0.276,0.121,73.5,84.5,27.4,22.2,22.2,0,44.4,99.698548,94.60617667,81.5,13.6,18.5,51.9,,28.1
 Ryan O'Hearn,656811,2024,30,443,494,117,78,21,3,15,69,46,14,9.3,0.264,0.427,0.334,0.761,59,194,1,3,0.278,0.461,0.33,0.351,0.348,0.183,0.347,0.374,-0.014,-0.034,-0.021,72.4,89.6,12,35,6.9,9.3,40.1,99.73315096,94.09578739,67.7,10.3,18.1,46.7,0,27.8
 Brent Rooker Jr.,667670,2024,29,546,614,160,93,26,2,39,177,59,28.8,9.6,0.293,0.562,0.365,0.927,112,207,3,11,0.266,0.557,0.392,0.38,0.341,0.291,0.53,0.51,0.027,0.005,0.012,73.7,91.9,18.9,38.3,16.6,8.6,49.6,103.2523846,96.19345324,72.6,21.1,34.1,50.2,-2,27.6
 Nick Sogard,686765,2024,26,77,86,21,17,4,0,0,25,7,29.1,8.1,0.273,0.325,0.326,0.651,8,35,0,3,0.279,0.363,0.289,0.309,0.333,0.084,0.37,0.402,-0.006,-0.038,-0.02,65.9,87.4,15.7,48.1,1.9,5.6,31.5,96.41042333,92.36746717,68.5,17.2,25.4,48.6,,27.7
 Luis Robert Jr.,673357,2024,26,393,425,88,55,19,0,14,141,28,33.2,6.6,0.224,0.379,0.278,0.657,35,169,6,23,0.212,0.367,0.285,0.279,0.269,0.155,0.399,0.389,0.012,0.012,0.006,74.6,90.1,13.5,35.6,9.9,5.1,40.7,101.232869,94.88607694,72.7,23.4,36.1,53.1,1,28.8
 Brett Baty,683146,2024,24,153,171,35,28,3,0,4,42,16,24.6,9.4,0.229,0.327,0.306,0.633,16,81,0,0,0.211,0.344,0.282,0.282,0.29,0.133,0.33,0.33,0.018,-0.017,0,73.5,86.6,10.3,27.7,5.4,6.3,33,99.35453036,93.68307473,69.2,16.4,26.2,50.9,,26.9
 Ryan Noda,676116,2024,28,95,111,13,8,4,0,1,37,14,33.3,12.6,0.137,0.211,0.255,0.466,4,31,0,0,0.158,0.263,0.223,0.25,0.274,0.106,0.243,0.297,-0.021,-0.052,-0.027,72.3,86.2,16,23.7,5.1,10.2,33.9,98.77226679,93.47995036,62.5,26.5,33.8,42.1,,27
 Kyle McCann,668832,2024,26,140,157,33,24,4,0,5,59,16,37.6,10.2,0.236,0.371,0.318,0.689,15,53,0,0,0.184,0.351,0.304,0.274,0.273,0.167,0.45,0.392,0.052,0.02,0.03,73.6,89.6,12.5,30.9,12.3,8.6,38.3,100.5348778,94.54917617,66.8,35.5,45.2,45.9,,25.3
 Orlando Arcia,606115,2024,29,551,602,120,79,24,0,17,128,41,21.3,6.8,0.218,0.354,0.271,0.625,46,254,0,2,0.206,0.323,0.273,0.261,0.263,0.118,0.313,0.297,0.012,0.031,0.012,70.9,88.2,8.6,29.9,5.3,6.5,37.8,98.41985743,93.28389647,70.8,17.7,26.6,49.1,,25.6
 Nolan Gorman,669357,2024,24,365,402,74,40,15,0,19,151,34,37.6,8.5,0.203,0.4,0.271,0.671,50,181,1,6,0.209,0.433,0.29,0.307,0.278,0.223,0.431,0.463,-0.006,-0.033,-0.017,73.2,88.5,20.3,40.3,16.7,5.1,38.6,100.7277907,94.44395395,70.8,29,38.7,51,,26.2
 Owen Miller,680911,2024,27,27,27,5,4,1,0,0,8,0,29.6,0,0.185,0.222,0.185,0.407,3,10,0,0,0.189,0.238,0.177,0.185,0.189,0.049,0.252,0.263,-0.004,-0.016,-0.008,69.6,89.6,9.7,21.1,0,5.3,21.1,97.121728,92.96521842,69.5,31.7,32.1,51.5,,28.5
 Tyler Fitzgerald,666149,2024,26,314,341,88,52,19,2,15,108,22,31.7,6.5,0.28,0.497,0.334,0.831,34,131,4,17,0.227,0.378,0.357,0.292,0.286,0.151,0.501,0.395,0.053,0.119,0.065,70.5,87.7,20.2,39.1,8.2,4.8,31.9,97.5779034,92.79850055,67.9,22.3,31.2,47.7,1,30
 Miguel Andujar,609280,2024,29,302,319,86,67,14,1,4,42,13,13.2,4.1,0.285,0.377,0.32,0.697,30,102,2,3,0.26,0.337,0.306,0.282,0.296,0.077,0.331,0.301,0.025,0.04,0.024,71.6,86.1,9.2,26.1,2.7,3.1,33.7,97.86498076,92.95536149,66.2,7,16,50.4,-7,26.6
 Jake Meyers,676694,2024,28,461,513,101,65,20,3,13,117,35,22.8,6.8,0.219,0.36,0.286,0.646,61,236,3,11,0.235,0.382,0.285,0.304,0.303,0.147,0.327,0.355,-0.016,-0.022,-0.019,68.6,88.2,14.4,34.8,6.8,8.3,37,99.31727006,93.72674191,68.1,15.9,27,49.1,14,28.9
 Kyle Schwarber,656941,2024,31,573,692,142,82,22,0,38,197,106,28.5,15.3,0.248,0.485,0.366,0.851,104,183,3,5,0.256,0.512,0.366,0.38,0.374,0.256,0.463,0.489,-0.008,-0.027,-0.014,77.5,93.6,15,31.8,15.6,7.3,55.5,105.1545278,97.52984344,60.6,23.7,32,39.9,,25.8
 Vladimir Guerrero Jr.,665489,2024,25,616,697,199,124,44,1,30,96,72,13.8,10.3,0.323,0.544,0.396,0.94,103,225,2,2,0.321,0.567,0.398,0.408,0.395,0.247,0.434,0.448,0.002,-0.023,-0.01,75.9,93.8,7.4,35.1,13.7,6.3,54.9,105.6637208,97.64934607,68.6,15.1,21.5,48,,27.2
 Andrés Chaparro,665953,2024,25,121,132,26,10,12,0,4,24,7,18.2,5.3,0.215,0.413,0.28,0.693,15,45,1,1,0.226,0.392,0.301,0.301,0.29,0.167,0.331,0.33,-0.011,0.021,0,72.4,87.8,16.6,27.8,6.2,8.2,33,98.3188851,93.21654072,77.1,14.4,24.8,53.7,,25.8
 Parker Meadows,678009,2024,24,270,298,66,39,12,6,9,76,25,25.5,8.4,0.244,0.433,0.31,0.743,28,87,4,9,0.229,0.378,0.321,0.298,0.297,0.15,0.397,0.362,0.015,0.055,0.023,70.5,87,18.5,34.7,7.7,6.1,32.3,97.95697062,93.05679575,65.9,16.4,27,45.5,7,29.3
 Juan Yepez,660766,2024,26,226,249,64,43,15,0,6,42,18,16.9,7.2,0.283,0.429,0.335,0.764,26,89,1,2,0.252,0.351,0.331,0.295,0.31,0.1,0.369,0.322,0.031,0.078,0.036,70.5,86.6,8.5,30.3,5.9,5.3,35.6,98.2087386,93.11162161,70.9,15.6,22.1,50.1,,26.7
 Mike Ford,645801,2024,31,60,62,9,7,0,1,1,15,2,24.2,3.2,0.15,0.233,0.177,0.41,4,32,0,0,0.207,0.299,0.18,0.234,0.232,0.093,0.218,0.292,-0.057,-0.066,-0.054,69.8,86.4,17.5,28.9,2.2,4.4,33.3,97.90803652,93.06410756,72.3,23.5,25.4,49.8,,22.8
 Triston Casas,671213,2024,24,212,243,51,30,8,0,13,77,30,31.7,12.3,0.241,0.462,0.337,0.799,32,89,1,0,0.219,0.452,0.342,0.33,0.319,0.233,0.468,0.446,0.022,0.01,0.012,74.6,90.2,10.5,35.6,13.3,7.4,45.2,101.4354106,95.11248593,65.8,26,32.2,44.5,,24.1
 Jose Siri,642350,2024,28,402,448,75,40,16,1,18,170,31,37.9,6.9,0.187,0.366,0.255,0.621,47,202,7,14,0.2,0.409,0.271,0.297,0.269,0.209,0.398,0.446,-0.013,-0.043,-0.026,72.5,87.5,15.4,35.7,14.7,8.8,41.6,100.7328933,94.47103983,67.1,32.1,41.9,50.9,16,29.9
 Freddy Fermin,666023,2024,29,339,368,92,72,14,0,6,66,23,17.9,6.3,0.271,0.366,0.319,0.685,36,123,0,2,0.244,0.334,0.3,0.279,0.294,0.09,0.338,0.31,0.027,0.032,0.021,70.8,88.2,11.1,29.2,3.2,4,33.9,97.93139754,93.08560026,72.4,12.9,23,51,,26.6
 Anthony Rizzo,519203,2024,34,337,375,77,57,12,0,8,65,27,17.3,7.2,0.228,0.335,0.301,0.636,35,142,0,0,0.24,0.34,0.285,0.297,0.314,0.101,0.298,0.314,-0.012,-0.005,-0.012,68.5,86.7,14.3,31,4,4.7,33.2,97.79820358,92.90999026,65.9,10.6,19.3,49.1,,24.5
 Garrett Cooper,643265,2024,33,107,116,22,15,5,1,1,35,7,30.2,6,0.206,0.299,0.267,0.566,11,56,0,0,0.261,0.412,0.253,0.321,0.319,0.151,0.321,0.431,-0.055,-0.113,-0.068,72.9,85.9,12.7,47.2,9.7,6.9,36.1,98.9080275,93.4931725,57.2,19.5,29.5,46.7,,26.8
 Andrés Giménez,665926,2024,25,583,633,147,115,22,1,9,97,26,15.3,4.1,0.252,0.34,0.298,0.638,63,235,5,30,0.262,0.355,0.281,0.296,0.31,0.093,0.303,0.322,-0.01,-0.015,-0.015,68.3,86.3,8.7,32.7,2.8,4.4,28.5,96.49249914,92.26234236,74.6,15.7,22.8,56.4,,28.9
 Jason Vosler,613564,2024,30,28,30,5,3,1,1,0,9,2,30,6.7,0.179,0.286,0.233,0.519,3,10,0,0,0.232,0.414,0.229,0.301,0.283,0.182,0.289,0.403,-0.053,-0.128,-0.072,71,92.6,16.5,42.1,15.8,10.5,42.1,98.703699,94.54405526,75,22.2,27.4,51.7,,26.7
 José Azocar,640492,2024,28,73,79,16,14,2,0,0,19,5,24.1,6.3,0.219,0.247,0.269,0.516,2,28,1,5,0.231,0.306,0.235,0.264,0.28,0.075,0.275,0.317,-0.012,-0.059,-0.029,70.5,86.5,9.8,30.9,3.6,3.6,30.9,97.51953704,92.8865934,78,17.5,29.7,62.5,2,29
 Mike Tauchman,643565,2024,33,298,350,74,54,12,1,7,70,47,20,13.4,0.248,0.366,0.357,0.723,29,113,2,6,0.238,0.377,0.325,0.327,0.35,0.139,0.343,0.346,0.01,-0.011,-0.002,69.3,89,15.5,34.9,7.4,4.8,41,99.14192711,93.78831741,69.6,18.6,22.5,46,0,27.2
 Nick Senzel,669222,2024,29,236,267,46,28,11,0,7,61,28,22.8,10.5,0.195,0.331,0.283,0.614,18,100,3,1,0.229,0.355,0.273,0.298,0.314,0.125,0.302,0.339,-0.034,-0.024,-0.025,68.8,84,15.5,38.6,5.7,4.5,26.7,95.74673126,91.87689172,66.6,15.9,23.9,47.1,,27.3
 Kyle Farmer,571657,2024,33,215,242,46,27,13,1,5,49,19,20.2,7.9,0.214,0.353,0.293,0.646,25,100,5,3,0.225,0.361,0.285,0.294,0.304,0.136,0.309,0.322,-0.011,-0.008,-0.009,66.7,87.7,17.9,36.3,5.4,6,29.8,97.02559857,92.5474522,63.2,13.5,22,48.5,,25.9
 Dominic Fletcher,666150,2024,26,223,241,46,37,8,0,1,58,11,24.1,4.6,0.206,0.256,0.252,0.508,17,97,0,0,0.219,0.282,0.227,0.244,0.265,0.063,0.269,0.294,-0.013,-0.026,-0.017,66.7,84.4,12.1,38.7,1.8,3,26.8,95.80805349,91.9344857,61.9,15.1,21.2,47.2,2,26.4
 Lourdes Gurriel Jr.,666971,2024,30,513,553,143,101,22,2,18,101,29,18.3,5.2,0.279,0.435,0.322,0.757,75,220,1,7,0.267,0.421,0.327,0.319,0.312,0.154,0.376,0.365,0.012,0.014,0.008,70.6,88.4,15.7,33.8,6.7,7.2,40,99.54934847,93.92185029,69.5,11.8,20.2,51.1,3,26.6
