Name,player_id,year,player_age,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent
 Keegan Akin,669211,2024,29,313,285,55,31,13,2,9,97,19,31,6.1,0.193,0.347,0.244,0.591,0.183,0.31,0.255,0.244,0.24,0.127,0.338,0.321,0.01,0.037,0.011,70.7,88.3,18.5,29.7,7.7,8.7,37.4,77.43060516,93.83441667,66.3,22.9,30,47.2
 Abner Uribe,682842,2024,24,66,54,15,12,1,1,1,14,12,21.2,18.2,0.278,0.389,0.409,0.798,0.257,0.359,0.349,0.335,0.394,0.102,0.387,0.365,0.021,0.03,0.014,71.4,86.8,3.1,25,7.5,0,47.5,72.7742005,95.06823256,54.6,21.1,26,37.2
 Tanner Gordon,685299,2024,26,160,149,53,31,9,3,10,26,6,16.3,3.8,0.356,0.658,0.386,1.044,0.31,0.511,0.44,0.368,0.343,0.202,0.515,0.424,0.046,0.147,0.072,71.7,90.2,15.9,34.4,8,4,36.8,80.27359738,94.30380533,72.3,14.8,18.8,54.2
 Tobias Myers,668964,2024,25,569,520,126,88,19,1,18,127,36,22.3,6.3,0.242,0.387,0.295,0.682,0.251,0.419,0.297,0.317,0.306,0.168,0.352,0.38,-0.009,-0.032,-0.02,71.8,89.8,16.4,36.4,8,6.2,38.7,79.2982097,94.361624,69.8,15.4,21.3,49.6
 George Soriano,666277,2024,25,131,112,27,11,9,0,7,29,13,22.1,9.9,0.241,0.509,0.336,0.845,0.288,0.516,0.36,0.384,0.378,0.228,0.416,0.453,-0.047,-0.007,-0.024,71.5,89,15.2,51.8,12.9,10.6,45.9,76.74279476,95.01172179,65.1,14.9,25.5,45.3
 Alex Wood,622072,2024,33,186,158,51,32,13,0,6,33,19,17.7,10.2,0.323,0.519,0.408,0.927,0.302,0.486,0.398,0.386,0.396,0.185,0.447,0.431,0.021,0.033,0.012,71.9,92.3,14.5,41.1,8.5,5.4,48.8,82.28135556,95.94021792,64.4,15.9,20.7,42.2
 Tejay Antone,622088,2024,30,11,7,2,1,1,0,0,2,4,18.2,36.4,0.286,0.429,0.545,0.974,0.211,0.253,0.445,0.378,0.498,0.042,0.427,0.281,0.075,0.176,0.067,72.7,88.9,10.3,20,0,0,40,81.11793333,93.074514,72.2,23.1,31.3,34
 Alex Lange,656638,2024,28,90,69,16,12,4,0,0,21,17,23.3,18.9,0.232,0.29,0.398,0.688,0.244,0.315,0.327,0.34,0.408,0.07,0.325,0.35,-0.012,-0.025,-0.013,71.8,91.6,9.5,30,2,8,52,81.65995708,95.67216167,63.5,12.9,33.3,43
 Alex Young,622065,2024,30,68,61,15,9,3,1,2,15,7,22.1,10.3,0.246,0.426,0.324,0.75,0.255,0.387,0.327,0.319,0.332,0.132,0.378,0.367,-0.009,0.039,0.008,71.8,88.4,12.2,30.4,6.5,8.7,47.8,76.90894261,94.06068413,66.1,12.8,31.7,46.1
 Sean Guenther,674944,2024,28,73,69,9,6,2,1,0,12,2,16.4,2.7,0.13,0.188,0.178,0.366,0.197,0.266,0.167,0.228,0.241,0.07,0.165,0.243,-0.067,-0.078,-0.061,71.7,88.6,3.4,21.1,1.8,3.5,31.6,79.72687069,93.01152667,61.7,8.9,19,47.7
 Joe Ryan,657746,2024,28,538,507,110,61,24,6,19,147,23,27.3,4.3,0.217,0.4,0.257,0.657,0.208,0.352,0.282,0.264,0.249,0.144,0.365,0.337,0.009,0.048,0.018,71.2,88.3,18.5,33.6,8.5,6.6,36.6,77.14852283,93.9143473,68,21.4,26.6,50.9
 Victor Mederos,682989,2024,23,27,21,7,4,2,0,1,5,6,18.5,22.2,0.333,0.571,0.481,1.052,0.375,0.605,0.453,0.481,0.514,0.23,0.505,0.553,-0.042,-0.034,-0.028,73.6,98,8.8,37.5,12.5,12.5,68.8,89.60103,100.1235081,79.6,12.8,24,46.7
 Matt Moore,519043,2024,35,210,179,39,22,6,0,11,41,26,19.5,12.4,0.218,0.436,0.324,0.76,0.216,0.405,0.329,0.318,0.322,0.189,0.358,0.342,0.002,0.031,0.011,71.5,88.8,23,38.3,9.2,8.5,35.5,78.59567456,93.79785294,72.2,23,26.7,48.6
 Trevor Megill,656730,2024,30,183,165,33,26,3,0,4,50,14,27.3,7.7,0.2,0.291,0.264,0.555,0.208,0.327,0.239,0.262,0.274,0.119,0.298,0.333,-0.008,-0.036,-0.023,70.7,91.2,19,36.4,7.6,6.8,42.4,82.62534034,94.49031821,70.1,15,29.7,52.4
 Josh Walker,677020,2024,29,56,47,13,9,2,1,1,11,7,19.6,12.5,0.277,0.426,0.357,0.783,0.232,0.36,0.338,0.312,0.328,0.127,0.371,0.334,0.045,0.066,0.026,71.3,86.2,8.2,39.5,7.9,10.5,36.8,73.6499979,93.40657079,62,11.3,25.7,47
 Cole Winn,668390,2024,24,77,69,18,13,3,0,2,14,4,18.2,5.2,0.261,0.391,0.325,0.716,0.279,0.452,0.315,0.35,0.346,0.173,0.345,0.394,-0.018,-0.061,-0.035,71.2,89.9,14.3,41.1,10.7,3.6,41.1,79.39955143,94.42587107,70.6,22.2,25.7,51.7
 Darren McCaughan,670766,2024,28,195,171,53,34,9,1,9,28,15,14.4,7.7,0.31,0.532,0.379,0.911,0.272,0.481,0.39,0.36,0.348,0.208,0.42,0.38,0.038,0.051,0.03,72.4,89.1,19.5,37,8.2,6.8,39,78.17978662,94.27560444,64.2,13,15.5,45.1
 Dallas Keuchel,572971,2024,36,79,70,23,15,4,1,3,11,8,13.9,10.1,0.329,0.543,0.392,0.935,0.284,0.433,0.399,0.345,0.356,0.148,0.433,0.363,0.045,0.11,0.054,72.6,88.3,10.3,30,5,5,35,77.20467172,93.67151345,62.8,10.5,20.4,36.7
 Jake Junis,596001,2024,31,253,241,49,28,12,1,8,51,8,20.2,3.2,0.203,0.361,0.237,0.598,0.251,0.414,0.259,0.302,0.283,0.163,0.302,0.359,-0.048,-0.053,-0.043,72,90,15.1,35.1,8.4,6.3,42.4,80.31472646,94.19923749,62.7,19.5,24.6,47.8
 Chris Devenski,606965,2024,33,122,108,28,12,6,1,9,24,14,19.7,11.5,0.259,0.583,0.344,0.927,0.247,0.525,0.392,0.367,0.334,0.277,0.454,0.418,0.012,0.058,0.025,71.7,91,26.4,33.3,11.9,9.5,44,80.72933643,95.02254,67.1,15.6,27.1,45
 Joe Jacques,682175,2024,29,16,14,6,4,1,0,1,2,1,12.5,6.3,0.429,0.714,0.5,1.214,0.446,0.786,0.515,0.55,0.515,0.34,0.569,0.616,-0.017,-0.072,-0.035,70.1,87.1,0.1,41.7,16.7,0,50,72.73128333,95.71281667,63,11.8,16.7,48
 Chris Sale,519242,2024,35,702,652,141,96,32,4,9,225,39,32.1,5.6,0.216,0.319,0.269,0.588,0.213,0.317,0.26,0.261,0.266,0.105,0.35,0.351,0.003,0.002,-0.001,70.6,86.5,9.6,34.9,5.6,4.9,31.2,75.01680509,93.04619066,63.9,21.7,31,49
 Jimmy Herget,623474,2024,30,52,49,13,8,3,0,2,15,3,28.8,5.8,0.265,0.449,0.308,0.757,0.206,0.352,0.327,0.266,0.251,0.147,0.439,0.345,0.059,0.097,0.061,70.8,83.9,22.6,26.5,8.8,5.9,26.5,70.35025177,92.724955,69.4,25,27.8,51.3
 Kevin Herget,643361,2024,33,43,40,6,3,2,0,1,9,3,20.9,7,0.15,0.275,0.209,0.484,0.268,0.476,0.216,0.346,0.319,0.208,0.232,0.413,-0.118,-0.201,-0.13,70.4,89.2,18.7,25.8,12.9,9.7,48.4,77.42670467,95.00403067,61.4,17.6,22.2,47.7
 Cooper Criswell,681867,2024,27,424,377,103,69,22,2,10,73,31,17.2,7.3,0.273,0.422,0.333,0.755,0.262,0.398,0.327,0.32,0.326,0.137,0.359,0.349,0.011,0.024,0.007,71.9,89.3,9.7,33.2,7,7,37.4,78.44088295,94.24962474,62.2,12.9,17.2,44.6
 Aroldis Chapman,547973,2024,36,264,222,44,29,9,1,5,98,38,37.1,14.4,0.198,0.315,0.318,0.633,0.165,0.282,0.289,0.268,0.293,0.117,0.386,0.344,0.033,0.033,0.021,71,90.5,11.2,31,7.1,5.6,41.3,80.3985429,94.66331355,62.1,23.7,32.3,44.5
 Albert Suárez,544150,2024,34,565,510,130,78,34,1,17,108,43,19.1,7.6,0.255,0.425,0.314,0.739,0.243,0.406,0.32,0.311,0.305,0.163,0.363,0.351,0.012,0.019,0.009,71.5,88.8,17,38,7.1,7.8,38.4,78.43772292,93.66416911,76.1,19.2,24.6,50.4
 Steven Cruz,674444,2024,25,18,18,1,1,0,0,0,4,0,22.2,0,0.056,0.056,0.056,0.112,0.171,0.234,0.049,0.174,0.171,0.062,0.063,0.224,-0.115,-0.178,-0.125,70,90.3,14.2,35.7,0,7.1,35.7,82.57881,93.34727786,75,12.1,22.7,53.7
 Josh Rogers,642028,2024,29,50,43,15,10,4,0,1,3,3,6,6,0.349,0.512,0.4,0.912,0.344,0.523,0.382,0.397,0.406,0.179,0.378,0.396,0.005,-0.011,-0.015,71.6,89.3,20.4,35.7,4.8,4.8,42.9,78.89037952,94.04726691,68.5,6.3,12.7,46.5
 Sean Hjelle,663546,2024,27,337,314,84,64,9,1,10,75,14,22.3,4.2,0.268,0.398,0.308,0.706,0.249,0.379,0.306,0.293,0.291,0.131,0.374,0.355,0.019,0.019,0.013,70.5,88.7,2.3,29.6,5.3,4.5,37.4,77.98710433,93.88649477,62.8,12.6,21.4,45.2
 Casey Mize,663554,2024,27,452,417,121,86,20,4,11,78,29,17.3,6.4,0.29,0.436,0.336,0.772,0.286,0.431,0.335,0.334,0.333,0.145,0.378,0.378,0.004,0.005,0.001,71.4,90.6,9.3,32.4,7.9,6.1,44.6,79.85554547,95.08281788,70.9,14.7,22,49.5
 Landon Knack,689017,2024,26,286,264,58,33,9,2,14,69,18,24.1,6.3,0.22,0.428,0.276,0.704,0.225,0.426,0.304,0.307,0.282,0.2,0.369,0.373,-0.005,0.002,-0.003,71.7,90.6,21.1,35.7,10.2,9.7,43.9,80.51552918,94.68063332,67,17.4,23.1,46
 Matthew Boyd,571510,2024,33,166,150,32,20,8,0,4,46,13,27.7,7.8,0.213,0.347,0.283,0.63,0.216,0.328,0.279,0.273,0.286,0.112,0.342,0.333,-0.003,0.019,0.006,71.1,87.6,20.2,36.2,6.7,7.6,38.1,76.67285981,93.34492124,70.4,20.6,29.7,48.9
 Luke Jackson,592426,2024,32,235,204,52,36,9,0,7,59,26,25.1,11.1,0.255,0.402,0.342,0.744,0.229,0.373,0.328,0.312,0.322,0.144,0.39,0.365,0.026,0.029,0.016,71.7,89.2,8.4,31.8,8.8,5.4,39.9,78.7306789,94.02438836,65.7,16.9,29.7,47
 Ranger Suarez,624133,2024,28,626,575,140,92,32,2,14,145,41,23.2,6.5,0.243,0.379,0.299,0.678,0.25,0.365,0.297,0.297,0.306,0.116,0.355,0.356,-0.007,0.014,0,71.6,86.9,6.3,32.9,5.1,6,34.3,74.74350722,93.61882976,66.2,12.9,21.9,47.3
 Parker Dunshee,670161,2024,29,14,11,4,1,1,0,2,3,2,21.4,14.3,0.364,1,0.5,1.5,0.354,0.983,0.595,0.586,0.493,0.629,0.779,0.763,0.01,0.017,0.009,74.2,96.9,17.6,50,37.5,0,62.5,90.466615,97.98059625,66.7,33.3,40,39.2
 Colin Poche,621363,2024,30,153,138,30,20,3,0,7,33,13,21.6,8.5,0.217,0.391,0.281,0.672,0.234,0.413,0.287,0.303,0.296,0.179,0.334,0.357,-0.017,-0.022,-0.016,72.2,91.1,20.3,28,8.4,4.7,42.1,81.67929811,94.7991581,71.5,17.3,23.4,48.1
 Cody Bolton,675989,2024,26,83,73,18,11,3,1,3,17,9,20.5,10.8,0.247,0.438,0.325,0.763,0.233,0.376,0.33,0.306,0.315,0.143,0.372,0.336,0.014,0.062,0.024,71.8,87,15.1,33.3,7,7,35.1,75.29918138,93.52603088,58.6,15.9,24.8,42.6
 Trevor Rogers,669432,2024,26,562,491,140,86,37,3,14,97,56,17.3,10,0.285,0.458,0.357,0.815,0.275,0.436,0.35,0.347,0.353,0.161,0.385,0.381,0.01,0.022,0.003,72.2,90.7,10.4,33.3,8.4,5.2,44.4,80.3913993,94.92394505,67.2,13.6,20.9,46.2
 Brady Basso,669620,2024,26,93,87,23,19,1,0,3,19,5,20.4,5.4,0.264,0.379,0.301,0.68,0.245,0.378,0.297,0.289,0.284,0.133,0.35,0.339,0.019,0.001,0.008,70.5,89.6,15,33.3,7.2,2.9,42,81.11778114,93.40227536,67.2,18.5,24.1,46.3
 Alek Manoah,666201,2024,26,103,90,17,10,2,0,5,26,8,25.2,7.8,0.189,0.378,0.282,0.66,0.216,0.405,0.291,0.313,0.306,0.189,0.332,0.367,-0.027,-0.027,-0.022,70.7,88.6,16.3,35.4,10.8,10.8,35.4,78.06297879,93.79571708,68.7,20.1,28.2,47.7
 Jose Leclerc,600917,2024,30,288,247,56,40,9,0,7,89,32,30.9,11.1,0.227,0.348,0.323,0.671,0.213,0.343,0.3,0.294,0.312,0.13,0.381,0.37,0.014,0.005,0.006,71.4,87.4,18,36.2,7.4,5.5,30.7,75.98134481,93.54197127,69.2,27.2,36,47.3
 Will Klein,694361,2024,24,38,31,12,8,4,0,0,7,6,18.4,15.8,0.387,0.516,0.474,0.99,0.355,0.511,0.426,0.415,0.448,0.156,0.483,0.465,0.032,0.005,0.011,70.1,91.4,8.9,40,8,4,40,79.19313667,96.33278875,56.9,7.3,20.8,36.3
 Connor Brogdon,641401,2024,29,19,13,5,0,1,0,4,3,6,15.8,31.6,0.385,1.385,0.579,1.964,0.371,1.007,0.715,0.61,0.57,0.636,0.945,0.745,0.014,0.378,0.105,77.3,94.2,13.3,40,30,10,50,83.925552,97.431237,72.1,25.8,28.2,40.2
 Andrew Kittredge,552640,2024,34,287,263,60,37,12,1,10,67,20,23.3,7,0.228,0.395,0.28,0.675,0.25,0.412,0.289,0.308,0.302,0.162,0.351,0.378,-0.022,-0.017,-0.019,71.7,88.9,11.8,33,8.5,5.5,39.5,78.23591636,94.03377122,67.9,15.6,27.8,53.5
 Brandon Hughes,676714,2024,28,89,76,24,11,5,0,8,21,10,23.6,11.2,0.316,0.697,0.404,1.101,0.308,0.694,0.457,0.454,0.398,0.386,0.578,0.572,0.008,0.003,0.003,71.3,86.5,16.7,46.4,21.4,5.4,41.1,71.80802571,94.67594089,65.2,20.4,28.5,45.1
 Bryce Jarvis,686826,2024,26,258,218,52,37,9,0,6,38,33,14.7,12.8,0.239,0.362,0.349,0.711,0.27,0.433,0.314,0.354,0.377,0.163,0.309,0.365,-0.031,-0.071,-0.04,71.1,90.5,11.4,34.1,7.1,6.6,40.1,81.27203626,94.19450785,70.1,15,21.8,48.4
 Mason Englert,669438,2024,24,93,87,23,9,9,1,4,16,5,17.2,5.4,0.264,0.529,0.312,0.841,0.278,0.529,0.353,0.364,0.326,0.251,0.409,0.423,-0.014,0,-0.011,71.7,89.9,18,35.2,14.1,7,47.9,78.232894,95.29669143,77.7,18.6,27.4,52.1
 Kris Bubic,663460,2024,26,121,112,26,18,5,1,2,39,5,32.2,4.1,0.232,0.348,0.261,0.609,0.19,0.27,0.252,0.209,0.223,0.08,0.371,0.305,0.042,0.078,0.043,70.7,83.4,3,26,2.6,6.5,28.6,70.91242595,92.23148438,63.3,22.8,30.5,50.5
 Tanner Houck,656557,2024,28,743,674,156,118,27,0,11,154,48,20.7,6.5,0.231,0.32,0.296,0.616,0.257,0.384,0.276,0.313,0.321,0.127,0.306,0.359,-0.026,-0.064,-0.037,71.5,89.4,3.8,30.2,5.7,6.1,41.8,78.48931239,94.43070397,62.7,14.1,22.6,46.8
 Joe Mantiply,573009,2024,33,243,225,52,33,14,4,1,53,18,21.8,7.4,0.231,0.342,0.288,0.63,0.229,0.369,0.265,0.278,0.286,0.14,0.32,0.338,0.002,-0.027,-0.013,71.4,88.1,5.4,26.2,7.6,8.1,41.9,76.26556702,94.27229156,69,19.9,27.5,52.8
 John Brebbia,605154,2024,34,242,220,56,34,11,0,11,67,19,27.7,7.9,0.255,0.455,0.322,0.777,0.263,0.445,0.337,0.338,0.33,0.182,0.433,0.435,-0.008,0.01,-0.001,70.5,88.8,19.7,39.9,10.5,5.2,37.3,77.76233184,94.16101875,68.7,20.1,25.5,49.7
 Paul Blackburn,621112,2024,30,316,290,76,49,14,1,12,59,21,18.7,6.6,0.262,0.441,0.317,0.758,0.266,0.431,0.329,0.329,0.322,0.165,0.375,0.375,-0.004,0.01,0,71.9,87.6,11,38.2,8.2,6.4,35.6,76.75587974,93.20611319,70.8,15.8,23.5,47.8
 T.J. McFarland,519008,2024,35,235,210,53,37,12,0,4,39,17,16.6,7.2,0.252,0.367,0.316,0.683,0.24,0.343,0.293,0.285,0.308,0.103,0.321,0.311,0.012,0.024,0.008,71,87.5,3.2,26.3,4.6,7.4,34.9,76.10228918,93.45257347,59.7,10.9,19.2,46.2
 Orion Kerkering,689147,2024,23,257,229,51,37,12,0,2,74,17,28.8,6.6,0.223,0.301,0.297,0.598,0.22,0.32,0.271,0.278,0.295,0.099,0.33,0.342,0.003,-0.019,-0.007,70.6,87.3,5.4,32.3,5.1,5.7,33.5,76.37757385,93.15931271,61.4,19,27.8,45.4
 Caleb Boushley,676961,2024,30,20,18,6,4,2,0,0,1,2,5,10,0.333,0.444,0.4,0.844,0.308,0.493,0.371,0.379,0.377,0.186,0.355,0.365,0.025,-0.049,-0.008,71.7,85.9,20.1,17.6,11.8,0,41.2,73.97388444,93.42277529,81.5,0,6.5,49.2
 Michael Petersen,656848,2024,30,90,76,21,12,6,0,3,14,11,15.6,12.2,0.276,0.474,0.367,0.841,0.25,0.424,0.358,0.348,0.353,0.174,0.379,0.365,0.026,0.05,0.01,71.1,88.7,22.7,34.4,6.3,6.3,37.5,78.55196313,93.53175672,73.9,15,19.7,51.8
 Jake Cousins,664776,2024,29,155,130,20,13,1,1,5,53,20,34.2,12.9,0.154,0.292,0.29,0.582,0.184,0.32,0.268,0.29,0.316,0.136,0.319,0.364,-0.03,-0.028,-0.022,69.8,86.2,14.1,31.2,7.8,3.9,33.8,73.74984553,93.3060275,56.1,15.2,35.8,43.3
 Jonathan Cannon,686563,2024,23,522,475,125,80,24,3,18,91,40,17.4,7.7,0.263,0.44,0.324,0.764,0.258,0.411,0.332,0.322,0.321,0.153,0.369,0.356,0.005,0.029,0.01,71.7,89,14.6,38.3,7.3,6.5,36.3,78.71918891,93.82391133,67.2,14.9,21.8,47.1
 Kirby Snead,669912,2024,29,48,41,12,7,4,1,0,7,7,14.6,14.6,0.293,0.439,0.396,0.835,0.261,0.367,0.367,0.332,0.369,0.105,0.376,0.327,0.032,0.072,0.035,70.9,88.3,1.6,20.6,2.9,5.9,41.2,76.18872118,94.60132455,57.6,18.9,26.3,40.8
 Calvin Faucher,676534,2024,28,235,199,49,34,11,4,0,63,26,26.8,11.1,0.246,0.342,0.339,0.681,0.232,0.332,0.299,0.299,0.332,0.099,0.358,0.358,0.014,0.01,0,71.2,89.6,9,32.4,7.7,2.8,39.4,79.35979386,94.07162446,67,19.6,28.1,43.6
 Bryan Abreu,650556,2024,27,325,285,59,39,10,1,9,103,32,31.7,9.8,0.207,0.344,0.299,0.643,0.199,0.33,0.288,0.282,0.293,0.132,0.366,0.355,0.008,0.014,0.006,71.2,90.4,16,32.1,8.7,6,38,81.14303467,94.09766465,64.4,21.4,34,46.2
 Garrett Crochet,676979,2024,25,595,555,123,78,25,2,18,209,33,35.1,5.5,0.222,0.371,0.271,0.642,0.204,0.34,0.28,0.263,0.255,0.137,0.403,0.375,0.018,0.031,0.017,71.4,88.3,11.1,34.5,9.2,5.5,38.8,76.53627192,94.14612747,70.4,25.5,33.1,53.2
 Brock Burke,656271,2024,27,154,135,37,20,12,1,4,41,16,26.6,10.4,0.274,0.467,0.357,0.824,0.226,0.33,0.352,0.29,0.319,0.104,0.447,0.348,0.048,0.137,0.062,71.2,90.1,12.6,30.5,4.2,5.3,41.1,80.67725167,94.31221621,71.8,24.9,29.1,52.5
