Name,player_id,year,player_age,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent
 Joely Rodríguez,570257,2024,32,64,60,19,13,2,1,3,12,2,18.8,3.1,0.317,0.533,0.344,0.877,0.286,0.446,0.372,0.338,0.324,0.16,0.443,0.398,0.031,0.087,0.034,71.8,85.7,-1.3,34.7,10.2,4.1,28.6,73.3009284,93.18460347,60.3,14.1,20,48.2
 Nick Robertson,687798,2024,25,55,52,15,10,2,0,3,14,2,25.5,3.6,0.288,0.5,0.309,0.809,0.287,0.478,0.343,0.337,0.308,0.191,0.448,0.44,0.001,0.022,0.006,71,90.3,16.4,35.9,10.3,2.6,48.7,79.7238345,95.08178385,69.1,19.7,24.5,50.7
 Alex Cobb,502171,2024,36,62,58,14,11,1,1,1,10,3,16.1,4.8,0.241,0.345,0.274,0.619,0.281,0.479,0.269,0.342,0.316,0.197,0.298,0.39,-0.04,-0.134,-0.073,72.9,91.9,0.9,32.7,6.1,6.1,44.9,82.8665176,95.13109816,57.3,7.5,17.1,43.4
 Kenley Jansen,445276,2024,36,218,194,38,25,9,0,4,62,20,28.4,9.2,0.196,0.304,0.271,0.575,0.208,0.352,0.253,0.28,0.285,0.144,0.308,0.352,-0.012,-0.048,-0.027,71.1,90.4,22.3,36.3,11.1,4.4,37,81.42870806,94.00721202,67.4,19.9,27,49.4
 Logan Gillaspie,670810,2024,27,49,47,15,10,3,0,2,7,0,14.3,0,0.319,0.511,0.327,0.838,0.288,0.494,0.355,0.338,0.3,0.206,0.407,0.386,0.031,0.017,0.017,71.7,90.6,15.2,46.3,7.3,7.3,48.8,80.01294048,95.34536439,76.4,22.1,17.2,61.6
 Alek Jacob,689690,2024,26,57,52,9,7,0,1,1,19,2,33.3,3.5,0.173,0.269,0.228,0.497,0.216,0.296,0.222,0.258,0.27,0.08,0.289,0.35,-0.043,-0.027,-0.036,72.1,85.2,21,41.2,2.9,5.9,32.4,73.48320118,92.45163471,53.3,29.7,32.3,40.1
 Joel Payamps,606303,2024,30,235,212,39,21,10,1,7,59,18,25.1,7.7,0.184,0.34,0.253,0.593,0.238,0.423,0.254,0.312,0.305,0.186,0.305,0.393,-0.054,-0.083,-0.058,71.8,89.4,15.9,34,9.6,9,43.6,78.17010468,94.58148425,67,22.4,27.1,48.1
 Carlos Rodón,607074,2024,31,736,667,157,90,32,4,31,195,57,26.5,7.7,0.235,0.435,0.304,0.739,0.227,0.421,0.32,0.314,0.297,0.194,0.4,0.389,0.008,0.014,0.006,71.9,90.4,18.1,34.6,11,7.2,40.9,80.22004804,94.54352275,70.7,20,30.1,49.4
 David Bednar,670280,2024,29,262,227,54,33,12,0,9,58,28,22.1,10.7,0.238,0.41,0.327,0.737,0.229,0.416,0.319,0.322,0.321,0.188,0.366,0.37,0.009,-0.006,-0.003,71.8,90.2,17.9,30.8,9.3,7.6,39.5,79.97076224,94.46299724,69.7,22.3,27.6,50.9
 Hunter Strickland,519326,2024,35,294,266,56,33,12,1,10,57,24,19.4,8.2,0.211,0.376,0.28,0.656,0.212,0.381,0.286,0.29,0.282,0.169,0.315,0.321,-0.001,-0.005,-0.004,72,88.9,21.7,30.3,9,5.7,35.5,79.21498743,93.43494201,66.7,17.1,22.8,47
 Eduardo Salazar,674285,2024,26,133,118,34,26,6,0,2,27,14,20.3,10.5,0.288,0.39,0.368,0.758,0.281,0.398,0.338,0.339,0.362,0.117,0.38,0.381,0.007,-0.008,-0.001,72.3,88.4,5.8,28.6,4.4,8.8,42.9,74.49135848,95.37783539,63.7,10.1,23.2,45.3
 Gerson Garabito,642520,2024,28,115,96,23,16,3,0,4,22,12,19.1,10.4,0.24,0.396,0.342,0.738,0.276,0.512,0.326,0.385,0.377,0.237,0.343,0.432,-0.036,-0.116,-0.059,71.2,87.7,16.6,44.2,11.7,6.5,35.1,75.97387632,93.82512587,63.4,12.1,20.8,44.9
 Tylor Megill,656731,2024,28,337,298,70,46,15,1,8,91,32,27,9.5,0.235,0.372,0.315,0.687,0.237,0.392,0.304,0.316,0.319,0.155,0.37,0.39,-0.002,-0.02,-0.012,71.2,88.9,12.3,36.4,10,5.7,42.6,77.63337621,94.28535098,68.9,19.7,28.6,49
 Tyson Miller,668338,2024,28,235,217,39,24,8,0,7,54,11,23,4.7,0.18,0.313,0.235,0.548,0.22,0.388,0.242,0.287,0.272,0.169,0.278,0.342,-0.04,-0.075,-0.045,71.3,88.2,20.3,33.3,7.9,5.5,34.5,77.71886976,93.5009908,72.4,21.5,26.5,52.1
 Domingo Germán,593334,2024,31,100,84,25,19,2,0,4,18,13,18,13,0.298,0.464,0.404,0.868,0.268,0.435,0.379,0.357,0.379,0.167,0.416,0.384,0.03,0.029,0.022,71.6,88.9,23.7,34.8,7.6,4.5,36.4,79.01276061,93.51819227,70.6,11.2,20.3,48.8
 Tanner Rainey,663432,2024,31,231,197,47,29,9,1,8,44,29,19,12.6,0.239,0.416,0.346,0.762,0.237,0.473,0.335,0.356,0.347,0.236,0.356,0.387,0.002,-0.057,-0.021,71.8,91.1,25.8,33.8,14.3,7.1,42.9,81.76623584,94.6882851,71.5,18.5,26,49.1
 Jared Koenig,657649,2024,30,265,236,54,44,5,1,4,63,23,23.8,8.7,0.229,0.309,0.308,0.617,0.224,0.357,0.273,0.29,0.304,0.133,0.317,0.342,0.005,-0.048,-0.017,71.8,87.5,10.5,28.2,8,4,35.6,76.06542318,93.58480629,63.5,17.4,22.4,47.5
 Quinn Priester,682990,2024,23,221,202,56,42,6,1,7,33,14,14.9,6.3,0.277,0.421,0.33,0.751,0.271,0.407,0.327,0.323,0.327,0.136,0.354,0.349,0.006,0.014,0.004,72.1,89.3,5.9,28.1,4.1,7,46.2,77.73185821,94.64941423,69.8,15.4,22.2,50.1
 Kyle Nicolas,693312,2024,25,244,205,51,40,7,0,4,55,32,22.5,13.1,0.249,0.341,0.357,0.698,0.237,0.358,0.315,0.323,0.352,0.12,0.341,0.354,0.012,-0.017,-0.008,70.5,90,10.8,34,8.5,3.9,40.5,80.21811026,94.16713066,70.5,18.6,28.2,45.9
 Tim Mayza,641835,2024,32,195,175,54,35,12,2,5,28,15,14.4,7.7,0.309,0.486,0.359,0.845,0.287,0.471,0.358,0.348,0.344,0.184,0.393,0.382,0.022,0.015,0.01,71.7,88.3,9.2,42.4,9.3,6.6,38.4,77.39742284,93.76203585,65.1,10.5,17.5,44.5
 Austin Davis,656354,2024,31,33,25,6,4,2,0,0,6,5,18.2,15.2,0.24,0.32,0.406,0.726,0.204,0.23,0.341,0.304,0.378,0.026,0.318,0.254,0.036,0.09,0.037,71.2,81.6,15.1,20,0,5,35,66.76723,92.82673316,60.3,7.9,16.4,38.7
 Max Scherzer,453286,2024,39,177,165,40,22,11,0,7,40,10,22.6,5.6,0.242,0.436,0.288,0.724,0.243,0.399,0.312,0.304,0.291,0.156,0.377,0.367,-0.001,0.037,0.008,71.8,87.9,20.8,40.5,7.9,4.8,34.9,76.86814656,93.48110123,72.6,20.3,29.2,54.7
