Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Tarik Skubal*,28,DET,AL,6.7,13,4,0.765,2.1,28,28,0,1,1,0,180,126,47,42,15,28,0,222,4,1,2,682,200,2.29,0.856,6.3,0.8,1.4,11.1,7.93,AS
2,Logan Webb,28,SFG,NL,3.5,13,9,0.591,3.17,29,29,0,0,0,0,178.2,180,67,63,13,39,0,194,6,0,2,738,124,2.67,1.226,9.1,0.7,2,9.8,4.97,AS
3,Garrett Crochet*,26,BOS,AL,5.1,14,5,0.737,2.67,28,28,0,1,1,0,178.1,150,56,53,20,42,0,218,3,3,6,715,156,2.91,1.077,7.6,1,2.1,11,5.19,AS
4,Cristopher Sánchez*,28,PHI,NL,6.7,12,5,0.706,2.6,28,28,0,1,0,0,176.1,155,53,51,10,42,0,186,6,1,6,716,170,2.59,1.117,7.9,0.5,2.1,9.5,4.43,
5,Framber Valdez*,31,HOU,AL,4,12,9,0.571,3.42,28,28,0,2,0,0,176.1,152,71,67,12,58,0,171,7,1,12,725,122,3.19,1.191,7.8,0.6,3,8.7,2.95,
6,Max Fried*,31,NYY,AL,3.4,16,5,0.762,3.02,29,29,0,0,0,0,176,148,70,59,13,46,0,163,10,1,8,723,134,3.2,1.102,7.6,0.7,2.4,8.3,3.54,AS
7,Paul Skenes,23,PIT,NL,7,10,9,0.526,1.98,29,29,0,1,0,0,173,123,42,38,10,39,0,195,6,0,2,675,218,2.42,0.936,6.4,0.5,2,10.1,5,AS
8,Merrill Kelly,36,2TM,2LG,3.7,11,7,0.611,3.16,29,29,0,0,0,0,171,131,67,60,21,47,0,156,2,2,1,682,134,3.77,1.041,6.9,1.1,2.5,8.2,3.32,
9,Carlos Rodón*,32,NYY,AL,3.9,16,7,0.696,3.12,29,29,0,0,0,0,170.1,114,66,59,20,69,0,180,7,0,4,691,130,3.89,1.074,6,1.1,3.6,9.5,2.61,AS
10,Bryan Woo,25,SEA,AL,3.8,12,7,0.632,3.02,27,27,0,0,0,0,169.2,130,60,57,24,34,0,169,4,0,3,671,124,3.66,0.967,6.9,1.3,1.8,9,4.97,AS
