Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
11,Kevin Gausman,34,TOR,AL,3.6,9,10,0.474,3.63,28,28,0,0,0,0,168.2,130,70,68,21,44,2,162,3,1,1,674,119,3.67,1.032,6.9,1.1,2.3,8.6,3.68,
12,Robbie Ray*,33,SFG,NL,2.9,10,6,0.625,3.31,29,29,0,1,0,0,168.2,134,69,62,19,65,0,171,4,1,5,694,119,3.81,1.18,7.2,1,3.5,9.1,2.63,AS
13,Zac Gallen,29,ARI,NL,1.4,11,13,0.458,4.77,29,29,0,0,0,0,168,158,94,89,26,57,1,154,4,0,2,713,92,4.41,1.28,8.5,1.4,3.1,8.3,2.7,
14,Hunter Brown,26,HOU,AL,5.7,11,7,0.611,2.25,28,28,0,1,0,0,167.2,118,47,42,14,52,1,190,6,1,0,658,185,3,1.014,6.3,0.8,2.8,10.2,3.65,AS
15,Matthew Boyd*,34,CHC,NL,2.8,12,8,0.6,2.92,28,28,0,0,0,0,166.1,140,59,54,16,37,0,145,7,0,1,658,130,3.44,1.064,7.6,0.9,2,7.8,3.92,AS
16,Zack Littell,29,2TM,2LG,2.7,9,8,0.529,3.81,28,28,0,1,0,0,165.1,161,72,70,34,28,1,116,5,0,3,676,112,5.01,1.143,8.8,1.9,1.5,6.3,4.14,
17,Nick Pivetta,32,SDP,NL,5,13,5,0.722,2.85,28,28,0,0,0,0,164.1,114,57,52,19,44,1,172,3,0,1,649,151,3.41,0.961,6.2,1,2.4,9.4,3.91,
18,Sonny Gray,35,STL,NL,1,13,8,0.619,4.45,29,29,0,1,1,0,163.2,165,87,81,23,35,0,179,3,0,2,679,94,3.48,1.222,9.1,1.3,1.9,9.8,5.11,
19,José Soriano,26,LAA,AL,2.8,10,10,0.5,4.07,29,29,0,0,0,0,163.2,151,82,74,12,73,0,148,4,0,8,695,105,3.7,1.369,8.3,0.7,4,8.1,2.03,
20,Ryan Pepiot,27,TBR,AL,2.4,11,10,0.524,3.59,29,29,0,0,0,0,163,127,70,65,26,57,0,161,6,0,4,654,116,4.4,1.129,7,1.4,3.1,8.9,2.82,
21,Mitch Keller,29,PIT,NL,1.2,6,14,0.3,4.16,29,29,0,0,0,0,162.1,160,84,75,17,44,0,136,10,0,3,690,104,3.82,1.257,8.9,0.9,2.4,7.5,3.09,
22,Yusei Kikuchi*,34,LAA,AL,2.7,6,11,0.353,4.18,30,30,0,0,0,0,161.2,170,83,75,23,69,3,163,3,0,7,708,103,4.31,1.478,9.5,1.3,3.8,9.1,2.36,AS
23,Jesús Luzardo*,27,PHI,NL,3.4,13,6,0.684,4.01,29,29,0,0,0,0,161.2,153,76,72,14,56,0,190,3,1,2,679,111,3.01,1.293,8.5,0.8,3.1,10.6,3.39,
24,Tanner Bibee,26,CLE,AL,0.1,9,11,0.45,4.69,28,28,0,1,0,0,161.1,159,91,84,27,50,1,139,9,1,3,684,90,4.69,1.295,8.9,1.5,2.8,7.8,2.78,
25,Luis Castillo,32,SEA,AL,1.4,9,8,0.529,3.85,29,29,0,0,0,0,161.1,161,74,69,22,44,0,144,7,0,2,678,97,4.08,1.271,9,1.2,2.5,8,3.27,
26,Chris Bassitt,36,TOR,AL,2.3,11,8,0.579,3.97,30,29,0,1,0,0,161,164,76,71,22,49,0,157,12,3,4,696,109,4.1,1.323,9.2,1.2,2.7,8.8,3.2,
27,Michael Wacha,33,KCR,AL,3.4,9,11,0.45,3.45,28,28,0,0,0,0,159,147,61,61,13,41,0,117,3,0,1,653,118,3.56,1.182,8.3,0.7,2.3,6.6,2.85,
28,Freddy Peralta,29,MIL,NL,5.4,16,5,0.762,2.5,29,29,0,0,0,0,158.2,109,45,44,16,61,0,176,9,0,4,649,168,3.56,1.071,6.2,0.9,3.5,10,2.89,AS
29,Dean Kremer,29,BAL,AL,1.4,9,10,0.474,4.43,28,27,0,0,0,0,158.1,158,81,78,21,41,0,132,1,1,6,658,91,3.99,1.257,9,1.2,2.3,7.5,3.22,
30,Jake Irvin,28,WSN,NL,-0.1,8,11,0.421,5.71,29,29,0,0,0,0,157.2,170,105,100,33,57,0,104,6,0,3,693,73,5.74,1.44,9.7,1.9,3.3,5.9,1.82,
31,David Peterson*,29,NYM,NL,2.1,9,5,0.643,3.72,27,27,0,1,1,0,157.1,148,70,65,9,59,1,140,6,1,3,666,109,3.34,1.316,8.5,0.5,3.4,8,2.37,AS
32,Joe Ryan,29,MIN,AL,4.5,13,8,0.619,3.32,28,27,0,0,0,0,157,124,60,58,20,34,0,176,12,2,0,628,129,3.43,1.006,7.1,1.1,1.9,10.1,5.18,AS
33,Jeffrey Springs*,32,ATH,AL,1.8,10,10,0.5,4.13,29,27,0,0,0,0,157,137,83,72,26,49,0,126,3,3,0,651,102,4.68,1.185,7.9,1.5,2.8,7.2,2.57,
34,Nick Martinez,34,CIN,NL,1.9,10,11,0.476,4.66,34,26,0,0,0,0,156.1,153,83,81,22,39,1,110,6,0,6,647,99,4.43,1.228,8.8,1.3,2.2,6.3,2.82,
35,Jacob deGrom,37,TEX,AL,3,11,7,0.611,2.78,27,27,0,0,0,0,155.2,110,48,48,22,35,0,169,3,0,2,605,134,3.54,0.931,6.4,1.3,2,9.8,4.83,AS
36,Yoshinobu Yamamoto,26,LAD,NL,4,11,8,0.579,2.72,27,27,0,0,0,0,155.1,107,52,47,14,50,0,177,3,0,5,615,154,3.06,1.011,6.2,0.8,2.9,10.3,3.54,AS
37,Shane Baz,26,TBR,AL,0.3,9,11,0.45,4.94,28,28,0,0,0,0,155,150,86,85,26,57,0,164,8,0,3,662,84,4.46,1.335,8.7,1.5,3.3,9.5,2.88,
38,José Berríos,31,TOR,AL,1.9,9,5,0.643,4.02,28,28,0,0,0,0,154.2,149,78,69,23,51,2,131,7,1,1,649,108,4.51,1.293,8.7,1.3,3,7.6,2.57,
39,Sandy Alcantara,29,MIA,NL,-0.5,8,12,0.4,5.67,28,28,0,0,0,0,154,150,100,97,18,53,0,123,8,2,7,665,78,4.25,1.318,8.8,1.1,3.1,7.2,2.32,
40,Brandon Pfaadt,26,ARI,NL,0.8,13,8,0.619,5.18,29,29,0,0,0,0,153,178,91,88,22,33,2,129,11,0,3,673,85,4.19,1.379,10.5,1.3,1.9,7.6,3.91,
41,Brayan Bello,26,BOS,AL,2.7,11,6,0.647,3.12,26,25,0,1,0,0,152.2,134,60,53,14,51,0,114,10,0,5,635,133,4.04,1.212,7.9,0.8,3,6.7,2.24,
42,Dylan Cease,29,SDP,NL,0.9,7,11,0.389,4.71,29,29,0,0,0,0,151,137,85,79,20,65,2,195,3,0,3,650,92,3.63,1.338,8.2,1.2,3.9,11.6,3,
43,Gavin Williams,25,CLE,AL,3.2,10,5,0.667,3.17,28,28,0,0,0,0,150.2,119,58,53,21,76,0,146,3,1,9,635,133,4.59,1.294,7.1,1.3,4.5,8.7,1.92,
44,Andre Pallante,26,STL,NL,-0.7,6,13,0.316,5.28,28,28,0,0,0,0,150,161,95,88,20,53,0,104,5,2,10,655,79,4.65,1.427,9.7,1.2,3.2,6.2,1.96,
45,Zack Wheeler,35,PHI,NL,5.1,10,5,0.667,2.71,24,24,0,1,0,0,149.2,107,48,45,19,33,0,195,8,0,2,585,164,3.01,0.935,6.4,1.1,2,11.7,5.91,AS
46,Brady Singer,28,CIN,NL,3,13,9,0.591,3.98,28,28,0,0,0,0,149.1,132,69,66,14,56,0,145,11,0,3,631,116,3.76,1.259,8,0.8,3.4,8.7,2.59,
47,MacKenzie Gore*,26,WSN,NL,2.9,5,13,0.278,4.15,27,27,0,0,0,0,147.1,142,69,68,19,55,0,173,5,0,12,625,101,3.69,1.337,8.7,1.2,3.4,10.6,3.15,AS
48,Clay Holmes,32,NYM,NL,1.5,11,7,0.611,3.61,28,28,0,0,0,0,147,136,67,59,12,59,0,117,11,1,5,630,112,4.04,1.327,8.3,0.7,3.6,7.2,1.98,
49,Jack Flaherty,29,DET,AL,0.5,7,13,0.35,4.85,28,28,0,0,0,0,146.2,137,81,79,22,54,0,171,5,0,2,623,87,3.97,1.302,8.4,1.4,3.3,10.5,3.17,
50,Luis Severino,31,ATH,AL,1,6,11,0.353,4.67,26,26,0,0,0,0,146.1,146,85,76,14,46,1,114,16,0,3,636,90,4.1,1.312,9,0.9,2.8,7,2.48,
51,Mitchell Parker*,25,WSN,NL,-1.4,7,15,0.318,5.87,28,28,0,0,0,0,145.2,161,107,95,23,54,0,98,4,0,2,650,71,5.04,1.476,9.9,1.4,3.3,6.1,1.81,
52,Seth Lugo,35,KCR,AL,1.7,8,7,0.533,4.15,26,26,0,0,0,0,145.1,133,70,67,27,55,1,125,6,0,5,611,98,5.1,1.294,8.2,1.7,3.4,7.7,2.27,
53,Andrew Abbott*,26,CIN,NL,4.8,8,6,0.571,2.88,25,25,0,1,1,0,143.2,125,53,46,16,40,0,130,3,0,3,591,160,3.68,1.148,7.8,1,2.5,8.1,3.25,AS
54,Tomoyuki Sugano,35,BAL,AL,1.1,10,8,0.556,4.57,27,27,0,0,0,0,143.2,158,76,73,27,35,2,96,7,1,3,620,88,5.12,1.343,9.9,1.7,2.2,6,2.74,
55,Patrick Corbin*,35,TEX,AL,-0.3,7,9,0.438,4.36,27,27,0,1,0,0,142.1,143,70,69,21,45,1,119,2,0,5,599,85,4.38,1.321,9,1.3,2.8,7.5,2.64,
56,Kyle Hendricks,35,LAA,AL,1.6,6,9,0.4,4.81,27,27,0,0,0,0,142.1,145,80,76,23,40,3,89,5,0,0,602,89,4.94,1.3,9.2,1.5,2.5,5.6,2.23,
57,Chris Paddack,29,2TM,AL,0.4,5,11,0.313,5.37,28,27,0,0,0,0,142.1,154,89,85,27,32,0,98,3,0,5,606,80,4.97,1.307,9.7,1.7,2,6.2,3.06,
58,Quinn Priester,24,MIL,NL,2.8,12,2,0.857,3.25,26,21,2,0,0,0,141.1,128,55,51,17,46,0,113,5,0,3,586,129,4.19,1.231,8.2,1.1,2.9,7.2,2.46,
59,Colin Rea,34,CHC,NL,-0.1,10,6,0.625,4.2,29,24,3,0,0,1,141.1,142,69,66,20,43,0,104,6,0,2,595,90,4.55,1.309,9,1.3,2.7,6.6,2.42,
60,Will Warren,26,NYY,AL,0.8,8,6,0.571,4.28,29,29,0,0,0,0,141,136,75,67,17,60,0,153,4,1,2,619,94,3.9,1.39,8.7,1.1,3.8,9.8,2.55,
61,Drew Rasmussen,29,TBR,AL,4.3,10,5,0.667,2.64,28,28,0,0,0,0,139.2,106,42,41,16,31,0,117,5,0,2,537,158,3.73,0.981,6.8,1,2,7.5,3.77,AS
62,Logan Allen*,26,CLE,AL,0.2,7,11,0.389,4.46,27,26,0,0,0,0,139.1,142,78,69,18,59,1,109,5,0,4,607,94,4.63,1.443,9.2,1.2,3.8,7,1.85,
63,Kyle Freeland*,32,COL,NL,1.2,4,14,0.222,5.1,27,27,0,0,0,0,139.1,168,91,79,21,34,2,107,5,0,2,609,96,4.4,1.45,10.9,1.4,2.2,6.9,3.15,
64,Ryne Nelson,27,ARI,NL,3,7,3,0.7,3.48,30,20,4,0,0,1,137,108,57,53,15,36,0,118,4,0,1,549,126,3.72,1.051,7.1,1,2.4,7.8,3.28,
65,Ranger Suárez*,29,PHI,NL,4.6,11,6,0.647,2.89,22,22,0,0,0,0,137,129,45,44,10,32,0,128,6,0,0,562,154,3.05,1.175,8.5,0.7,2.1,8.4,4,
66,Matthew Liberatore*,25,STL,NL,1,7,11,0.389,4.15,26,26,0,0,0,0,136.2,143,70,63,16,35,0,109,4,0,6,585,101,3.92,1.302,9.4,1.1,2.3,7.2,3.11,
67,Tyler Anderson*,35,LAA,AL,2,2,8,0.2,4.56,26,26,0,0,0,0,136.1,135,73,69,28,57,4,104,3,3,5,599,94,5.61,1.408,8.9,1.8,3.8,6.9,1.82,
68,Miles Mikolas,36,STL,NL,0,7,10,0.412,4.89,27,27,0,0,0,0,136.1,149,77,74,24,33,1,86,3,0,1,586,86,4.96,1.335,9.8,1.6,2.2,5.7,2.61,
69,Charlie Morton,41,2TM,AL,-0.5,9,10,0.474,5.59,30,24,1,0,0,0,135.1,142,86,84,22,65,2,142,13,1,3,617,73,4.88,1.53,9.4,1.5,4.3,9.4,2.18,
70,Nick Lodolo*,27,CIN,NL,4.4,8,7,0.533,3.22,24,24,0,2,1,0,134.1,115,50,48,17,25,1,130,12,1,2,547,143,3.68,1.042,7.7,1.1,1.7,8.7,5.2,
71,Dustin May,27,2TM,2LG,-0.6,7,11,0.389,4.96,25,23,1,0,0,0,132.1,132,78,73,21,56,3,123,12,0,1,584,84,4.89,1.421,9,1.4,3.8,8.4,2.2,
72,Bryce Elder,26,ATL,NL,-0.8,6,9,0.4,5.54,24,24,0,0,0,0,131.2,141,84,81,20,47,1,105,6,0,2,577,76,4.73,1.428,9.6,1.4,3.2,7.2,2.23,
73,Eduardo Rodríguez*,32,ARI,NL,-0.1,7,8,0.467,5.22,25,25,0,0,0,0,131,156,84,76,21,53,2,124,1,1,3,596,84,4.57,1.595,10.7,1.4,3.6,8.5,2.34,
74,Lucas Giolito,30,BOS,AL,1.8,10,3,0.769,3.38,23,23,0,0,0,0,130.1,118,55,49,16,46,0,107,1,0,4,544,123,4.18,1.258,8.1,1.1,3.2,7.4,2.33,
75,Nathan Eovaldi,35,TEX,AL,4.2,11,3,0.786,1.73,22,22,0,1,1,0,130,90,28,25,10,21,1,129,7,0,6,496,215,2.8,0.854,6.2,0.7,1.5,8.9,6.14,
76,Erick Fedde,32,3TM,NL,-0.6,4,13,0.235,5.68,27,24,0,1,1,0,130,145,85,82,18,60,1,78,3,0,2,580,74,5.19,1.577,10,1.2,4.2,5.4,1.3,
77,Bailey Ober,29,MIN,AL,0.9,5,7,0.417,5.08,24,24,0,1,0,0,129.1,145,74,73,29,28,0,105,4,2,1,557,84,5.17,1.338,10.1,2,1.9,7.3,3.75,
78,Edward Cabrera,27,MIA,NL,2.5,7,7,0.5,3.57,24,24,0,0,0,0,128.2,114,57,51,15,42,0,140,10,0,7,543,124,3.69,1.212,8,1,2.9,9.8,3.33,
79,Jack Leiter,25,TEX,AL,0.7,9,8,0.529,3.74,25,25,0,0,0,0,127.2,103,54,53,14,62,0,126,4,1,9,544,99,4.14,1.292,7.3,1,4.4,8.9,2.03,
80,Justin Verlander,42,SFG,NL,0.5,3,10,0.231,4.09,25,25,0,0,0,0,127.2,134,65,58,12,43,0,120,6,0,2,560,96,3.63,1.386,9.4,0.8,3,8.5,2.79,
81,Davis Martin,28,CHW,AL,1.2,6,9,0.4,4.03,23,22,0,0,0,0,127.1,119,66,57,19,44,0,92,6,2,1,534,103,4.81,1.28,8.4,1.3,3.1,6.5,2.09,
82,Taj Bradley,24,2TM,AL,-0.5,6,7,0.462,4.92,24,24,0,0,0,0,126.1,117,77,69,15,49,0,109,4,0,5,537,85,4.22,1.314,8.3,1.1,3.5,7.8,2.22,
83,Casey Mize,28,DET,AL,1.2,13,5,0.722,3.87,24,24,0,0,0,0,125.2,131,58,54,17,32,1,110,3,0,2,532,109,3.98,1.297,9.4,1.2,2.3,7.9,3.44,AS
84,JP Sears*,29,2TM,2LG,0.9,8,10,0.444,5.01,25,25,0,0,0,0,125.2,131,73,70,27,32,0,105,6,0,1,538,84,5.17,1.297,9.4,1.9,2.3,7.5,3.28,
85,Shane Smith,25,CHW,AL,1.6,5,7,0.417,3.95,25,25,0,0,0,0,125.1,98,63,55,16,52,0,118,12,0,8,530,105,4.45,1.197,7,1.1,3.7,8.5,2.27,AS
86,Bailey Falter*,28,2TM,2LG,0.7,7,7,0.5,4.45,26,24,1,0,0,0,125.1,115,68,62,19,46,0,81,1,0,5,518,97,4.94,1.285,8.3,1.4,3.3,5.8,1.76,
87,Michael Lorenzen,33,KCR,AL,0.3,5,10,0.333,4.63,23,23,0,0,0,0,124.1,131,67,64,21,34,0,110,6,0,11,532,88,4.53,1.327,9.5,1.5,2.5,8,3.24,
88,Antonio Senzatela,30,COL,NL,-0.3,4,15,0.211,6.71,27,23,0,0,0,0,123.1,183,99,92,22,45,2,67,7,1,9,587,73,5.64,1.849,13.4,1.6,3.3,4.9,1.49,
89,Shota Imanaga*,31,CHC,NL,2.1,9,6,0.6,3.15,21,21,0,0,0,0,123,92,44,43,23,23,0,97,1,0,1,476,121,4.58,0.935,6.7,1.7,1.7,7.1,4.22,
90,Jose Quintana*,36,MIL,NL,1.5,11,5,0.688,3.72,22,22,0,0,0,0,121,112,57,50,17,46,0,83,5,1,1,513,113,4.86,1.306,8.3,1.3,3.4,6.2,1.8,
91,Andrew Heaney*,34,PIT,NL,-0.2,5,10,0.333,5.39,26,23,0,0,0,0,120.1,125,74,72,24,39,0,84,9,0,2,525,80,5.53,1.363,9.3,1.8,2.9,6.3,2.15,
92,Sean Burke,25,CHW,AL,0.7,4,10,0.286,4.28,24,20,0,0,0,0,117.2,116,67,56,19,54,0,110,5,0,2,522,97,4.87,1.445,8.9,1.5,4.1,8.4,2.04,
93,Cal Quantrill,30,2TM,NL,-0.5,4,12,0.25,6.04,26,26,0,0,0,0,117.2,136,81,79,22,35,0,85,5,0,3,513,73,5.15,1.453,10.4,1.7,2.7,6.5,2.43,
94,Randy Vásquez,26,SDP,NL,2,4,6,0.4,3.91,24,23,0,0,0,0,117.1,113,53,51,15,49,1,62,7,1,3,506,110,5.18,1.381,8.7,1.2,3.8,4.8,1.27,
95,Kris Bubic*,27,KCR,AL,3.2,8,7,0.533,2.55,20,20,0,0,0,0,116.1,98,38,33,6,39,1,116,3,0,1,476,160,2.9,1.178,7.6,0.5,3,9,2.97,AS
96,Grant Holmes,29,ATL,NL,1.4,4,9,0.308,3.99,22,21,1,0,0,0,115,100,52,51,16,54,1,123,7,0,5,492,106,4.4,1.339,7.8,1.3,4.2,9.6,2.28,
97,Kodai Senga,32,NYM,NL,2.1,7,6,0.538,3.02,22,22,0,0,0,0,113.1,94,44,38,12,55,0,109,3,0,5,482,134,4.13,1.315,7.5,1,4.4,8.7,1.98,
98,Noah Cameron*,25,KCR,AL,3.1,7,6,0.538,3.03,20,20,0,0,0,0,113,92,38,38,14,36,1,88,3,0,3,460,135,4.23,1.133,7.3,1.1,2.9,7,2.44,
99,Walker Buehler,30,BOS,AL,-0.9,7,7,0.5,5.45,23,22,1,0,0,0,112.1,120,72,68,22,55,0,84,9,0,0,508,76,5.9,1.558,9.6,1.8,4.4,6.7,1.53,
100,Taijuan Walker,32,PHI,NL,1.5,4,8,0.333,4.03,30,19,4,0,0,1,111.2,118,56,50,18,36,0,76,4,0,1,483,110,4.95,1.379,9.5,1.5,2.9,6.1,2.11,
101,Jack Kochanowicz,24,LAA,AL,-1.4,3,11,0.214,6.81,23,23,0,0,0,0,111,136,89,84,21,58,4,72,7,1,4,512,63,6.06,1.748,11,1.7,4.7,5.8,1.24,
102,Spencer Schwellenbach,25,ATL,NL,2.2,7,4,0.636,3.09,17,17,0,1,0,0,110.2,89,44,38,13,18,1,108,2,0,2,434,137,3.26,0.967,7.2,1.1,1.5,8.8,6,
103,Logan Gilbert,28,SEA,AL,1.5,4,6,0.4,3.61,21,21,0,0,0,0,109.2,85,47,44,16,27,0,151,4,0,8,445,104,3.13,1.021,7,1.3,2.2,12.4,5.59,
104,Brad Lord,25,WSN,NL,1.6,5,8,0.385,4.2,44,15,2,0,0,0,109.1,104,53,51,11,39,0,92,3,0,1,457,100,3.92,1.308,8.6,0.9,3.2,7.6,2.36,
105,Germán Márquez,30,COL,NL,-0.4,3,12,0.2,6.19,22,22,0,0,0,0,107.2,143,86,74,16,41,1,75,5,0,5,502,79,4.96,1.709,12,1.3,3.4,6.3,1.83,
106,Slade Cecconi,26,CLE,AL,0.2,5,6,0.455,4.78,19,19,0,0,0,0,107.1,114,60,57,22,26,1,91,3,1,3,456,88,4.92,1.304,9.6,1.8,2.2,7.6,3.5,
107,Landen Roupp,26,SFG,NL,0.6,7,7,0.5,3.8,22,22,0,0,0,0,106.2,113,55,45,11,45,1,102,3,1,7,476,104,3.92,1.481,9.5,0.9,3.8,8.6,2.27,
108,Jameson Taillon,33,CHC,NL,0.4,9,6,0.6,4.15,19,19,0,0,0,0,106.1,94,50,49,23,21,0,81,0,0,1,430,92,5.02,1.082,8,1.9,1.8,6.9,3.86,
109,Ben Brown,25,CHC,NL,-1.7,5,8,0.385,5.98,24,15,2,0,0,1,105.1,121,73,70,18,32,0,119,4,0,5,469,64,4.13,1.453,10.3,1.5,2.7,10.2,3.72,
110,Chad Patrick,26,MIL,NL,1.5,3,8,0.273,3.6,21,20,0,0,0,0,105,102,44,42,12,34,1,106,4,0,1,444,116,3.69,1.295,8.7,1,2.9,9.1,3.12,
111,George Kirby,27,SEA,AL,0.4,8,7,0.533,4.47,19,19,0,0,0,0,104.2,103,53,52,12,26,0,104,6,0,3,440,84,3.56,1.232,8.9,1,2.2,8.9,4,
112,Cade Horton,23,CHC,NL,1.4,9,4,0.692,2.78,20,19,0,0,0,0,103.2,86,37,32,9,32,0,87,6,0,1,422,137,3.69,1.138,7.5,0.8,2.8,7.6,2.72,
113,Chris Sale*,36,ATL,NL,3.4,5,4,0.556,2.38,17,17,0,0,0,0,102,85,29,27,8,27,0,132,8,0,2,415,178,2.6,1.098,7.5,0.7,2.4,11.6,4.89,AS
114,Adrian Houser,32,2TM,AL,3.1,8,4,0.667,3.01,17,17,0,0,0,0,101.2,99,37,34,7,32,0,74,7,3,3,421,139,3.73,1.289,8.8,0.6,2.8,6.6,2.31,
115,Ryan Gusto,26,2TM,2LG,-0.4,7,7,0.5,5.67,27,17,2,0,0,0,101.2,114,67,64,17,36,0,97,5,0,0,453,75,4.62,1.475,10.1,1.5,3.2,8.6,2.69,
116,Spencer Strider,26,ATL,NL,0.2,5,12,0.294,4.97,19,19,0,0,0,0,101.1,100,57,56,18,41,0,106,7,0,1,438,85,4.78,1.391,8.9,1.6,3.6,9.4,2.59,
117,Clayton Kershaw*,37,LAD,NL,1.6,10,2,0.833,3.27,19,19,0,0,0,0,99,89,40,36,7,26,0,69,2,1,4,400,128,3.51,1.162,8.1,0.6,2.4,6.3,2.65,AS
118,Jonathan Cannon,24,CHW,AL,-0.4,4,9,0.308,5.67,20,17,0,0,0,0,98.1,110,64,62,18,37,1,78,6,1,2,443,73,5.25,1.495,10.1,1.6,3.4,7.1,2.11,
119,Cade Povich*,25,BAL,AL,-0.3,3,7,0.3,5.16,19,17,0,0,0,0,96,105,60,55,16,35,1,103,1,0,6,419,78,4.29,1.458,9.8,1.5,3.3,9.7,2.94,
120,Trevor Rogers*,27,BAL,AL,5.2,8,2,0.8,1.51,15,15,0,1,0,0,95.2,63,16,16,3,20,0,87,1,1,0,365,269,2.39,0.868,5.9,0.3,1.9,8.2,4.35,
121,Eric Lauer*,30,TOR,AL,2.1,8,2,0.8,3.32,22,15,1,0,0,0,95,85,37,35,14,25,1,93,2,0,0,391,131,3.95,1.158,8.1,1.3,2.4,8.8,3.72,
122,Chase Dollander,23,COL,NL,-0.4,2,12,0.143,6.77,20,20,0,0,0,0,93,102,75,70,18,47,0,77,5,0,2,423,73,5.68,1.602,9.9,1.7,4.5,7.5,1.64,
123,Jacob Lopez*,27,ATH,AL,1.1,7,7,0.5,4.08,21,17,1,0,0,0,92.2,81,47,42,15,37,0,113,8,1,0,399,103,4.26,1.273,7.9,1.5,3.6,11,3.05,
124,Stephen Kolek,28,2TM,2LG,1.4,5,5,0.5,3.88,16,16,0,1,1,0,92.2,88,43,40,8,27,1,63,7,0,0,386,111,4,1.241,8.5,0.8,2.6,6.1,2.33,
125,Mike Vasil,25,CHW,AL,2.5,5,3,0.625,2.54,42,3,16,0,0,4,92,67,30,26,8,46,5,74,8,1,4,386,164,4.42,1.228,6.6,0.8,4.5,7.2,1.61,
126,Aaron Civale,30,3TM,2LG,-0.1,3,9,0.25,5.09,19,18,0,0,0,0,92,90,56,52,13,33,1,78,5,2,0,396,82,4.52,1.337,8.8,1.3,3.2,7.6,2.36,
127,Tyler Alexander*,30,2TM,2LG,-0.5,5,13,0.278,4.95,46,5,12,0,0,1,91,98,58,50,7,29,5,75,2,2,1,393,85,3.51,1.396,9.7,0.7,2.9,7.4,2.59,
128,Hunter Greene,25,CIN,NL,3.8,6,4,0.6,2.59,16,16,0,0,0,0,90.1,65,28,26,13,19,0,113,2,0,4,353,178,3.21,0.93,6.5,1.3,1.9,11.3,5.95,
129,Simeon Woods Richardson,24,MIN,AL,1.2,5,4,0.556,4.53,19,18,0,0,0,0,89.1,85,48,45,16,40,0,78,2,0,3,388,95,5.13,1.399,8.6,1.6,4,7.9,1.95,
130,Luis Ortiz,26,CLE,AL,0.6,4,9,0.308,4.36,16,16,0,0,0,0,88.2,80,44,43,12,42,0,96,1,0,0,382,96,4.19,1.376,8.1,1.2,4.3,9.7,2.29,
131,Janson Junk,29,MIA,NL,0.7,6,2,0.75,4.09,17,12,3,0,0,1,88,89,43,40,6,10,0,61,3,0,2,355,109,3.08,1.125,9.1,0.6,1,6.2,6.1,
132,Sean Newcomb*,32,2TM,AL,1.4,2,5,0.286,2.86,45,5,10,0,0,1,88,93,36,28,5,31,2,88,5,0,2,378,147,3.11,1.409,9.5,0.5,3.2,9,2.84,
