,Name,Position,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
0,martin maldonado,C,455117.0,2024.0,37.0,135.0,147.0,16.0,9.0,3.0,0.0,4.0,51.0,8.0,34.7,5.4,0.119,0.23,0.174,0.404,11.0,56.0,0.0,0.0,0.16,0.288,0.181,0.222,0.213,0.128,0.237,0.307,-0.041,-0.058,-0.041,70.9,88.0,20.1,29.9,8.0,4.6,35.6,98.49917095,93.41279262,64.1,23.8,36.1,49.3,0.0,23.1
1,joey gallo,1B,608336.0,2024.0,30.0,223.0,260.0,36.0,17.0,9.0,0.0,10.0,102.0,32.0,39.2,12.3,0.161,0.336,0.277,0.613,27.0,119.0,1.0,3.0,0.173,0.348,0.276,0.285,0.287,0.176,0.383,0.404,-0.012,-0.012,-0.009,72.4,90.5,26.1,32.8,13.1,8.2,43.4,100.3255456,94.60555628,68.3,32.7,39.6,45.3,1.0,26.5
2,dominic smith,1B,642086.0,2024.0,29.0,275.0,307.0,64.0,36.0,22.0,0.0,6.0,76.0,28.0,24.8,9.1,0.233,0.378,0.313,0.691,34.0,141.0,1.0,1.0,0.219,0.383,0.306,0.302,0.301,0.164,0.36,0.355,0.014,-0.005,0.004,68.8,89.3,13.0,37.7,10.6,7.0,38.7,98.76907414,93.72974051,65.1,19.2,25.3,45.3,0.0,25.6
3,orlando arcia,SS,606115.0,2024.0,29.0,551.0,602.0,120.0,79.0,24.0,0.0,17.0,128.0,41.0,21.3,6.8,0.218,0.354,0.271,0.625,46.0,254.0,0.0,2.0,0.206,0.323,0.273,0.261,0.263,0.118,0.313,0.297,0.012,0.031,0.012,70.9,88.2,8.6,29.9,5.3,6.5,37.8,98.41985743,93.28389647,70.8,17.7,26.6,49.1,0.0,25.6
4,chris taylor,3B,621035.0,2024.0,33.0,213.0,246.0,43.0,31.0,7.0,1.0,4.0,76.0,28.0,30.9,11.4,0.202,0.3,0.298,0.598,23.0,93.0,1.0,5.0,0.218,0.343,0.272,0.297,0.313,0.125,0.33,0.374,-0.016,-0.043,-0.025,70.0,85.9,16.9,42.9,7.1,6.4,28.6,97.10671942,92.58514587,72.5,25.8,31.3,47.7,-1.0,28.1
5,tomás nido,C,621512.0,2024.0,30.0,130.0,140.0,25.0,17.0,4.0,0.0,4.0,35.0,5.0,25.0,3.6,0.192,0.315,0.219,0.534,12.0,61.0,0.0,0.0,0.217,0.41,0.231,0.282,0.246,0.193,0.291,0.363,-0.025,-0.095,-0.051,70.8,89.8,14.1,36.0,12.0,12.0,44.0,99.68694854,94.24821156,79.1,25.4,35.9,60.5,0.0,24.7
6,ildemaro vargas,2B,545121.0,2024.0,32.0,272.0,303.0,67.0,50.0,16.0,0.0,1.0,31.0,19.0,10.2,6.3,0.246,0.316,0.295,0.611,30.0,110.0,4.0,9.0,0.255,0.322,0.271,0.28,0.305,0.067,0.269,0.28,-0.009,-0.006,-0.009,69.6,87.0,4.0,29.5,1.2,4.0,31.9,97.07343867,92.57928317,62.8,6.6,12.6,46.4,0.0,26.7
7,james mccann,C,543510.0,2024.0,34.0,214.0,233.0,50.0,33.0,9.0,0.0,8.0,56.0,13.0,24.0,5.6,0.234,0.388,0.279,0.667,31.0,102.0,0.0,1.0,0.245,0.418,0.288,0.313,0.296,0.173,0.351,0.387,-0.011,-0.03,-0.025,70.7,87.4,14.4,38.9,8.6,9.3,37.7,99.20798763,93.64491377,69.6,18.2,27.6,52.1,0.0,25.1
8,paul dejong,3B,657557.0,2024.0,30.0,445.0,482.0,101.0,60.0,17.0,0.0,24.0,156.0,23.0,32.4,4.8,0.227,0.427,0.276,0.703,56.0,214.0,2.0,2.0,0.218,0.395,0.302,0.291,0.27,0.177,0.42,0.401,0.009,0.032,0.011,72.0,87.8,20.0,36.4,10.2,8.5,41.5,99.99989388,94.17445653,80.6,26.3,34.9,58.0,0.0,26.8
9,ty france,1B,664034.0,2024.0,29.0,479.0,535.0,112.0,75.0,24.0,0.0,13.0,114.0,38.0,21.3,7.1,0.234,0.365,0.305,0.67,51.0,202.0,1.0,1.0,0.228,0.387,0.296,0.303,0.301,0.159,0.332,0.343,0.006,-0.022,-0.007,71.0,88.7,12.9,30.5,7.3,6.2,40.0,99.66367989,94.0046506,74.7,16.4,24.2,51.2,0.0,25.1
