,Name,Position,year,player_age,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,WAR,ERA+,FIP,ERA
16,zach eflin,SP,2024,30,684,653,166,114,28,2,22,134,24,19.6,3.5,0.254,0.404,0.283,0.687,0.249,0.405,0.297,0.297,0.279,0.157,0.352,0.353,0.005,-0.001,0.0,71.5,88.1,13.3,30.0,7.5,5.4,36.1,76.38875143,94.04059667,65.6,14.4,21.6,50.0,2.7,110,3.76,3.59
17,austin gomber,SP,2024,30,696,653,178,105,39,4,30,116,38,16.7,5.5,0.273,0.482,0.312,0.794,0.278,0.482,0.339,0.344,0.317,0.204,0.387,0.392,-0.005,0.0,-0.005,72.0,90.2,15.0,37.7,9.6,8.5,41.2,80.0362653,94.43249207,68.7,14.6,19.9,48.3,2.1,100,4.83,4.75
18,jack flaherty,SP,2024,28,649,605,135,88,18,5,24,194,38,29.9,5.9,0.223,0.388,0.273,0.661,0.233,0.38,0.288,0.292,0.284,0.147,0.382,0.391,-0.01,0.008,-0.004,71.4,88.4,14.0,36.1,7.7,4.8,35.9,77.44586236,93.77647899,65.0,21.1,32.1,46.2,3.1,130,3.47,3.17
19,aaron civale,SP,2024,29,689,627,158,98,31,0,29,149,52,21.6,7.5,0.252,0.44,0.314,0.754,0.243,0.393,0.327,0.309,0.308,0.151,0.385,0.359,0.009,0.047,0.018,71.6,89.4,17.2,36.5,7.3,9.8,39.4,79.15200724,94.00241371,64.4,13.3,21.9,45.2,1.1,93,4.74,4.36
20,andrew heaney,SP,2024,33,693,634,159,105,30,1,23,159,41,22.9,5.9,0.251,0.41,0.307,0.717,0.253,0.433,0.312,0.325,0.312,0.18,0.374,0.393,-0.002,-0.023,-0.013,72.1,89.6,18.2,37.4,8.3,7.9,40.1,78.99058224,94.38834762,70.1,17.9,26.3,50.3,0.7,89,4.04,4.28
21,zack littell,RP,2024,28,656,618,164,111,29,2,22,141,31,21.5,4.7,0.265,0.426,0.306,0.732,0.263,0.436,0.317,0.321,0.303,0.173,0.383,0.388,0.002,-0.01,-0.004,72.0,89.3,18.1,36.2,9.6,6.3,39.2,78.59029555,94.13734457,70.6,14.5,23.1,51.9,2.8,110,3.88,3.63
22,frankie montas,SP,2024,31,655,576,140,87,28,1,24,148,66,22.6,10.1,0.243,0.42,0.325,0.745,0.247,0.428,0.325,0.333,0.33,0.181,0.376,0.388,-0.004,-0.008,-0.008,72.2,89.3,13.5,36.2,9.2,7.4,43.1,77.76235797,94.5763134,70.6,17.7,24.9,48.7,0.6,89,4.71,4.84
23,cal quantrill,SP,2024,29,656,571,156,101,26,6,23,110,69,16.8,10.5,0.273,0.461,0.361,0.822,0.274,0.434,0.358,0.351,0.362,0.161,0.384,0.375,-0.001,0.027,0.007,71.5,89.1,11.1,37.1,7.3,7.7,41.2,77.92321026,94.35473824,69.7,16.7,21.6,45.7,1.5,95,5.32,4.98
24,zac gallen,SP,2024,28,621,561,133,86,29,5,13,156,54,25.1,8.7,0.237,0.376,0.308,0.684,0.246,0.379,0.301,0.308,0.316,0.134,0.361,0.371,-0.009,-0.003,-0.007,71.8,90.0,11.8,34.9,7.4,7.6,41.0,79.81895601,94.40298237,63.8,14.0,26.0,44.2,2.6,116,3.38,3.65
25,nick martinez,SP,2024,33,570,539,128,81,32,2,13,116,18,20.4,3.2,0.237,0.377,0.267,0.644,0.242,0.365,0.279,0.278,0.272,0.123,0.332,0.331,-0.005,0.012,0.001,71.4,86.4,17.0,34.0,5.1,4.0,30.5,74.85049693,92.97895951,67.4,16.2,23.1,51.1,4.0,142,3.21,3.1
