,Name,Position,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
63,trevor story,SS,596115.0,2025.0,32.0,475.0,507.0,123.0,83.0,21.0,0.0,19.0,143.0,25.0,28.2,4.9,0.259,0.423,0.302,0.725,79.0,204.0,0.0,22.0,0.246,0.409,0.315,0.306,0.292,0.163,0.416,0.403,0.013,0.014,0.009,70.8,91.1,15.2,32.3,9.6,7.2,47.3,102.3257083,95.54818891,71.8,18.6,29.5,54.0,0.0,28.5
64,alex bregman,3B,608324.0,2025.0,31.0,302.0,346.0,90.0,51.0,23.0,0.0,16.0,53.0,36.0,15.3,10.4,0.298,0.533,0.384,0.917,52.0,130.0,1.0,1.0,0.264,0.464,0.393,0.355,0.355,0.2,0.426,0.374,0.034,0.069,0.038,71.3,90.7,18.8,31.2,8.4,7.6,46.0,99.90781488,94.52461508,60.8,8.8,14.8,41.2,0.0,26.0
65,tyler o'neill,LF,641933.0,2025.0,30.0,143.0,164.0,30.0,15.0,6.0,1.0,8.0,40.0,15.0,24.4,9.1,0.21,0.434,0.293,0.727,23.0,56.0,0.0,2.0,0.257,0.598,0.31,0.388,0.335,0.341,0.365,0.484,-0.047,-0.164,-0.078,74.0,89.4,24.5,35.8,18.9,5.7,38.7,101.0172555,94.77547698,69.0,24.3,31.8,49.3,-3.0,28.2
66,elias diaz,C,553869.0,2025.0,34.0,224.0,250.0,44.0,32.0,7.0,0.0,5.0,65.0,21.0,26.0,8.4,0.196,0.295,0.268,0.563,22.0,122.0,0.0,0.0,0.193,0.297,0.254,0.253,0.266,0.104,0.297,0.296,0.003,-0.002,0.001,72.4,87.7,17.2,26.4,6.1,3.7,37.4,99.48933633,93.89071682,71.5,23.6,33.7,50.5,0.0,25.0
67,thairo estrada,2B,642731.0,2025.0,29.0,154.0,165.0,39.0,27.0,9.0,0.0,3.0,26.0,6.0,15.8,3.6,0.253,0.37,0.285,0.655,21.0,63.0,3.0,1.0,0.237,0.329,0.284,0.266,0.273,0.092,0.315,0.292,0.016,0.041,0.018,71.8,86.3,7.0,28.2,3.1,4.6,30.5,97.26269092,92.70962023,73.0,11.7,22.8,54.0,0.0,27.8
68,randal grichuk,RF,545341.0,2025.0,33.0,217.0,236.0,53.0,26.0,18.0,1.0,8.0,49.0,15.0,20.8,6.4,0.244,0.447,0.292,0.739,25.0,90.0,1.0,0.0,0.278,0.513,0.314,0.357,0.328,0.235,0.371,0.43,-0.034,-0.066,-0.043,73.8,92.4,17.6,36.3,13.5,5.8,51.5,103.8577353,96.53441234,63.5,9.2,19.7,48.0,-3.0,27.0
69,kyle farmer,SS,571657.0,2025.0,34.0,245.0,264.0,56.0,36.0,14.0,0.0,6.0,55.0,14.0,20.8,5.3,0.229,0.359,0.28,0.639,26.0,95.0,1.0,0.0,0.231,0.35,0.281,0.283,0.286,0.119,0.323,0.326,-0.002,0.009,-0.002,66.2,86.8,15.7,37.2,5.2,8.9,33.5,97.55338179,92.94602873,63.1,13.6,21.2,48.8,0.0,26.2
70,rhys hoskins,DH,656555.0,2025.0,32.0,269.0,318.0,65.0,40.0,12.0,1.0,12.0,85.0,38.0,26.7,11.9,0.242,0.428,0.34,0.768,42.0,128.0,1.0,2.0,0.234,0.409,0.332,0.328,0.337,0.176,0.403,0.396,0.008,0.019,0.004,71.1,90.5,22.0,40.0,10.5,6.3,46.8,100.0770199,94.41870611,60.9,20.7,27.2,40.6,0.0,24.8
71,austin hays,LF,669720.0,2025.0,29.0,278.0,308.0,72.0,45.0,12.0,5.0,10.0,80.0,25.0,26.0,8.1,0.259,0.446,0.318,0.764,48.0,129.0,0.0,4.0,0.241,0.432,0.327,0.321,0.306,0.191,0.412,0.403,0.018,0.014,0.006,72.1,88.7,14.3,32.7,11.4,5.0,37.1,99.3470323,93.80598231,71.6,22.8,32.2,51.6,1.0,27.6
72,danny jansen,C,643376.0,2025.0,30.0,245.0,288.0,50.0,29.0,10.0,0.0,11.0,75.0,36.0,26.0,12.5,0.204,0.38,0.314,0.694,30.0,123.0,0.0,0.0,0.204,0.356,0.308,0.302,0.316,0.151,0.353,0.342,0.0,0.024,0.006,69.4,88.4,25.2,35.8,8.7,9.8,41.0,99.00603581,93.83070035,65.5,17.7,23.9,43.2,0.0,26.1
73,mitch garver,C,641598.0,2025.0,34.0,204.0,232.0,44.0,31.0,5.0,0.0,8.0,72.0,25.0,31.0,10.8,0.216,0.358,0.306,0.664,26.0,98.0,0.0,3.0,0.206,0.375,0.295,0.297,0.299,0.169,0.376,0.381,0.01,-0.017,-0.002,71.6,91.7,18.2,30.8,9.0,7.5,47.4,100.7314706,95.03706917,59.5,23.1,32.8,41.4,0.0,25.8
74,justin turner,3B,457759.0,2025.0,40.0,139.0,158.0,30.0,21.0,6.0,0.0,3.0,25.0,14.0,15.8,8.9,0.216,0.324,0.285,0.609,15.0,53.0,0.0,2.0,0.247,0.387,0.27,0.311,0.318,0.14,0.273,0.329,-0.031,-0.063,-0.041,66.3,88.6,18.3,37.3,4.2,6.8,30.5,97.20796102,92.77094178,67.6,8.3,15.1,47.8,0.0,25.3
75,harrison bader,CF,664056.0,2025.0,31.0,312.0,355.0,77.0,50.0,14.0,0.0,13.0,90.0,31.0,25.4,8.7,0.247,0.417,0.33,0.747,42.0,135.0,5.0,10.0,0.223,0.376,0.328,0.304,0.309,0.154,0.392,0.355,0.024,0.041,0.024,73.4,86.9,12.4,29.8,10.2,5.3,40.9,100.3822679,94.24736314,62.9,21.3,29.1,46.0,6.0,28.7
76,jarren duran,CF,680776.0,2025.0,28.0,494.0,555.0,129.0,71.0,34.0,12.0,12.0,132.0,47.0,23.8,8.5,0.261,0.451,0.336,0.787,69.0,174.0,5.0,20.0,0.262,0.431,0.34,0.339,0.34,0.169,0.408,0.407,-0.001,0.02,0.001,74.7,92.4,12.3,34.7,10.4,7.7,48.4,103.6117096,96.39541036,64.1,16.5,29.0,47.0,-3.0,29.1
77,ozzie albies,2B,645277.0,2025.0,28.0,482.0,536.0,111.0,83.0,17.0,1.0,10.0,84.0,47.0,15.7,8.8,0.23,0.332,0.302,0.634,48.0,219.0,1.0,11.0,0.238,0.343,0.283,0.291,0.31,0.105,0.291,0.301,-0.008,-0.011,-0.008,68.8,87.3,18.7,34.2,3.5,4.5,29.9,96.61510766,92.36268466,77.5,15.5,21.4,53.9,0.0,27.1
78,ramon laureano,RF,657656.0,2025.0,30.0,323.0,360.0,95.0,54.0,20.0,2.0,19.0,86.0,27.0,23.9,7.5,0.294,0.545,0.358,0.903,58.0,152.0,3.0,5.0,0.285,0.539,0.384,0.379,0.352,0.254,0.478,0.471,0.009,0.006,0.005,72.2,89.7,13.9,38.8,13.3,5.8,48.3,101.8853329,95.31789861,67.1,19.2,26.5,46.9,-7.0,28.0
79,jorge mateo,SS,622761.0,2025.0,30.0,61.0,65.0,11.0,7.0,3.0,0.0,1.0,23.0,4.0,35.4,6.2,0.18,0.279,0.231,0.51,3.0,36.0,1.0,14.0,0.187,0.285,0.227,0.231,0.237,0.098,0.316,0.323,-0.007,-0.006,-0.004,71.8,88.0,15.8,23.7,5.3,5.3,36.8,98.29477947,93.36252053,66.4,22.5,31.7,55.0,-2.0,29.3
80,tom murphy,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,luis robert jr.,CF,673357.0,2025.0,27.0,361.0,410.0,79.0,54.0,12.0,0.0,13.0,110.0,40.0,26.8,9.8,0.219,0.36,0.298,0.658,49.0,168.0,7.0,31.0,0.256,0.436,0.289,0.331,0.332,0.18,0.352,0.419,-0.037,-0.076,-0.042,75.7,89.7,17.9,35.3,10.6,5.9,42.7,101.644499,95.10838472,76.4,22.4,32.2,53.3,5.0,28.9
82,taylor walls,SS,670764.0,2025.0,28.0,282.0,317.0,62.0,43.0,14.0,1.0,4.0,70.0,26.0,22.1,8.2,0.22,0.319,0.28,0.599,38.0,125.0,6.0,14.0,0.213,0.308,0.265,0.262,0.277,0.095,0.3,0.294,0.007,0.011,0.003,68.8,87.0,15.1,33.5,3.2,5.0,26.4,96.11963857,92.10025591,64.5,15.2,20.3,45.9,0.0,28.2
83,salvador perez,C,521692.0,2025.0,35.0,463.0,495.0,113.0,62.0,29.0,0.0,22.0,100.0,21.0,20.2,4.2,0.244,0.449,0.288,0.737,70.0,199.0,0.0,0.0,0.283,0.552,0.314,0.369,0.325,0.269,0.374,0.448,-0.039,-0.103,-0.055,73.2,90.4,18.7,35.7,15.4,7.1,47.3,102.365337,95.48080995,75.6,17.6,27.3,58.3,0.0,24.6
84,william contreras,C,661388.0,2025.0,27.0,453.0,529.0,118.0,83.0,22.0,0.0,13.0,95.0,70.0,18.0,13.2,0.26,0.395,0.359,0.754,61.0,191.0,3.0,6.0,0.256,0.393,0.333,0.333,0.359,0.137,0.352,0.352,0.004,0.002,0.0,73.3,90.9,6.6,31.2,5.8,10.5,47.8,102.5755491,95.8401264,67.1,17.0,24.3,46.1,0.0,26.1
85,brandon lowe,2B,664040.0,2025.0,30.0,387.0,420.0,105.0,68.0,13.0,0.0,24.0,106.0,27.0,25.2,6.4,0.271,0.491,0.319,0.81,61.0,143.0,2.0,3.0,0.272,0.505,0.346,0.35,0.32,0.233,0.44,0.447,-0.001,-0.014,-0.004,73.4,91.8,14.9,36.8,12.6,5.3,46.8,101.7533261,95.40119173,77.8,22.3,32.0,55.1,0.0,26.7
86,max muncy,1B,691777.0,2025.0,22.0,200.0,213.0,43.0,27.0,7.0,0.0,9.0,65.0,9.0,30.5,4.2,0.215,0.385,0.258,0.643,23.0,77.0,1.0,1.0,0.213,0.373,0.279,0.278,0.26,0.16,0.375,0.374,0.002,0.012,0.001,73.1,87.1,9.6,33.8,10.3,4.4,32.4,99.49804463,93.79281241,68.4,19.8,32.3,50.5,0.0,28.2
87,max muncy,1B,571970.0,2025.0,34.0,279.0,347.0,72.0,43.0,10.0,2.0,17.0,73.0,60.0,21.0,17.3,0.258,0.491,0.389,0.88,64.0,124.0,0.0,4.0,0.264,0.543,0.38,0.4,0.395,0.279,0.419,0.452,-0.006,-0.052,-0.02,71.3,91.4,18.9,38.9,13.7,10.0,52.6,102.0624189,95.67855536,67.0,17.1,23.5,42.8,0.0,27.1
88,tyler wade,SS,642180.0,2025.0,30.0,107.0,127.0,22.0,19.0,1.0,2.0,0.0,31.0,15.0,24.4,11.8,0.206,0.252,0.309,0.561,9.0,51.0,2.0,1.0,0.187,0.229,0.263,0.248,0.293,0.042,0.279,0.255,0.019,0.023,0.015,65.0,82.6,8.3,28.7,0.0,3.8,15.0,92.34229139,90.37660569,60.0,17.6,26.7,43.8,-2.0,28.1
